total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1325,506,262
0,0,1325,506,262
0,0,1325,506,262
0,0,1325,506,262
0,0,1320,506,261
0,0,1320,506,261
0,0,1416,506,280
0,0,1416,506,280
0,0,1330,506,263
0,0,1330,506,263
0,0,1320,506,261
0,0,1320,506,261
0,0,1431,506,283
0,0,1431,506,283
0,0,1614,506,319
0,0,1614,506,319
0,0,1681,505,333
0,0,1681,505,333
0,0,1664,506,329
0,0,1664,506,329
0,0,1671,505,331
0,0,1671,505,331
0,0,1679,506,332
0,0,1679,506,332
0,0,1669,506,330
0,0,1669,506,330
0,0,1701,505,337
0,0,1701,505,337
0,0,1691,505,335
0,0,1691,505,335
0,0,1684,506,333
0,0,1684,506,333
0,0,1691,505,335
0,0,1691,505,335
0,0,1681,505,333
0,0,1681,505,333
0,0,1705,506,337
0,0,1705,506,337
0,0,1705,506,337
0,0,1705,506,337
0,0,1679,506,332
0,0,1679,506,332
1,5,1691,505,335
1,5,1691,505,335
1,5,1664,506,329
1,5,1664,506,329
1,5,1691,505,335
1,5,1691,505,335
1,5,1701,505,337
1,6,1701,505,337
1,6,1705,506,337
1,6,1705,506,337
1,6,1684,506,333
1,6,1684,506,333
1,6,1531,507,302
1,6,1531,507,302
1,6,1536,507,303
1,7,1536,507,303
1,7,1541,507,304
1,7,1541,507,304
1,7,1536,507,303
1,7,1536,507,303
1,7,1536,507,303
1,7,1536,507,303
1,7,1521,507,300
1,7,1521,507,300
1,7,1809,504,359
1,8,1809,504,359
1,8,1649,506,326
1,8,1649,506,326
1,8,1649,506,326
1,8,1649,506,326
1,8,1649,506,326
1,8,1649,506,326
1,8,1649,506,326
1,9,1649,506,326
1,9,1659,506,328
1,9,1659,506,328
1,9,1644,506,325
1,9,1644,506,325
1,9,1649,506,326
1,9,1649,506,326
2,10,1654,506,327
2,10,1654,506,327
2,10,1526,507,301
2,10,1526,507,301
2,10,1521,507,300
2,10,1521,507,300
2,10,1551,507,306
2,11,1551,507,306
2,11,1518,506,300
2,11,1518,506,300
2,11,1526,507,301
2,11,1526,507,301
2,11,1490,507,294
2,11,1490,507,294
2,11,1545,505,306
2,11,1545,505,306
2,11,1340,506,265
2,11,1340,506,265
2,12,1340,506,265
2,12,1340,506,265
2,12,1371,506,271
2,12,1371,506,271
2,12,1444,507,285
2,12,1444,507,285
2,12,1460,507,288
2,13,1460,507,288
2,13,1455,507,287
2,13,1455,507,287
2,13,1259,506,249
2,13,1259,506,249
2,13,1194,506,236
2,13,1194,506,236
2,13,1181,505,234
2,13,1181,505,234
2,13,1186,505,235
2,13,1186,505,235
2,14,1265,506,250
2,14,1265,506,250
2,14,1184,506,234
2,14,1184,506,234
2,14,1315,506,260
2,14,1315,506,260
2,14,1320,506,261
2,14,1320,506,261
2,14,1259,506,249
2,14,1259,506,249
2,14,1204,506,238
2,15,1204,506,238
2,15,1176,505,233
2,15,1176,505,233
2,15,1191,505,236
3,15,1191,505,236
3,15,1194,506,236
3,15,1194,506,236
3,15,1189,506,235
3,15,1189,506,235
3,15,1452,506,287
3,15,1452,506,287
3,16,1325,506,262
3,16,1325,506,262
3,16,1320,506,261
3,16,1320,506,261
3,16,1189,506,235
3,16,1189,506,235
3,16,1181,505,234
3,16,1181,505,234
3,16,1204,506,238
3,16,1204,506,238
3,16,1189,506,235
3,17,1189,506,235
3,17,1184,506,234
3,17,1184,506,234
3,17,1254,506,248
3,17,1254,506,248
3,17,1439,507,284
3,17,1439,507,284
3,17,1444,507,285
3,17,1444,507,285
3,17,1310,506,259
3,18,1310,506,259
3,18,1249,506,247
3,18,1249,506,247
3,18,1189,506,235
3,18,1189,506,235
3,18,1194,506,236
3,18,1194,506,236
3,18,1204,506,238
3,18,1204,506,238
3,18,1244,506,246
3,18,1244,506,246
3,19,1320,506,261
3,19,1320,506,261
3,19,1386,506,274
3,19,1386,506,274
3,19,1379,507,272
3,19,1379,507,272
3,19,1315,506,260
3,19,1315,506,260
3,20,1315,506,260
3,20,1315,506,260
3,20,1176,505,233
4,20,1176,505,233
4,20,1184,506,234
4,20,1184,506,234
4,20,1189,506,235
4,20,1189,506,235
4,20,1345,506,266
4,20,1345,506,266
4,21,1310,506,259
4,21,1310,506,259
4,21,1325,506,262
4,21,1325,506,262
4,21,1189,506,235
4,21,1189,506,235
4,21,1178,506,233
4,21,1178,506,233
4,21,1212,505,240
4,21,1212,505,240
