total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1315,506,260
0,0,1325,506,262
0,0,1325,506,262
0,0,1320,506,261
0,0,1320,506,261
0,0,1320,506,261
0,0,1320,506,261
0,0,1320,506,261
0,0,1320,506,261
0,0,1320,506,261
0,0,1320,506,261
0,0,1401,506,277
0,0,1401,506,277
0,0,1490,507,294
0,0,1490,507,294
0,0,1521,507,300
0,0,1521,507,300
0,0,1531,507,302
0,0,1531,507,302
0,0,1521,507,300
0,0,1521,507,300
0,0,1521,507,300
0,0,1521,507,300
0,0,1541,507,304
0,0,1541,507,304
0,0,1548,506,306
0,0,1548,506,306
0,0,1536,507,303
0,0,1536,507,303
0,0,1521,507,300
0,0,1521,507,300
0,0,1521,507,300
0,0,1521,507,300
0,0,1646,505,326
0,0,1646,505,326
0,0,1521,507,300
0,0,1521,507,300
0,0,1609,506,318
0,0,1609,506,318
0,0,1515,507,299
0,0,1515,507,299
0,0,1839,504,365
0,0,1839,504,365
0,0,1654,506,327
0,0,1654,506,327
0,0,1644,506,325
0,0,1644,506,325
1,5,1644,506,325
1,5,1644,506,325
1,5,1634,506,323
1,5,1634,506,323
1,5,1639,506,324
1,5,1639,506,324
1,5,1679,506,332
1,6,1679,506,332
1,6,1588,506,314
1,6,1588,506,314
1,6,1515,507,299
1,6,1515,507,299
1,6,1578,506,312
1,6,1578,506,312
1,7,1649,506,326
1,7,1649,506,326
1,7,1639,506,324
1,7,1639,506,324
1,7,1649,506,326
1,7,1649,506,326
1,7,1634,506,323
1,7,1634,506,323
1,8,1649,506,326
1,8,1649,506,326
1,8,1583,506,313
1,8,1583,506,313
1,8,1526,507,301
1,8,1526,507,301
1,8,1526,507,301
1,9,1526,507,301
1,9,1526,507,301
1,9,1526,507,301
1,9,1521,507,300
1,9,1521,507,300
1,9,1521,507,300
1,9,1521,507,300
1,9,1649,506,326
1,9,1649,506,326
1,9,1639,506,324
1,9,1639,506,324
2,10,1649,506,326
2,10,1649,506,326
2,10,1598,506,316
2,10,1598,506,316
2,10,1553,506,307
2,10,1553,506,307
2,10,1437,506,284
2,11,1437,506,284
2,11,1340,506,265
2,11,1340,506,265
2,11,1361,506,269
2,11,1361,506,269
2,11,1325,506,262
2,11,1325,506,262
2,11,1444,507,285
2,11,1444,507,285
2,11,1265,506,250
2,11,1265,506,250
2,12,1181,505,234
2,12,1181,505,234
2,12,1439,507,284
2,12,1439,507,284
2,12,1465,507,289
2,12,1465,507,289
2,12,1381,506,273
2,13,1381,506,273
2,13,1356,506,268
2,13,1356,506,268
2,13,1181,505,234
2,13,1181,505,234
2,13,1189,506,235
2,13,1189,506,235
2,13,1184,506,234
2,13,1184,506,234
2,13,1189,506,235
2,13,1189,506,235
2,14,1330,506,263
2,14,1330,506,263
2,14,1310,506,259
2,14,1310,506,259
2,14,1325,506,262
2,14,1325,506,262
2,14,1184,506,234
2,14,1184,506,234
2,14,1184,506,234
2,14,1184,506,234
2,14,1204,506,238
2,15,1204,506,238
2,15,1181,505,234
2,15,1181,505,234
3,15,1178,506,233
3,15,1178,506,233
3,15,1259,506,249
3,15,1259,506,249
3,15,1310,506,259
3,15,1310,506,259
3,15,1335,506,264
3,15,1335,506,264
3,16,1184,506,234
3,16,1184,506,234
3,16,1191,505,236
3,16,1191,505,236
3,16,1184,506,234
3,16,1184,506,234
3,16,1189,506,235
3,16,1189,506,235
3,16,1194,506,236
3,16,1194,506,236
3,17,1249,506,247
3,17,1249,506,247
3,17,1323,507,261
3,17,1323,507,261
3,17,1335,506,264
3,17,1335,506,264
3,17,1249,506,247
3,17,1249,506,247
3,17,1196,505,237
3,17,1196,505,237
3,17,1181,505,234
3,18,1181,505,234
3,18,1194,506,236
3,18,1194,506,236
3,18,1189,506,235
3,18,1189,506,235
3,18,1184,506,234
3,18,1184,506,234
3,18,1335,506,264
3,18,1335,506,264
3,18,1315,506,260
3,18,1315,506,260
3,19,1320,506,261
3,19,1320,506,261
3,19,1189,506,235
3,19,1189,506,235
3,19,1196,505,237
3,19,1196,505,237
3,19,1199,506,237
3,19,1199,506,237
3,19,1184,506,234
3,19,1184,506,234
3,19,1189,506,235
3,20,1189,506,235
3,20,1244,506,246
3,20,1244,506,246
3,20,1325,506,262
4,20,1325,506,262
4,20,1325,506,262
4,20,1325,506,262
4,20,1189,506,235
4,20,1189,506,235
4,20,1189,506,235
4,20,1189,506,235
4,21,1186,505,235
