total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1455,507,287
0,0,1450,507,286
0,0,1450,507,286
0,0,1450,507,286
0,0,1450,507,286
0,0,1439,507,284
0,0,1439,507,284
0,0,1450,507,286
0,0,1450,507,286
0,0,1475,507,291
0,0,1475,507,291
0,0,1480,507,292
0,0,1480,507,292
0,0,1541,507,304
0,0,1541,507,304
0,0,1614,506,319
0,0,1614,506,319
0,0,3036,501,606
0,0,3036,501,606
0,0,3076,501,614
0,0,3076,501,614
0,0,3325,500,665
0,0,3325,500,665
0,0,3081,501,615
0,0,3081,501,615
0,0,3056,501,610
0,0,3056,501,610
0,0,3140,500,628
0,0,3140,500,628
0,0,3106,501,620
0,0,3106,501,620
1,5,3191,501,637
1,5,3191,501,637
1,5,3120,500,624
1,5,3120,500,624
1,6,3066,501,612
1,6,3066,501,612
1,6,1911,503,380
1,6,1911,503,380
1,6,1971,503,392
1,6,1971,503,392
1,6,2082,503,414
1,7,2082,503,414
1,7,1966,503,391
1,7,1966,503,391
1,8,1926,503,383
1,8,1926,503,383
1,8,2058,502,410
1,8,2058,502,410
1,8,2925,501,584
1,8,2925,501,584
1,8,3110,500,622
1,8,3110,500,622
1,9,3081,501,615
1,9,3081,501,615
1,9,2555,503,508
2,10,2555,503,508
2,10,1649,506,326
2,10,1649,506,326
2,10,1629,506,322
2,10,1629,506,322
2,10,1654,506,327
2,10,1654,506,327
2,10,1629,506,322
2,11,1629,506,322
2,11,1639,506,324
2,11,1639,506,324
2,11,1629,506,322
2,11,1629,506,322
2,11,1634,506,323
2,11,1634,506,323
2,11,1573,506,311
2,11,1573,506,311
2,11,1536,507,303
2,12,1536,507,303
2,12,1563,506,309
2,12,1563,506,309
2,12,1531,507,302
2,12,1531,507,302
2,12,1526,507,301
2,12,1526,507,301
2,12,1531,507,302
2,13,1531,507,302
2,13,1531,507,302
2,13,1531,507,302
2,13,1576,507,311
2,13,1576,507,311
2,13,1526,507,301
2,13,1526,507,301
2,14,1536,507,303
2,14,1536,507,303
2,14,1521,507,300
2,14,1521,507,300
2,14,1526,507,301
2,14,1526,507,301
2,14,1447,506,286
2,14,1447,506,286
2,14,1376,506,272
2,14,1376,506,272
2,14,1538,506,304
3,15,1538,506,304
3,15,1325,506,262
3,15,1325,506,262
3,15,1315,506,260
3,15,1315,506,260
3,15,1345,506,266
3,15,1345,506,266
3,16,1330,506,263
3,16,1330,506,263
3,16,1325,506,262
3,16,1325,506,262
3,16,1330,506,263
3,16,1330,506,263
3,16,1249,506,247
3,16,1249,506,247
3,16,1310,506,259
3,16,1310,506,259
3,16,1310,506,259
3,17,1310,506,259
3,17,1315,506,260
3,17,1315,506,260
3,17,1244,506,246
3,17,1244,506,246
3,17,1416,506,280
3,17,1416,506,280
3,17,1335,506,264
3,17,1335,506,264
3,17,1325,506,262
3,17,1325,506,262
3,18,1259,506,249
3,18,1259,506,249
3,18,1189,506,235
3,18,1189,506,235
3,18,1184,506,234
3,18,1184,506,234
3,18,1201,505,238
3,18,1201,505,238
3,18,1191,505,236
3,18,1191,505,236
3,19,1194,506,236
3,19,1194,506,236
3,19,1320,506,261
3,19,1320,506,261
3,19,1325,506,262
3,19,1325,506,262
3,19,1275,506,252
3,19,1275,506,252
3,20,1184,506,234
3,20,1184,506,234
3,20,1184,506,234
4,20,1184,506,234
4,20,1254,506,248
4,20,1254,506,248
4,20,1315,506,260
4,20,1315,506,260
4,20,1320,506,261
4,20,1320,506,261
4,20,1439,507,284
4,21,1439,507,284
4,21,1335,506,264
4,21,1335,506,264
4,21,1325,506,262
4,21,1325,506,262
4,21,1259,506,249
4,21,1259,506,249
4,21,1386,506,274
4,21,1386,506,274
4,21,1320,506,261
4,22,1320,506,261
4,22,1315,506,260
4,22,1315,506,260
4,22,1310,506,259
4,22,1310,506,259
4,22,1381,506,273
4,22,1381,506,273
4,22,1450,507,286
4,22,1450,507,286
4,22,1455,507,287
4,22,1455,507,287
4,23,1320,506,261
4,23,1320,506,261
4,23,1189,506,235
4,23,1189,506,235
4,23,1186,505,235
4,23,1186,505,235
4,23,1300,506,257
4,24,1300,506,257
4,24,1305,506,258
4,24,1305,506,258
4,24,1373,507,271
4,24,1373,507,271
4,24,1444,507,285
4,24,1444,507,285
4,24,1315,506,260
4,24,1315,506,260
4,24,1259,506,249
4,24,1259,506,249
4,25,1194,506,236
4,25,1194,506,236
4,25,1194,506,236
