total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1444,507,285
0,0,1444,507,285
0,0,1444,507,285
0,0,1389,507,274
0,0,1389,507,274
0,0,1320,506,261
0,0,1320,506,261
0,0,1328,507,262
0,0,1328,507,262
0,0,1431,506,283
0,0,1431,506,283
0,0,1345,506,266
0,0,1345,506,266
0,0,1462,506,289
0,0,1462,506,289
0,0,1654,506,327
0,0,1654,506,327
0,0,1654,506,327
0,0,1654,506,327
0,0,1659,506,328
0,0,1659,506,328
0,0,1583,506,313
0,0,1583,506,313
0,0,1521,507,300
0,0,1521,507,300
0,0,1526,507,301
0,0,1526,507,301
0,0,1541,507,304
0,0,1541,507,304
0,0,1526,507,301
0,0,1526,507,301
0,0,1521,507,300
0,0,1521,507,300
0,0,1521,507,300
0,0,1521,507,300
0,0,1541,507,304
0,0,1541,507,304
0,0,1531,507,302
0,0,1531,507,302
0,0,1536,507,303
0,0,1536,507,303
0,0,1583,506,313
0,0,1583,506,313
0,0,1541,507,304
0,0,1541,507,304
0,0,1515,507,299
0,0,1515,507,299
1,5,1510,507,298
1,5,1510,507,298
1,5,1515,507,299
1,5,1515,507,299
1,5,1515,507,299
1,5,1515,507,299
1,5,1578,506,312
1,6,1578,506,312
1,6,1639,506,324
1,6,1639,506,324
1,6,1654,506,327
1,6,1654,506,327
1,6,1644,506,325
1,6,1644,506,325
1,7,1588,506,314
1,7,1588,506,314
1,7,1541,507,304
1,7,1541,507,304
1,7,1515,507,299
1,7,1515,507,299
1,7,1644,506,325
1,8,1644,506,325
1,8,1644,506,325
1,8,1644,506,325
1,8,1737,505,344
1,8,1737,505,344
1,8,1634,506,323
1,8,1634,506,323
1,8,1531,507,302
1,9,1531,507,302
1,9,1531,507,302
1,9,1531,507,302
1,9,1521,507,300
1,9,1521,507,300
1,9,1526,507,301
1,9,1526,507,301
1,9,1563,506,309
1,9,1563,506,309
1,9,1515,507,299
2,10,1515,507,299
2,10,1515,507,299
2,10,1515,507,299
2,10,1521,507,300
2,10,1521,507,300
2,10,1526,507,301
2,10,1526,507,301
2,10,1546,507,305
2,11,1546,507,305
2,11,1444,507,285
2,11,1444,507,285
2,11,1348,507,266
2,11,1348,507,266
2,11,1335,506,264
2,11,1335,506,264
2,11,1315,506,260
2,11,1315,506,260
2,11,1320,506,261
2,11,1320,506,261
2,12,1315,506,260
2,12,1315,506,260
2,12,1335,506,264
2,12,1335,506,264
2,12,1320,506,261
2,12,1320,506,261
2,12,1254,506,248
2,13,1254,506,248
2,13,1214,506,240
2,13,1214,506,240
2,13,1194,506,236
2,13,1194,506,236
2,13,1254,506,248
2,13,1254,506,248
2,13,1320,506,261
2,13,1320,506,261
2,13,1305,506,258
2,13,1305,506,258
2,14,1439,507,284
2,14,1439,507,284
2,14,1315,506,260
2,14,1315,506,260
2,14,1320,506,261
2,14,1320,506,261
2,14,1184,506,234
2,14,1184,506,234
2,14,1178,506,233
2,14,1178,506,233
2,15,1285,506,254
2,15,1285,506,254
2,15,1184,506,234
2,15,1184,506,234
3,15,1189,506,235
3,15,1189,506,235
3,15,1249,506,247
3,15,1249,506,247
3,15,1315,506,260
3,15,1315,506,260
3,15,1345,506,266
3,16,1345,506,266
3,16,1249,506,247
3,16,1249,506,247
3,16,1178,506,233
3,16,1178,506,233
3,16,1320,506,261
3,16,1320,506,261
3,16,1320,506,261
3,16,1320,506,261
3,16,1320,506,261
3,16,1320,506,261
3,17,1249,506,247
3,17,1249,506,247
3,17,1310,506,259
3,17,1310,506,259
3,17,1384,507,273
3,17,1384,507,273
3,17,1439,507,284
3,17,1439,507,284
3,17,1315,506,260
3,17,1315,506,260
3,17,1310,506,259
3,18,1310,506,259
3,18,1244,506,246
3,18,1244,506,246
3,18,1194,506,236
3,18,1194,506,236
3,18,1178,506,233
3,18,1178,506,233
3,18,1265,506,250
3,18,1265,506,250
3,18,1315,506,260
3,18,1315,506,260
3,19,1940,504,385
3,19,1940,504,385
3,19,1619,506,320
3,19,1619,506,320
3,19,1609,506,318
3,19,1609,506,318
3,19,1701,505,337
4,20,1701,505,337
4,20,1585,505,314
4,20,1585,505,314
4,20,1424,507,281
4,20,1424,507,281
4,20,1475,507,291
4,20,1475,507,291
4,21,1526,507,301
4,21,1526,507,301
4,21,1531,507,302
4,21,1531,507,302
4,21,1421,506,281
4,21,1421,506,281
4,21,1320,506,261
4,21,1320,506,261
4,21,1239,506,245
