p,rate,pktsz,c,lat_median,lat_99th,mean_tput
0.01,0.1,64,1,430924.5,973649.0099999998,0.09320129292929294
0.01,0.1,64,2,375761.0,885525.48,0.09320129292929294
0.01,0.1,64,3,386689.0,897733.4000000001,0.09317333333333332
0.01,0.1,64,4,376941.0,884356.0800000001,0.09317333333333333
0.01,0.1,64,5,407333.5,907121.8,0.09317333333333333
0.01,0.1,64,6,383367.0,895448.1400000001,0.09314682828282828
0.01,0.1,64,7,384679.5,930462.8500000001,0.09320129292929294
0.01,0.1,64,8,405065.0,1008244.44,0.09320129292929294
0.01,1,64,1,433396.0,1042781.4599999993,0.9607813333333335
0.01,1,64,2,369860.5,977179.9999999995,0.9608085656565657
0.01,1,64,3,366789.0,985469.2000000002,0.9607806060606061
0.01,1,64,4,362521.5,967424.7900000003,0.9608085656565657
0.01,1,64,5,365328.0,951771.040000002,0.9608085656565657
0.01,1,64,6,360457.0,971543.9599999994,0.9607806060606061
0.01,1,64,7,360032.0,999224.06,0.9608085656565657
0.01,1,64,8,370127.0,1035923.38,0.9607813333333333
0.01,10,64,1,412854.0,1028218.5000000003,9.550020929292929
0.01,10,64,2,347294.0,913143.9999999999,8.491565737373739
0.01,10,64,3,339375.0,934750.3399999975,9.553200808080808
0.01,10,64,4,330933.5,915599.7299999986,9.552181494949496
0.01,10,64,5,308820.0,907149.7200000006,9.551606141414144
0.01,10,64,6,289777.0,896897.9000000005,9.553500282828283
0.01,10,64,7,275606.5,920085.6099999996,9.553377454545453
0.01,10,64,8,276821.0,927157.1699999999,9.554056242424243
0.01,100,64,1,172911.0,484587.08,95.89532492929294
0.01,100,64,2,166233.5,497589.86999999924,95.91529422222222
0.01,100,64,3,159835.0,443583.9199999995,94.80793632323233
0.01,100,64,4,159860.0,483193.95999999985,94.80907894949496
0.01,100,64,5,149171.0,463029.54999999894,94.80872129292929
0.01,100,64,6,156995.0,495428.9599999995,94.8176101818182
0.01,100,64,7,152901.0,735985.0,94.81069301010102
0.01,100,64,8,150057.0,587050.6399999997,94.80859846464647
0.01,1000,64,1,1965312.0,2012138.03,744.7461111919192
0.01,1000,64,2,1976427.0,2007620.03,744.7864937373737
0.01,1000,64,3,1983467.0,2293268.460000001,740.8462097777779
0.01,1000,64,4,1974548.0,7254896.04,736.9621402828284
0.01,1000,64,5,1982611.0,7246160.870000008,736.9122849292929
