p,rate,pktsz,c,lat_median,lat_99th,mean_tput
0.01,0.1,64,1,441709.0,971607.69,0.09321672727272727
0.01,0.1,64,3,363035.0,742195.5199999984,0.09321672727272727
0.01,0.1,64,5,400183.0,961536.9499999993,0.09321345454545454
0.01,0.1,64,7,381840.0,986738.1800000002,0.09321345454545454
0.01,0.1,256,1,435512.0,1199724.92,0.08340945454545455
0.01,0.1,256,3,403317.5,865645.0000000001,0.08353527272727274
0.01,0.1,256,5,381967.5,728077.7600000001,0.08325272727272728
0.01,0.1,256,7,389636.0,747403.66,0.083532
0.01,0.1,512,1,422233.0,638299.26,0.07149381818181817
0.01,0.1,512,3,388139.5,856499.1300000001,0.06640654545454545
0.01,0.1,512,5,432168.0,901430.7999999999,0.071244
0.01,0.1,512,7,343730.5,749253.4600000002,0.06658945454545454
0.01,0.1,1518,1,584757.5,907991.04,0.110952
0.01,0.1,1518,3,494094.0,881428.9,0.10279781818181818
0.01,0.1,1518,5,645238.0,1168410.9199999997,0.113712
0.01,0.1,1518,7,509004.0,893746.6900000001,0.12143999999999999
0.01,1,64,1,440593.0,1055667.4000000006,0.9606981818181818
0.01,1,64,3,375122.5,928700.5799999994,0.9606981818181818
0.01,1,64,5,368900.5,935035.5399999999,0.9606981818181818
0.01,1,64,7,364075.0,984716.54,0.9606981818181818
0.01,1,256,1,437228.5,965455.83,0.9294196363636363
0.01,1,256,3,383070.0,879195.6799999992,0.9262545454545454
0.01,1,256,5,383090.5,918339.9000000001,0.9275578181818182
0.01,1,256,7,373448.0,930181.2000000001,0.9294196363636363
0.01,1,512,1,425466.0,1057040.7599999998,0.9485963636363637
0.01,1,512,3,392679.0,924129.3400000004,0.953250909090909
0.01,1,512,5,392314.0,789458.639999999,0.9493410909090909
0.01,1,512,7,406289.0,1003483.36,0.953250909090909
0.01,1,1518,1,648911.0,1162675.1500000001,0.90252
0.01,1,1518,3,633260.0,1043757.959999999,0.883752
0.01,1,1518,5,580198.5,1024860.1,0.94668
0.01,1,1518,7,629315.0,1158311.36,0.8882938181818181
0.01,10,64,1,423155.0,1016405.8,9.550923636363637
0.01,10,64,3,349000.0,932796.5499999998,9.548829090909091
0.01,10,64,5,336659.0,894603.1199999999,9.556218181818183
0.01,10,64,7,307891.0,926232.5,9.555296727272728
0.01,10,256,1,439778.0,1123975.6599999985,9.354053818181818
0.01,10,256,3,361147.5,955233.4000000006,9.36569018181818
0.01,10,256,5,350773.0,938573.4699999986,9.353774545454545
0.01,10,256,7,352024.0,1012954.9200000006,9.353900363636363
0.01,10,512,1,430414.5,1026105.6500000001,9.696162909090908
0.01,10,512,3,376922.5,934631.6799999999,9.699328
0.01,10,512,5,378594.0,960343.1999999982,9.699328
0.01,10,512,7,384928.0,951818.9900000001,9.69945381818182
0.01,10,1518,1,650790.0,1323977.7999999973,9.195890545454546
0.01,10,1518,3,642104.0,1195863.0799999968,9.480722545454546
0.01,10,1518,5,638974.0,1219245.1999999993,9.497712
0.01,10,1518,7,648991.5,1312090.3400000026,9.542549818181818
0.01,100,64,1,171771.0,484046.31999999995,95.92041345454545
0.01,100,64,3,169130.0,457505.56000000006,94.80768618181818
0.01,100,64,5,167503.5,501750.07000000007,94.81056
0.01,100,64,7,158515.0,775007.2300000011,94.80859127272728
0.01,100,256,1,366625.0,978864.0199999991,93.426252
0.01,100,256,3,343153.0,868236.2999999999,92.87785345454546
0.01,100,256,5,311399.0,831523.6999999995,92.92468145454546
0.01,100,256,7,264431.0,803905.2799999999,92.91136945454545
0.01,100,512,1,411322.0,1174713.68,97.03008036363636
0.01,100,512,3,369213.5,1086834.1099999745,97.12372981818183
0.01,100,512,5,363560.0,1079336.759999883,97.15780436363636
0.01,100,512,7,358358.0,1022216.3599999137,97.13850181818182
0.01,100,1518,1,635846.5,6053037.549999865,96.62330654545454
0.01,100,1518,3,634233.0,5836019.00000003,98.30304254545456
0.01,100,1518,5,632758.0,5815460.780000059,97.96025381818183
0.01,100,1518,7,646843.0,6108328.12999999,98.54193599999999
0.05,0.1,64,1,495785.0,1734012.4600000004,0.09321345454545454
0.05,0.1,64,3,467745.0,1203241.1799999997,0.09321345454545454
0.05,0.1,64,5,469037.5,998765.0799999998,0.09321672727272727
0.05,0.1,64,7,455227.0,1148751.6599999992,0.09309090909090909
0.05,0.1,256,1,499873.5,1451530.9299999988,0.083532
0.05,0.1,256,3,489356.0,1030918.27,0.083532
0.05,0.1,256,5,513003.5,1079166.49,0.08353527272727274
0.05,0.1,256,7,467848.5,1257313.8399999999,0.08340945454545455
0.05,0.1,512,1,626078.0,1552068.54,0.07161636363636363
0.05,0.1,512,3,421696.0,917582.3199999998,0.07149381818181817
