p,rate,pktsz,c,lat_median,lat_99th,mean_tput
0.01,0.1,64,1,2286846.0,4892306.28,0.09088618181818181
0.01,0.1,64,3,2246410.0,4811204.6,0.0908509090909091
0.01,0.1,64,5,2224357.0,4096342.799999999,0.09198545454545454
0.01,0.1,256,1,3188296.0,5379750.66999999,0.08232181818181818
0.01,0.1,256,3,3103441.0,4934773.780000001,0.08309927272727273
0.01,0.1,256,5,2795070.0,4825444.879999999,0.08340945454545455
0.01,0.1,512,1,4691303.0,6978886.640000001,0.07161636363636363
0.01,0.1,512,3,4769771.5,6917304.379999999,0.07174218181818182
0.01,0.1,512,5,4109805.0,6537319.909999998,0.07143345454545455
0.01,0.1,1518,1,4571668.0,8746246.32,0.141312
0.01,0.1,1518,3,4557833.5,8669540.81,0.14156036363636365
0.01,0.1,1518,5,4644866.5,8714655.79,0.14156036363636365
0.01,1,64,1,2153840.0,5063860.619999997,0.944
0.01,1,64,3,2115173.0,4711944.989999999,0.9416301818181818
0.01,1,64,5,2197764.5,4978684.59,0.9408738181818181
0.01,1,256,1,3079623.0,6399547.750000003,0.9248581818181818
0.01,1,256,3,2812539.5,5366163.0,0.9228723636363636
0.01,1,256,5,3034739.0,5533573.459999994,0.9188694545454545
0.01,1,512,1,4377222.5,6833093.75,0.9504581818181819
0.01,1,512,3,4461713.0,6920590.54,0.9518872727272727
0.01,1,512,5,3919041.0,6612266.599999998,0.9530010909090909
0.01,1,1518,1,4540628.0,8610859.34,1.05984
0.01,1,1518,3,4528211.0,8648965.7,1.05984
0.01,1,1518,5,4546962.0,8635523.72,1.0599625454545454
0.01,10,64,1,2125737.5,4576342.489999947,9.376552727272728
0.01,10,64,3,2167848.5,4756574.229999999,9.341818181818184
0.01,10,64,5,2219806.0,4703346.08,9.327424363636364
0.01,10,256,1,3004340.0,5576159.620000003,9.225152363636363
0.01,10,256,3,3034242.0,5436567.520000009,9.235269818181818
0.01,10,256,5,3095170.0,5409024.439999989,9.217861818181818
0.01,10,512,1,4301430.0,7042133.680000003,9.584888363636363
0.01,10,512,3,4252775.0,6917518.080000002,9.566952727272728
0.01,10,512,5,4208796.5,6977269.380000001,9.573096727272727
0.01,10,1518,1,4520105.5,8650872.049999999,9.916376363636363
0.01,10,1518,3,4528445.5,8636934.440000001,9.8808
0.01,10,1518,5,4483560.0,8606261.719999999,9.916128
0.01,100,64,1,586600682.0,896667599.95,1.342270181818182
0.01,100,64,3,527374155.0,848417161.4399999,1.5171261818181818
0.01,100,64,5,545317068.0,886992501.3500001,1.5090036363636363
0.01,100,256,1,78611082.5,309784840.26,8.068623636363636
0.01,100,256,3,72666096.0,207465254.2399999,8.876992363636363
0.01,100,256,5,65962295.5,195004873.70000368,9.36907090909091
0.01,100,512,1,53354765.0,178782363.3099996,18.832725454545454
0.01,100,512,3,52390803.5,146237604.38000003,19.129931999999997
0.01,100,512,5,45922865.0,121302484.75999995,21.459811272727272
0.01,100,1518,1,7931484.5,11902147.749999996,97.68259454545455
0.01,100,1518,3,7970678.5,11993831.229999999,97.64395454545455
0.01,100,1518,5,7937564.5,11931606.19,97.68314654545455
0.05,0.1,64,1,2381746.5,6234682.010000004,0.09229200000000001
0.05,0.1,64,3,2478198.0,5543045.2700000005,0.09202072727272728
0.05,0.1,64,5,2271204.0,4998790.5600000005,0.09231163636363637
0.05,0.1,256,1,3202397.0,7177186.22,0.08343890909090909
0.05,0.1,256,3,3037258.0,6130764.199999997,0.083532
0.05,0.1,256,5,2888609.5,5274484.0600000005,0.083532
0.05,0.1,512,1,4425854.0,6793193.800000006,0.07149381818181817
0.05,0.1,512,3,4625979.0,6937874.96,0.07161636363636363
0.05,0.1,512,5,4136784.5,6582642.56,0.07161636363636363
0.05,0.1,1518,1,4744299.5,9244802.49,0.141312
0.05,0.1,1518,3,4644323.0,8979880.96,0.141312
0.05,0.1,1518,5,4673095.0,8735104.79,0.14143454545454545
0.05,1,64,1,2181744.0,6971769.720000005,0.9480436363636364
0.05,1,64,3,2275902.0,5393497.9600000065,0.9445527272727272
