p,rate,pktsz,lat_median,lat_99th,mean_tput
0,0.1,64,378957.0,693982.78,0.09320129292929294
0,1,64,417237.0,715293.41,0.9607806060606061
0,10,64,362711.0,706785.6400000002,9.550371393939393
0,100,64,181779.0,404774.4,95.90273987878787
0,1000,64,1978198.0,2008655.02,744.7699657373737
0.01,0.1,64,430924.5,973649.0099999998,0.09320129292929294
0.01,1,64,433396.0,1042781.4599999993,0.9607813333333335
0.01,10,64,412854.0,1028218.5000000003,9.550020929292929
0.01,100,64,172911.0,484587.08,95.89532492929294
0.01,1000,64,1965312.0,2012138.03,744.7461111919192
0.05,0.1,64,484286.0,1560433.6999999988,0.09320129292929294
0.05,1,64,512426.0,1602429.9499999997,0.9607806060606061
0.05,10,64,473903.0,1569237.44,9.550929616161616
0.05,100,64,59853.0,378734.80000000005,95.92985050505051
0.05,1000,64,1845966.0,19295159.11,732.183671919192
0.1,0.1,64,609505.0,2178634.799999998,0.09317333333333332
0.1,1,64,608821.0,2227658.7600000002,0.9607806060606061
0.1,10,64,659644.0,2193028.7600000002,9.558073777777778
0.1,100,64,148350.0,457315.72999999975,95.92404735353536
0.1,1000,64,1829817.5,13376734.02,695.0395673535354
0.25,0.1,64,784693.0,3860769.0999999996,0.09320129292929294
0.25,1,64,770733.0,3962737.2100000065,0.9608085656565657
0.25,10,64,929298.0,2842386.249999995,9.558891797979797
0.25,100,64,141479.0,1722378.5,95.62418472727273
0.25,1000,64,1822355.0,29709638.01,583.3660758787879
0.5,0.1,64,1373471.0,6473168.32,0.09320129292929293
0.5,1,64,1405692.5,6563026.229999995,0.9607541010101011
0.5,10,64,1102017.5,2870616.770000001,9.560860040404041
0.5,100,64,59570.0,22770204.619999997,72.70426416161617
0.5,1000,64,1823111.0,24772981.96,397.1257203232323
1,0.1,64,8292337.0,10627185.0,0.0931740606060606
1,1,64,8508617.0,10993073.32,0.9608085656565657
1,10,64,1808512.0,10175444.919999998,9.519644929292928
1,100,64,24666178.0,26058145.299999997,24.691704727272725
1,1000,64,26751278.0,28909992.48,24.660480484848488
