p,rate,pktsz,lat_median,lat_99th,mean_tput
0,0.1,64,378957.0,693982.78,0.09320129292929294
0,0.5,64,421379.0,706177.7999999998,0.48045947474747475
0,1,64,417237.0,715293.41,0.9607806060606061
0,10,64,362711.0,706785.6400000002,9.550371393939393
0,50,64,279036.0,696093.56,47.818201696969695
0,100,64,181779.0,404774.4,95.90273987878787
0,1000,64,1978198.0,2008655.02,744.7699657373737
0.01,0.1,64,445369.0,1076822.2,0.09203119191919192
0.01,0.5,64,442828.0,1171481.1200000006,0.48045947474747475
0.01,1,64,442605.0,1301492.88,0.9607806060606061
0.01,10,64,438370.0,1149415.4000000004,9.543051313131313
0.01,50,64,324824.0,850665.2500000005,47.76509898989898
0.01,100,64,202892.0,428378.20999999985,95.71530181818181
0.01,1000,64,2987911.5,3257991.03,647.3443410101012
0.05,0.1,64,690602.5,1821013.799999999,0.09317333333333333
0.05,0.5,64,703040.5,2064066.7300000002,0.4804315151515151
0.05,1,64,707473.0,2176737.100000002,0.9607806060606061
0.05,10,64,687823.0,1870882.680000003,9.540179636363636
0.05,50,64,334907.5,922521.32,47.53801187878788
0.05,100,64,217215.0,674047.4299999999,95.06894133333334
0.05,1000,64,4453028.5,5055104.0600000005,304.16662537373736
0.1,0.1,64,943573.0,2294316.5,0.09317406060606061
0.1,0.5,64,962046.5,2830821.8500000015,0.4804322424242424
0.1,1,64,969890.0,2763467.209999999,0.9608085656565657
0.1,10,64,901214.0,2384249.16,9.538612202020202
0.1,50,64,354093.0,992818.8000000066,47.45779765656565
0.1,100,64,272448.0,676351.4500000007,94.85394795959597
0.1,1000,64,6336561.0,7227338.03,180.47740816161615
0.25,0.1,64,1796542.0,4229063.8,0.09320129292929293
0.25,0.5,64,1830718.0,4522136.0,0.48045947474747464
0.25,1,64,1795766.0,4493132.28,0.9608085656565657
0.25,10,64,1121786.0,2907892.420000001,9.536078060606062
0.25,50,64,442432.0,1004688.3,47.39102432323232
0.25,100,64,9261993.0,10479433.850000001,84.53684202020202
0.25,1000,64,11602273.0,13061591.040000001,84.5141014949495
0.5,0.1,64,2856945.0,5749928.399999997,0.09317333333333333
0.5,0.5,64,3207534.5,6938710.38,0.48045947474747464
0.5,1,64,3266118.0,7190004.399999998,0.9607813333333333
0.5,10,64,1092232.5,2729225.9500000007,9.537325737373736
0.5,50,64,17576709.5,19034537.03,44.51025503030303
0.5,100,64,18250492.0,20050337.22,44.419846949494946
0.5,1000,64,20545034.0,22771923.44,44.51336452525252
1,0.1,64,3625683.0,9790740.600000033,0.09320129292929294
1,0.5,64,5903242.0,11415621.399999997,0.48045947474747475
1,1,64,5870828.5,11381361.780000001,0.9608085656565657
1,10,64,1180897.0,13910606.100000016,9.534397252525252
1,50,64,35415844.0,37522119.1,22.86483232323232
1,100,64,36078199.0,38697040.07,22.877521050505052
1,1000,64,38454960.0,41658237.440000005,22.884670949494947
