p,rate,pktsz,lat_median,lat_99th,mean_tput
0,0.1,64,2258891.5,4113738.689999999,0.09047272727272727
0,0.1,128,2487205.0,4344003.959999998,0.08322327272727273
0,0.1,256,3095454.0,4989000.4,0.08313018181818183
0,0.1,512,4515431.0,6752854.6,0.07093527272727274
0,0.1,1024,3556827.0,6516211.760000001,0.09544763636363637
0,0.1,1280,4001441.0,7320317.4,0.08948981818181818
0,0.1,1518,4603521.0,8560689.510000002,0.105984
0,0.5,64,2059243.0,4079189.599999998,0.4725818181818182
0,0.5,128,2258547.0,4197100.5600000005,0.4290389090909091
0,0.5,256,2981942.0,4910975.9799999995,0.4626618181818182
0,0.5,512,4305667.0,6715222.199999999,0.4753221818181818
0,0.5,1024,3523222.0,6604910.639999999,0.476748
0,0.5,1280,3991693.5,7322351.7,0.5363261818181818
0,0.5,1518,4533658.5,8559598.420000002,0.565248
0,1,64,2043633.0,4130640.600000009,0.9457163636363637
0,1,128,2219729.0,4120318.119999999,0.860672
0,1,256,2832328.5,5523408.20000001,0.9235549090909092
0,1,512,4318794.0,6728124.3,0.9504581818181819
0,1,1024,3544978.0,6500622.6000000015,0.953250909090909
0,1,1280,3993008.0,7418591.58,0.9830399999999999
0,1,1518,4530799.5,8649380.02,1.05984
0,10,64,2099719.5,4030352.099999998,9.359010909090909
0,10,128,2303257.0,4201051.32,8.576232727272728
0,10,256,2888107.0,4927345.450000003,9.227357090909091
0,10,512,3577571.0,5810838.090000001,9.568814545454547
0,10,1024,3384431.0,6540444.349999993,9.771566545454546
0,10,1280,3937193.0,7315099.96,9.836916363636364
0,10,1518,4525533.0,8534512.15,9.8808
0,50,64,212833943.5,305955412.25,3.0562098181818182
0,50,128,86449826.0,121221991.15999998,9.255267272727274
0,50,256,28114594.0,76179598.59999987,21.138461454545457
0,50,512,6790437.0,11247486.099999998,45.00492254545455
0,50,1024,3438681.0,6568742.999999999,48.77678
0,50,1280,3935384.0,7335120.75,48.93428981818181
0,50,1518,4466090.5,8532628.27,49.09058654545454
0,100,64,464710494.0,735992419.64,1.6714243636363637
0,100,128,346458979.5,631492593.1300002,3.292608363636364
0,100,256,58407208.5,224802183.0499999,9.301486909090908
0,100,512,44422811.0,120283837.72000004,21.373609090909092
0,100,1024,15121194.5,20536197.6,85.16750581818182
0,100,1280,8499966.0,11948067.04,97.44535890909091
0,100,1518,7935302.0,12101767.780000001,97.59869054545456
0.01,0.1,64,2575026.5,11981097.420000002,0.09122909090909091
0.01,0.1,128,2844417.0,12318065.740000004,0.08205963636363636
0.01,0.1,256,3473837.5,12049738.469999995,0.08210618181818181
0.01,0.1,512,5437064.0,15084144.719999999,0.07106109090909091
0.01,0.1,1024,4369521.0,13839120.2,0.0954509090909091
0.01,0.1,1280,4073484.0,10634844.940000001,0.11928218181818181
0.01,0.1,1518,4899375.0,11993505.200000001,0.14143781818181816
0.01,0.5,64,2338505.0,15620405.980000038,0.47424945454545453
0.01,0.5,128,2508299.0,9666525.88,0.427008
0.01,0.5,256,3231407.0,10581570.719999999,0.4629410909090909
0.01,0.5,512,4665057.0,13585670.399999985,0.4755083636363637
0.01,0.5,1024,4218780.0,12206198.060000002,0.4766254545454545
0.01,0.5,1280,5320239.0,14171301.109999998,0.5065403636363636
0.01,0.5,1518,5320820.0,14461733.679999998,0.5653738181818182
0.01,1,64,2296773.0,10038327.830000028,0.945173090909091
0.01,1,128,2487592.0,10269249.520000016,0.8602392727272727
0.01,1,256,3196544.0,10545831.16,0.9203294545454546
0.01,1,512,4386350.0,9438754.49,0.950584
0.01,1,1024,3863775.0,12349917.34,0.9526319999999999
0.01,1,1280,4720315.0,14694247.749999985,0.9831658181818181
0.01,1,1518,4946572.0,12726685.989999993,1.0246378181818183
0.01,10,64,42126238.5,105566288.75999999,4.602191272727272
0.01,10,128,3107324.5,19884009.39999984,8.309466909090908
