cores,pkt_sz,mwatt_mean,mwatt_stdev,mwatt_95ci,mwatt_median
1,64,1708.7,46.00720957994881,3.723853610311039,1700.0
2,64,1674.4,57.85625866461351,4.682923386886046,1654.0
3,64,1659.6133333333332,20.77555828906223,1.6815872652853159,1654.0
4,64,1653.3533333333332,37.0605156766905,2.9997023588838374,1644.0
5,64,1658.5933333333332,34.854382157134204,2.8211364700451895,1649.0
6,64,1664.4933333333333,38.73099476589203,3.1349120280654006,1649.0
7,64,nan,nan,-999.0,nan
8,64,nan,nan,-999.0,nan
1,128,1706.94,52.7890430550381,4.272779643889635,1695.0
2,128,1661.5933333333332,35.42260985428501,2.867129191204185,1649.0
3,128,1668.2866666666666,37.03283888058753,2.9974621809196833,1649.0
4,128,1648.4333333333334,20.287407150468713,1.642075993108051,1642.0
5,128,1659.0,35.57114935824631,2.87915207572928,1649.0
6,128,1653.7933333333333,17.671935063509284,1.4303779731103532,1649.0
7,128,nan,nan,-999.0,nan
8,128,nan,nan,-999.0,nan
1,256,1707.74,34.85100285501122,2.8208629471229187,1695.0
2,256,1664.1933333333334,37.01201546645209,2.9957767201709657,1649.0
3,256,1653.4533333333334,18.529467222657956,1.4997871864915169,1644.0
4,256,1648.8,19.581964491167206,1.5849770032390325,1639.0
5,256,1651.52,43.119325906914014,3.4901064185083897,1644.0
6,256,1654.4533333333334,20.968734397245395,2.428477999923757,1644.0
7,256,nan,nan,-999.0,nan
8,256,nan,nan,-999.0,nan
1,512,1705.3733333333332,41.39396842804785,3.350454856602937,1691.0
2,512,1663.44,35.62667165668628,2.8836460868502627,1649.0
3,512,1656.8133333333333,33.971240123898276,2.749654376718695,1644.0
4,512,1647.9666666666667,19.42109391586604,1.571956033741003,1639.0
5,512,1658.1066666666666,28.512487712501613,2.307819389103429,1647.0
6,512,1662.1466666666668,26.61788538224294,2.154469038320258,1649.0
7,512,nan,nan,-999.0,nan
8,512,nan,nan,-999.0,nan
1,1024,1704.42,34.49720181889153,2.7922260600411164,1695.0
2,1024,1659.2533333333333,38.820988595804145,3.142196187471768,1649.0
3,1024,1659.48,47.16223347835287,3.817341999486075,1649.0
4,1024,1649.1933333333334,18.59630668230179,1.5051972160364357,1642.0
5,1024,1664.5533333333333,52.95917127582552,4.286549933263359,1647.0
6,1024,1659.18,30.99055124818961,2.508395471161066,1648.0
7,1024,nan,nan,-999.0,nan
8,1024,nan,nan,-999.0,nan
1,1280,1695.8133333333333,48.207521773635655,3.901948317229426,1690.0
2,1280,1658.7933333333333,29.24934111318673,2.3674607849077347,1649.0
3,1280,1654.9733333333334,29.405883009281585,2.380131388281825,1649.0
4,1280,1645.22,19.519518436682805,1.5799225787789055,1639.0
5,1280,1652.6933333333334,19.89939585905953,1.610670105605891,1647.0
6,1280,1659.72,22.283662176581302,1.8036541795262337,1649.0
7,1280,nan,nan,-999.0,nan
8,1280,nan,nan,-999.0,nan
1,1518,1703.3666666666666,26.03521119987741,2.1073070092068065,1695.0
2,1518,1658.36,21.087525538415676,2.442235705441476,1649.0
3,1518,1661.5933333333332,41.728502915340194,3.3775322966313297,1644.0
4,1518,1645.3333333333333,14.775054051414573,1.1959025308042328,1639.0
5,1518,1652.0333333333333,18.815743998636414,1.5229586158285429,1644.0
6,1518,1658.6866666666667,33.741989008092304,2.731098641583799,1649.0
7,1518,nan,nan,-999.0,nan
8,1518,nan,nan,-999.0,nan
