cores,pkt_sz,mwatt_mean,mwatt_stdev,mwatt_95ci,mwatt_median
1,64,1712.9933333333333,66.34098749809368,5.369682883659266,1684.0
2,64,1677.4666666666667,44.09363773708049,3.568967854780226,1659.0
3,64,1648.6866666666667,34.00277178244281,2.7522065697680773,1647.0
4,64,1657.44,19.996493025861646,1.618529213742363,1652.0
5,64,1663.6533333333334,34.61213403161126,2.8015287484498685,1654.0
6,64,1659.4,26.567398567919042,2.1503826025744956,1654.0
7,64,nan,nan,-999.0,nan
1,128,1714.6733333333334,69.25753837830379,5.605750417945501,1695.0
2,128,1671.7533333333333,33.39579547720873,2.703077510947651,1659.0
3,128,1646.82,33.67037669326951,2.725302294021617,1643.0
4,128,1655.8333333333333,35.18776618213906,2.848120790904204,1647.0
5,128,1662.0,22.038148742578176,1.7837821617285954,1654.0
6,128,1653.7466666666667,17.87742959401292,1.4470108347053383,1649.0
7,128,nan,nan,-999.0,nan
1,256,1705.9133333333334,59.81169748097404,4.841197882612505,1690.0
2,256,1666.7,23.935956216537495,1.9373919389374805,1654.0
3,256,1658.2466666666667,46.553902330763016,3.7681032788399307,1644.0
4,256,1649.94,28.913487049011113,2.3402765374639785,1642.0
5,256,1654.0066666666667,44.15359504678589,3.573820838611482,1649.0
6,256,1662.8266666666666,42.46908627329871,3.437475597615048,1644.0
7,256,nan,nan,-999.0,nan
1,512,1704.2466666666667,58.50936525225874,4.735786260912278,1679.0
2,512,1658.02,24.24114133726655,1.9620938220557491,1649.0
3,512,1663.94,54.27009366738431,4.392656848358115,1639.0
4,512,1662.18,74.62734708760144,6.040386244185925,1642.0
5,512,1660.44,36.67887311973111,2.9688119609101022,1649.0
6,512,1656.0,35.1290952535549,2.843371927601652,1644.0
7,512,nan,nan,-999.0,nan
1,1024,1698.9066666666668,31.748248595613727,2.5697239896364863,1690.0
2,1024,1661.4266666666667,19.993447815610885,1.6182827324345226,1654.0
3,1024,1647.4933333333333,21.185764612640778,1.714789633196233,1642.0
4,1024,1653.6733333333334,37.02188481905744,2.9965755520206585,1644.0
5,1024,1667.68,48.89898703790635,3.957915967610006,1649.0
6,1024,1651.6,20.86336502101231,1.688694399553242,1644.0
7,1024,nan,nan,-999.0,nan
1,1280,1691.4066666666668,55.497278812168396,4.491986015974362,1684.0
2,1280,1661.3533333333332,25.402397962047246,2.0560866921769048,1654.0
3,1280,1658.1266666666668,47.94626112175542,3.880801709325624,1639.0
4,1280,1649.58,22.982100281160847,1.860186216158354,1642.0
5,1280,1668.8333333333333,51.20187713572836,4.144313397126439,1649.0
6,1280,1652.0666666666666,22.860348981490976,2.6475539019380676,1644.0
7,1280,nan,nan,-999.0,nan
1,1518,1696.9933333333333,43.23447646908143,3.499426780264116,1679.0
2,1518,1661.78,21.378765165462667,1.7304112240725544,1654.0
3,1518,1654.5133333333333,36.90180423171143,2.9868561508051243,1639.0
4,1518,1654.6333333333334,35.729430757041484,2.891963475588682,1642.0
5,1518,1665.0066666666667,44.720986373538565,3.619745863403864,1649.0
6,1518,1653.9866666666667,23.992495122896706,1.941968234967817,1644.0
7,1518,nan,nan,-999.0,nan
