cores,pkt_sz,mwatt_mean,mwatt_stdev,mwatt_95ci,mwatt_median
1,64,1900.3933333333334,290.34723801376555,23.500895194318105,1710.0
2,64,1830.1533333333334,208.04908833146942,16.839629175048344,1757.0
3,64,1824.7466666666667,204.07757305059818,16.51817213272591,1737.0
4,64,1793.4533333333334,193.40129564083986,15.654027261954639,1700.0
5,64,1796.0333333333333,209.65560384168657,16.969661590345027,1669.0
6,64,nan,nan,-999.0,nan
7,64,nan,nan,-999.0,nan
1,128,1889.16,244.93338087460978,19.825067918336117,1777.0
2,128,1795.84,190.40956138457614,15.41187433607638,1716.5
3,128,1770.1933333333334,178.35622395145683,14.436269327069681,1679.0
4,128,1783.6266666666668,187.71561990296797,15.193824951994088,1682.0
5,128,1793.3466666666666,187.2199770917148,15.153707298935728,1703.0
6,128,nan,nan,-999.0,nan
7,128,nan,nan,-999.0,nan
1,256,1861.4266666666667,232.57722292224196,18.824952418600333,1743.5
2,256,1804.5866666666666,185.37361145055738,15.004261257292455,1710.0
3,256,1784.9266666666667,189.69347543398067,15.353913871254349,1664.0
4,256,1759.2533333333333,178.55924083868885,14.452701646599053,1654.0
5,256,1787.3533333333332,175.52588172561775,14.207179577607917,1671.5
6,256,nan,nan,-999.0,nan
7,256,nan,nan,-999.0,nan
1,512,1859.64,223.27150228664055,18.071741308823903,1742.0
2,512,1808.0866666666666,197.27459497416848,15.96753464129631,1690.0
3,512,1832.4466666666667,248.50334770827982,20.114023366919696,1659.0
4,512,1767.7466666666667,165.77189897231946,13.417685839074124,1660.5
5,512,1793.9533333333334,172.41807084976782,13.955631334281179,1731.0
6,512,nan,nan,-999.0,nan
7,512,nan,nan,-999.0,nan
1,1024,1860.5666666666666,199.49367297123877,16.147148264604425,1787.0
2,1024,1773.9333333333334,132.6548235919909,10.737168114918745,1676.5
3,1024,1742.6133333333332,119.02866806875653,9.634258181820542,1661.5
4,1024,1761.7133333333334,138.06009979554395,11.174674703323149,1676.5
5,1024,1736.8133333333333,114.03615722899275,9.230161091714194,1669.0
6,1024,nan,nan,-999.0,nan
7,1024,nan,nan,-999.0,nan
1,1280,1857.2266666666667,186.08855048664927,15.062128890104987,1828.5
2,1280,1758.78,121.93237852733512,9.869286403988326,1666.5
3,1280,1742.44,122.216555343374,9.892287861195541,1654.0
4,1280,1751.6066666666666,115.88021957559836,9.379420703191272,1669.0
5,1280,1747.68,124.05677839871012,10.041236717928086,1674.0
6,1280,nan,nan,-999.0,nan
7,1280,nan,nan,-999.0,nan
1,1518,1809.16,166.34406431650433,19.26501108543755,1772.0
2,1518,1747.4133333333334,112.22128061211129,9.083263792274693,1664.0
3,1518,1740.54,105.79720412184814,8.563294842851406,1669.0
4,1518,1743.3866666666668,109.08405240404707,8.829334490853626,1684.5
5,1518,1754.1666666666667,117.56509780637374,9.515795848301991,1674.0
6,1518,nan,nan,-999.0,nan
7,1518,nan,nan,-999.0,nan
