cores,pkt_sz,target_rate,target_pps,rate_median,rate_mean,pps_median,pps_mean,rate_95ci,pps_95ci
1,64,0.5,976.5625,0.4803490909090909,0.4803490909090909,750.5454545454545,750.5454545454545,0.0,0.0
2,64,0.5,976.5625,0.0,0.0,0.0,0.0,0.0,0.0
3,64,0.5,976.5625,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
4,64,0.5,976.5625,0.0,0.0,0.0,0.0,0.0,0.0
5,64,0.5,976.5625,0.00024836363636363635,0.00024836363636363635,0.09090909090909091,0.09090909090909091,6.5454545454544976e-06,0.0
6,64,0.5,976.5625,0.00024836363636363635,0.00024836363636363635,0.09090909090909091,0.09090909090909091,6.5454545454544976e-06,0.0
7,64,0.5,976.5625,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
1,128,0.5,488.28125,0.4349207272727273,0.4349207272727273,424.72727272727275,424.72727272727275,0.0,0.0
2,128,0.5,488.28125,0.0,0.0,0.0,0.0,0.0,0.0
3,128,0.5,488.28125,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
4,128,0.5,488.28125,0.0,0.0,0.0,0.0,0.0,0.0
5,128,0.5,488.28125,0.00024836363636363635,0.00024836363636363635,0.09090909090909091,0.09090909090909091,6.5454545454544976e-06,0.0
6,128,0.5,488.28125,0.0001258181818181818,0.0001258181818181818,0.045454545454545456,0.045454545454545456,0.0002516363636363636,0.09090909090909091
7,128,0.5,488.28125,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
1,256,0.5,244.140625,0.46483236363636365,0.46483236363636365,226.95454545454544,226.95454545454544,0.00024509090909097253,0.09090909090909349
2,256,0.5,244.140625,0.0,0.0,0.0,0.0,0.0,0.0
3,256,0.5,244.140625,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
4,256,0.5,244.140625,0.0,0.0,0.0,0.0,0.0,0.0
5,256,0.5,244.140625,0.00024836363636363635,0.00024836363636363635,0.09090909090909091,0.09090909090909091,6.5454545454544976e-06,0.0
6,256,0.5,244.140625,0.0001258181818181818,0.0001258181818181818,0.045454545454545456,0.045454545454545456,0.0002516363636363636,0.09090909090909091
7,256,0.5,244.140625,0.0,0.0,0.0,0.0,0.0,0.0
1,512,0.5,122.0703125,0.4766254545454545,0.4766254545454545,116.36363636363636,116.36363636363636,0.0,0.0
2,512,0.5,122.0703125,0.0001258181818181818,0.0001258181818181818,0.045454545454545456,0.045454545454545456,0.0002516363636363636,0.09090909090909091
3,512,0.5,122.0703125,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
4,512,0.5,122.0703125,0.0,0.0,0.0,0.0,0.0,0.0
5,512,0.5,122.0703125,0.00024836363636363635,0.00024836363636363635,0.09090909090909091,0.09090909090909091,6.5454545454544976e-06,0.0
6,512,0.5,122.0703125,0.0001258181818181818,0.0001258181818181818,0.045454545454545456,0.045454545454545456,0.0002516363636363636,0.09090909090909091
7,512,0.5,122.0703125,0.0,0.0,0.0,0.0,0.0,0.0
1,1024,0.5,61.03515625,0.476748,0.476748,58.22727272727273,58.22727272727273,0.00024509090909097253,0.09090909090909349
2,1024,0.5,61.03515625,0.0,0.0,0.0,0.0,0.0,0.0
3,1024,0.5,61.03515625,0.00024836363636363635,0.00024836363636363635,0.09090909090909091,0.09090909090909091,0.0004967272727272727,0.18181818181818182
4,1024,0.5,61.03515625,0.0,0.0,0.0,0.0,0.0,0.0
5,1024,0.5,61.03515625,0.00024836363636363635,0.00024836363636363635,0.09090909090909091,0.09090909090909091,6.5454545454544976e-06,0.0
6,1024,0.5,61.03515625,0.0,0.0,0.0,0.0,0.0,0.0
7,1024,0.5,61.03515625,0.0,0.0,0.0,0.0,0.0,0.0
1,1280,0.5,48.828125,0.5065370909090909,0.5065370909090909,49.5,49.5,0.059333090909090835,5.727272727272734
2,1280,0.5,48.828125,0.0,0.0,0.0,0.0,0.0,0.0
3,1280,0.5,48.828125,0.00024836363636363635,0.00024836363636363635,0.09090909090909091,0.09090909090909091,0.0004967272727272727,0.18181818181818182
4,1280,0.5,48.828125,0.0,0.0,0.0,0.0,0.0,0.0
5,1280,0.5,48.828125,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
6,1280,0.5,48.828125,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
7,1280,0.5,48.828125,0.0,0.0,0.0,0.0,0.0,0.0
1,1518,0.5,41.17259552042161,0.5653705454545455,0.5653705454545455,46.59090909090909,46.59090909090909,0.00024509090909097253,0.09090909090908639
2,1518,0.5,41.17259552042161,0.0,0.0,0.0,0.0,0.0,0.0
3,1518,0.5,41.17259552042161,0.0001258181818181818,0.0001258181818181818,0.045454545454545456,0.045454545454545456,0.0002516363636363636,0.09090909090909091
4,1518,0.5,41.17259552042161,0.0001258181818181818,0.0001258181818181818,0.045454545454545456,0.045454545454545456,0.0002516363636363636,0.09090909090909091
5,1518,0.5,41.17259552042161,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
6,1518,0.5,41.17259552042161,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
7,1518,0.5,41.17259552042161,0.0,0.0,0.0,0.0,0.0,0.0
