cores,pkt_sz,lat_mean,lat_min,lat_10th,lat_25th,lat_median,lat_75th,lat_90th,lat_99th,lat_max
1,64,618292.3076923077,172908.0,211817.6,361720.5,495785.0,853123.0,1152958.8,1734012.4600000004,2203684.0
3,64,512876.094488189,104098.0,193322.8,346087.0,467745.0,686881.5,825648.0000000001,1203241.1799999997,1338074.0
5,64,506166.8787878788,130768.0,184857.8,324039.5,469037.5,658908.5,874252.9,998765.0799999998,1241158.0
7,64,512954.2444444444,83596.0,174872.8,338555.5,455227.0,714277.5,901251.6000000001,1148751.6599999992,1320029.0
1,256,608188.3571428572,163443.0,204105.6,376333.75,499873.5,900677.75,1114188.5999999999,1451530.9299999988,1574747.0
3,256,525119.625,119982.0,195588.7,353575.0,489356.0,741071.0,889010.0,1030918.27,1049719.0
5,256,576703.45,143033.0,230373.0,372854.0,513003.5,810456.25,932083.3,1079166.49,1093171.0
7,256,543026.175,135350.0,198057.80000000002,369543.25,467848.5,705558.5,934482.3,1257313.8399999999,1401904.0
1,512,687275.1052631579,187595.0,309020.60000000003,397163.0,626078.0,935649.0,1202594.2,1552068.54,1620792.0
3,512,467431.86666666664,153957.0,171921.2,303544.5,421696.0,679290.5,706006.2,917582.3199999998,951807.0
5,512,581505.1176470588,156882.0,249316.2,368518.0,553760.0,828288.0,939051.4,1139474.08,1165908.0
7,512,494744.93333333335,134013.0,184178.8,340729.5,418774.0,639572.5,893887.3999999999,1002145.3400000001,1006796.0
1,1518,642596.8888888889,374917.0,382082.6,395806.0,640961.0,890345.0,902475.2,914658.32,916012.0
3,1518,636096.0666666667,223613.0,246000.4,443172.0,676458.0,839390.0,1000916.6000000001,1084005.2999999998,1097530.0
5,1518,581475.8181818182,184030.0,188095.0,361278.5,545647.0,752533.0,956512.0,1136691.1,1156711.0
7,1518,691294.2666666667,176090.0,364006.0,425510.5,673260.0,904837.0,1069776.6,1206815.6,1215721.0
