cores,pkt_sz,total_mean,total_stdev,total_95ci,total_median,user_mean,user_stdev,user_95ci,user_median,system_mean,system_stdev,system_95ci,system_median
1,64,0.12192701151909319,0.0027866990234285964,0.005573398046857193,0.12213740458015265,0.11881539568138565,0.0024027907430888657,0.0048055814861777315,0.11928934010152284,0.0023344777435209078,0.0012540926517703934,0.0025081853035407867,0.002544529262086514
3,64,0.18956536905412646,0.0055343202560460235,0.011068640512092047,0.191747572815534,0.17949166449059206,0.00576048050454634,0.01152096100909268,0.1815991276206557,0.008453229767431167,0.0015771875504529997,0.0031543751009059993,0.00848166675504805
5,64,0.20088638034546402,0.00444429755456527,0.00888859510913054,0.19974093264248705,0.18520564407045695,0.004289074770841701,0.008578149541683401,0.18652849740932642,0.00985751853115138,0.0018048839671660055,0.003609767934332011,0.010362694300518135
7,64,0.3236368152576924,0.015136598982104068,0.030273197964208135,0.3227135635699418,0.26900387401364956,0.01347615489871619,0.02695230979743238,0.2672571258655112,0.01714060101510991,0.0022714145526732763,0.004542829105346553,0.01722019825468101
1,256,0.0378234118605186,0.0022278326269293412,0.0044556652538586825,0.03816793893129766,0.03591248413731483,0.0017003791457221844,0.003400758291444369,0.03571428571428571,0.0012037515824873549,0.0012725983027112489,0.0025451966054224977,0.0
3,256,0.14507558810140736,0.0225666399078618,0.0451332798157236,0.14511873350923488,0.1355022809510285,0.021437566370012248,0.042875132740024496,0.1349206349206349,0.009062563514231655,0.002107411408237203,0.004214822816474406,0.0079155672823219
5,256,0.3298535281862064,0.011123356204860236,0.02224671240972047,0.3324396782841823,0.304400351721842,0.010814936355588948,0.021629872711177896,0.30563002680965146,0.023521862874270053,0.0028229905258164737,0.0056459810516329475,0.024128686327077747
7,256,0.3729027460166965,0.02777532530153914,0.05555065060307828,0.3743090243090243,0.30273545134072327,0.02366861414911917,0.04733722829823834,0.30208828971715573,0.026562554302767105,0.003394584714735546,0.006789169429471092,0.025940729974160207
1,512,0.05283463405816123,0.006169342868238734,0.012338685736477468,0.055555909830054484,0.04981213303671625,0.005747963398188795,0.01149592679637759,0.05089058524173028,0.0019690675812189893,0.0012099060214852359,0.0024198120429704717,0.002531645569620253
3,512,0.13514077385068524,0.0036539911013803725,0.007307982202760745,0.1350649350649351,0.12176579764989742,0.0031761289718485047,0.0063522579436970095,0.12207792207792208,0.012581692449655214,0.0019829137824754874,0.003965827564950975,0.012987012987012988
5,512,0.17476100769710293,0.003734925310635545,0.00746985062127109,0.1741424802110818,0.1550957622164902,0.0038889761110533798,0.0077779522221067595,0.15485564304461943,0.01886229603767762,0.0021539132570017024,0.004307826514003405,0.018469656992084433
7,512,0.2240927737368986,0.0033691914402149948,0.0067383828804299896,0.22480620155038755,0.1725745125935531,0.004355932020095106,0.008711864040190212,0.1731266149870801,0.02539857287939425,0.0026546992956991305,0.005309398591398261,0.02577319587628866
1,1518,0.04625731219615695,0.002416757307581906,0.004833514615163812,0.045685279187817285,0.040063114717086346,0.001626547858244369,0.003253095716488738,0.04050632911392405,0.0035899008778840346,0.0012459976843523627,0.0024919953687047255,0.002544529262086514
3,1518,0.06389531396450393,0.0024458879900637817,0.004891775980127563,0.06385706456495643,0.04652213793695152,0.0022021953139702796,0.004404390627940559,0.045977086486768626,0.01028080376705793,0.0018373729169670354,0.0036747458339340708,0.010217130330393027
5,1518,0.08345041319642686,0.0032283775756400553,0.006456755151280111,0.08268733850129195,0.05895345511072419,0.0026139737114772963,0.0052279474229545925,0.059278350515463915,0.016831530967174466,0.0019386970839593161,0.0038773941679186323,0.017948717948717947
7,1518,0.10137831924397628,0.0037206281548766798,0.0074412563097533595,0.10116748536437659,0.06403674951115332,0.0033659691965095893,0.006731938393019179,0.06468316129118634,0.024028754152932676,0.0028584377565897463,0.0057168755131794926,0.023376623376623377
