cores,pkt_sz,lat_mean,lat_min,lat_10th,lat_25th,lat_median,lat_75th,lat_90th,lat_99th,lat_max
1,64,1161005.3963728836,64739.0,177515.0,331223.5,1081965.0,1750031.0,2137932.4000000004,2659824.38,43412346.0
3,64,1229799.2651359336,78973.0,196017.0,435435.0,994296.0,1819999.0,2329393.0,3031486.8,74394007.0
5,64,1144253.8563740444,66070.0,186172.8,444156.0,977030.0,1594045.0,2156116.8,3080325.759999998,87995047.0
7,64,1139008.4728821157,72838.0,186814.0,443053.0,1019464.5,1618027.25,2106705.5,2786383.619999999,61007586.0
1,256,2160104.7875464354,103133.0,204301.6,385722.0,1008527.0,4506464.0,5555273.8,6521653.519999998,55001877.0
3,256,1236656.8169196376,84625.0,206882.19999999998,432158.5,1020206.0,1896749.5,2376455.4,3068269.5800000033,27855756.0
5,256,1193629.265832184,90690.0,207529.6,450260.5,1040994.0,1700727.0,2300266.0,3259223.4999999986,32375653.0
7,256,1175085.2925113777,87140.0,206360.1,455603.25,1053917.0,1680252.75,2152959.2000000007,2891779.9799999995,26954740.0
1,512,2149029.339482201,124557.0,211288.1,424504.0,742219.0,4325958.25,5579712.6,6611402.850000001,41205059.0
3,512,1247973.6779661018,104713.0,224885.0,449719.0,1050201.0,1915696.0,2423384.3000000003,3187442.110000001,15201390.0
5,512,1210560.4663160024,105641.0,238408.80000000002,471299.0,1064998.0,1720070.5,2333119.8000000003,3326478.92,16435932.0
7,512,1170024.30713016,91028.0,228371.80000000002,474770.0,1070403.0,1696497.5,2158570.2,2859574.040000003,14891506.0
1,1518,2520669.5754408883,161242.0,357619.0,524575.0,929924.0,5284420.0,6109252.0,6996253.600000002,15314229.0
3,1518,1318117.226737968,150880.0,348324.1000000001,601612.0,1161143.5,1984689.75,2496942.8000000003,3131829.47,5862228.0
5,1518,1275915.9628514056,150982.0,367103.3,636506.0,1151912.0,1794938.75,2373267.9,3447998.8299999987,6192955.0
7,1518,1239643.0755667507,146825.0,375518.6,643559.0,1155927.0,1762691.0,2258295.2,2981858.7600000002,5431325.0
