cores,pkt_sz,lat_mean,lat_min,lat_10th,lat_25th,lat_median,lat_75th,lat_90th,lat_99th,lat_max
1,64,6517624.19,747945.0,1639469.5,2804547.0,7517526.5,10284283.5,10419088.8,10545989.950000001,10590238.0
3,64,2500985.669456067,322212.0,740009.6000000001,1078208.0,2777429.0,3765492.0,4249125.8,5077748.44,5537927.0
5,64,2278557.161585366,333237.0,723903.8,1119592.75,2104973.5,3160215.0,4327117.100000001,5326930.100000002,6219189.0
7,64,2137954.3197831977,355802.0,674544.0,1127036.0,2073333.0,3030914.0,3774803.0,4618373.4,4764147.0
1,256,6483247.035714285,1023014.0,2316331.2,2922124.75,6811702.0,10287716.0,10367365.3,10565022.14,10633310.0
3,256,2425000.895522388,376250.0,902050.2000000001,1185510.0,2176932.0,3648252.5,4206722.199999999,4736285.960000001,4899005.0
5,256,2151422.895348837,374295.0,671992.5,1105243.75,2016381.5,2839314.0,4124948.0,5030886.25,5066684.0
7,256,2221417.281553398,364778.0,805665.2,1212145.5,2217672.0,3213507.5,3832129.8,4238674.24,4390460.0
1,512,6425263.25,1166322.0,1879523.1,2152911.75,7238540.5,10258389.25,10380610.9,10486517.600000001,10499249.0
3,512,2580273.535714286,499308.0,1006360.5,1381679.5,2959890.0,3714138.75,4046329.8,5047322.54,5347859.0
5,512,2200188.6511627906,457822.0,571100.6000000001,1044315.0,2066884.0,2930978.0,4170478.6000000015,5395398.579999998,5725351.0
7,512,2162800.2156862747,487593.0,816984.0,1275206.0,2042553.0,3083914.0,3697319.0,3904630.5,3949352.0
1,1518,8248988.307692308,834205.0,1603688.6000000003,9276683.0,10115514.0,10375538.0,10628425.8,10854610.959999999,10885420.0
3,1518,2740172.5789473685,437078.0,702763.2000000001,1733790.0,2409152.0,4065354.5,4599786.0,5148012.9799999995,5192795.0
5,1518,2313172.92,462364.0,721196.0,1249120.0,1993361.0,3333749.0,4395503.0,4777415.119999999,4861328.0
7,1518,2167008.1944444445,387257.0,618102.5,1233833.75,2168889.0,2986532.0,3799089.0,4147957.1,4152421.0
