cores,pkt_sz,target_rate,target_pps,rate_median,rate_mean,pps_median,pps_mean,rate_95ci,pps_95ci
1,64,0.1,195.3125,0.09321345454545454,0.09321345454545454,145.5,145.5,0.000245090909090917,0.09090909090906507
3,64,0.1,195.3125,0.09333927272727273,0.09333927272727273,145.54545454545456,145.54545454545456,0.0004967272727272876,0.1818181818181586
5,64,0.1,195.3125,0.09321672727272727,0.09321672727272727,145.5,145.5,0.00025163636363637054,0.09090909090906507
7,64,0.1,195.3125,0.09321672727272727,0.09321672727272727,145.5,145.5,0.00025163636363637054,0.09090909090906507
1,256,0.1,48.828125,0.083532,0.083532,40.77272727272727,40.77272727272727,0.00024509090909090314,0.09090909090909349
3,256,0.1,48.828125,0.0836578181818182,0.0836578181818182,40.81818181818181,40.81818181818181,0.0004967272727272737,0.18181818181817988
5,256,0.1,48.828125,0.08340945454545455,0.08340945454545455,40.72727272727273,40.72727272727273,0.0,0.0
7,256,0.1,48.828125,0.08353527272727274,0.08353527272727274,40.77272727272727,40.77272727272727,0.00025163636363635666,0.09090909090909349
1,512,0.1,24.4140625,0.07161963636363636,0.07161963636363636,17.5,17.5,0.00025163636363637054,0.09090909090909349
3,512,0.1,24.4140625,0.07174218181818182,0.07174218181818182,17.545454545454547,17.545454545454547,0.0004967272727272876,0.18181818181818343
5,512,0.1,24.4140625,0.07161636363636363,0.07161636363636363,17.5,17.5,0.000245090909090917,0.09090909090909349
7,512,0.1,24.4140625,0.07161963636363636,0.07161963636363636,17.5,17.5,0.00025163636363637054,0.09090909090909349
1,1518,0.1,8.234519104084322,0.10610981818181818,0.10610981818181818,8.772727272727273,8.772727272727273,0.07040436363636363,5.7272727272727275
3,1518,0.1,8.234519104084322,0.10623236363636364,0.10623236363636364,8.818181818181818,8.818181818181818,0.07015927272727271,5.636363636363637
5,1518,0.1,8.234519104084322,0.10610654545454545,0.10610654545454545,8.772727272727273,8.772727272727273,0.07041090909090908,5.7272727272727275
7,1518,0.1,8.234519104084322,0.141312,0.141312,11.636363636363637,11.636363636363637,0.0,0.0
