cores,pkt_sz,total_mean,total_stdev,total_95ci,total_median,user_mean,user_stdev,user_95ci,user_median,system_mean,system_stdev,system_95ci,system_median
1,64,0.00453940048222611,0.00194190052520921,0.00388380105041842,0.005025125628140725,0.0016059552042501611,0.00120737743799531,0.00241475487599062,0.002512562814070352,0.00286382678730482,0.0012032775364140321,0.0024065550728280642,0.0025188916876574307
3,64,0.01603464481167709,0.011488453474873978,0.022976906949747956,0.011463363971542795,0.005366062930186115,0.004257266690695767,0.008514533381391534,0.003816992613322053,0.010668581881490969,0.007594977096717773,0.015189954193435546,0.007653061224489796
5,64,0.028743773700293438,0.019688728353844796,0.03937745670768959,0.02438863621382903,0.010559848347918654,0.0075772781106676615,0.015154556221335323,0.00890376275675816,0.018183925352374772,0.012561851997008558,0.025123703994017116,0.01662087912087912
7,64,0.05504662068083636,0.01377789476930706,0.02755578953861412,0.05236116185604678,0.01195897031238694,0.0049903973316075415,0.009980794663215083,0.011391388174807199,0.04287770958650116,0.010584635953158632,0.021169271906317264,0.040920983778126634
1,256,0.005372896385785984,0.0022177011665169104,0.004435402333033821,0.005037783375314908,0.0017443184427574426,0.001299135193648699,0.002598270387297398,0.0025094142391153765,0.0034896890541396375,0.0013566702116989033,0.0027133404233978067,0.0025188916876574307
3,256,0.00876455816559672,0.005061131979203251,0.010122263958406503,0.007672634271099765,0.002755381581903837,0.0021848654976314597,0.0043697309952629194,0.0025542825825982567,0.006009176583692883,0.003526781918779898,0.007053563837559796,0.005115089514066497
5,256,0.02705432232536011,0.015154477177110786,0.03030895435422157,0.02564102564102566,0.009296730899525617,0.005908701643036597,0.011817403286073194,0.007751937984496124,0.017685814222274335,0.010023546741296786,0.02004709348259357,0.015384615384615385
7,256,0.05136169385375619,0.018135523303001635,0.03627104660600327,0.0535714285714286,0.011183963345616733,0.005862156616567332,0.011724313233134664,0.01262634314319421,0.04010482295491695,0.013489981247111203,0.026979962494222406,0.039584774183445776
1,512,0.004957462149127774,0.001500175711039868,0.003000351422079736,0.005025125628140725,0.0016050788376694941,0.0012067193326494527,0.0024134386652989053,0.002506265664160401,0.0032824140979122204,0.0012982139982631094,0.002596427996526219,0.0025188916876574307
3,512,0.006239941790975891,0.0038414196670090413,0.007682839334018083,0.0063972246996485405,0.001771753513867909,0.001566836403583925,0.00313367280716785,0.002551020408163265,0.004326463998799088,0.0027228553024282623,0.0054457106048565245,0.00510204081632653
5,512,0.02939556561423642,0.01876919658385421,0.03753839316770842,0.02316606153764611,0.01000857434639281,0.007135966318390046,0.014271932636780092,0.007692307692307693,0.0193869912678436,0.012729272574876856,0.025458545149753712,0.015306222057359285
7,512,0.04792890144010917,0.017540303912888914,0.03508060782577783,0.04993442192930686,0.009104931117589227,0.005738839675724725,0.01147767935144945,0.010063036378825854,0.038823970322519934,0.013603053216484964,0.027206106432969928,0.03712520657905091
1,1518,0.003982629240114465,0.0018102346635942685,0.003620469327188537,0.005025125628140725,0.001396925692619216,0.001249452860875992,0.002498905721751984,0.0025094142391153765,0.0025159101359932944,0.0011837037908864056,0.002367407581772811,0.0025188916876574307
3,1518,0.010647470571974297,0.0100473248539555,0.020094649707911,0.007653061224489832,0.0032918711733612867,0.003347093109028064,0.006694186218056128,0.0025575447570332483,0.007284556488695423,0.007023434045641063,0.014046868091282127,0.005115089514066497
5,1518,0.031183931470484913,0.01885700831692891,0.03771401663385782,0.030612244897959218,0.010566140855324264,0.006466462327054671,0.012932924654109342,0.010178182948306226,0.02061779061516064,0.013024839326231625,0.02604967865246325,0.019198735605047087
7,1518,0.06026045158101624,0.015498652530153185,0.03099730506030637,0.0608277430796515,0.014194210844222697,0.005616027282593951,0.011232054565187902,0.015114213197969543,0.045997141787097566,0.011393793097474866,0.022787586194949732,0.04779881776641393
