cores,pkt_sz,lat_mean,lat_min,lat_10th,lat_25th,lat_median,lat_75th,lat_90th,lat_99th,lat_max
1,64,748780.8649068323,133479.0,187052.3,319510.25,448132.5,637869.5,1774105.4,3071331.939999992,5243734.0
3,64,715561.0767987065,101918.0,179675.6,303780.0,442251.0,674824.0,1693807.8000000003,2898124.5600000005,5910904.0
5,64,686183.9195100613,99161.0,171931.8,267782.5,429763.0,678929.0,1680077.5999999999,2762032.799999999,4749300.0
7,64,645238.7218181818,83285.0,166779.0,221178.25,392712.0,631366.25,1675690.8,1999770.2,3103661.0
1,256,730246.1717948718,148607.0,169441.4,328732.5,445005.5,633764.5,1747843.6,3022550.2300000004,4126387.0
3,256,649784.9765013055,100872.0,155577.4,326445.5,418812.0,636286.0,1657570.0,2651266.7800000007,2923997.0
5,256,627273.8314606742,92540.0,146215.5,267189.25,399565.5,624157.25,1605107.0,2693752.6999999993,2911412.0
7,256,643219.9786096257,88369.0,145691.9,266002.25,403492.5,635381.25,1699643.3,2330136.9899999937,2880535.0
1,512,809609.9,159894.0,188016.3,347685.5,444672.0,694249.0,1839664.7,3820832.0999999973,4125982.0
3,512,685107.2315270936,112231.0,158573.2,300424.5,444965.0,696251.5,1717831.0,2789466.519999991,2944122.0
5,512,644507.4191919192,120731.0,171182.5,276253.0,420617.5,626048.75,1616916.7,2716779.23,4153500.0
7,512,666683.2311557789,117280.0,160589.6,336960.0,415427.0,646652.5,1756988.4000000001,2811891.52,2915387.0
1,1518,831781.0178571428,208227.0,282813.30000000005,463889.75,661621.5,905289.5,1814676.2000000002,2962567.34,3048011.0
3,1518,850397.025,163597.0,231355.30000000002,424014.75,679949.0,943966.75,1797835.9000000001,2959396.42,2992615.0
5,1518,695550.256880734,165653.0,231899.8,389111.0,633431.0,826415.0,1575461.2000000002,2079694.52,2095985.0
7,1518,686649.1176470588,152097.0,241237.5,400683.75,640867.0,868402.25,1005717.4000000001,2125810.0699999994,2159843.0
