cores,pkt_sz,lat_mean,lat_min,lat_10th,lat_25th,lat_median,lat_75th,lat_90th,lat_99th,lat_max
1,64,1927970.3262032086,173614.0,232587.0,429651.5,634698.0,2997913.0,5114047.4,8756548.659999983,9906370.0
3,64,1315706.7397959183,110393.0,197286.0,380341.0,677081.5,1739127.25,2819796.5,5058538.950000012,6241033.0
5,64,1142151.2758620689,111468.0,197584.30000000002,366101.0,620167.5,1663397.25,2742116.6,3941402.4000000004,4119754.0
7,64,1209507.7958115183,104315.0,185911.0,379644.0,645756.0,1726590.0,2766644.0,4087690.5,4180502.0
1,256,1905111.2962962964,157270.0,239162.5,436315.5,676806.0,2850175.25,5079154.4,8093284.039999999,8557316.0
3,256,1310130.156862745,122202.0,256135.0,381994.5,636514.0,1793868.0,2976899.0,4487640.5,5023036.0
5,256,1328173.8979591837,124182.0,200437.80000000002,377801.0,644344.0,1742534.0,3056828.000000003,5071288.959999999,5098576.0
7,256,1091280.68,113334.0,165767.3,395268.75,641867.0,1630187.5,2068610.500000001,3467533.979999998,3969832.0
1,512,1874572.4782608696,166477.0,192892.2,372579.0,577342.0,2843505.0,4071959.0,7793338.580000004,8519319.0
3,512,1311568.5,167817.0,311923.60000000003,412083.25,1177144.0,1801493.75,2743244.4,3597218.0399999996,3821365.0
5,512,1431431.32,151140.0,380169.2,397245.0,1428499.0,1799085.0,2897268.4000000004,4183685.1199999996,4221896.0
7,512,1113178.6,129306.0,177106.1,371184.0,589452.5,1616090.25,2818157.0000000005,2889158.9000000004,2891361.0
1,1518,1692514.9333333333,223197.0,325216.0,507269.5,792918.0,3004807.5,4118932.0,4382748.9399999995,4409745.0
3,1518,1322340.105263158,253838.0,389270.8,568070.0,881125.0,1815033.5,3066064.8,3948553.24,4091506.0
5,1518,990810.5625,163757.0,332573.5,420450.0,679891.0,1098766.75,1718853.0,3670744.599999999,4009444.0
7,1518,1468011.4583333333,173329.0,308895.9,504564.25,961764.5,2102512.25,3216618.1,4193629.69,4312102.0
