cores,pkt_sz,lat_mean,lat_min,lat_10th,lat_25th,lat_median,lat_75th,lat_90th,lat_99th,lat_max
1,64,47019949.58585858,3763946.0,7351570.2,19232906.0,74267940.0,75828385.5,76188950.8,76715298.38,77472220.0
3,64,15886552.831541218,1326225.0,2736648.5999999996,6104950.0,19059107.0,25429636.0,28215458.2,33318601.019999973,36348864.0
5,64,10401169.720108695,1286085.0,2651824.9,3947361.75,10840606.0,15550409.5,18947668.5,21460051.54,23884067.0
7,64,8288562.50117096,1292134.0,2456138.4,3884629.0,7655031.0,11983822.5,14477093.200000001,18928120.880000003,22569060.0
1,256,46956225.35714286,1469229.0,14247768.200000001,21148488.5,49662970.5,76001808.25,76379892.5,76549246.02,76558608.0
3,256,15885349.108108109,1416041.0,3761124.0999999996,6222163.0,18890759.5,25077566.75,28366266.3,31395939.689999975,35432728.0
5,256,10155282.990291262,1350310.0,2538646.6,3923051.5,10795542.0,15520062.0,19024631.4,22295806.040000003,23477980.0
7,256,8257018.692982456,1340457.0,1671881.8,3645708.0,8471246.0,11973244.75,15152232.700000003,18080112.91,18843894.0
1,512,47795131.833333336,6268376.0,14919066.200000001,21170172.5,52901322.0,75857544.75,76042809.3,76059543.82000001,76059658.0
3,512,14777498.424242424,1363499.0,2766645.6,5017221.0,10903983.0,24512020.0,28315664.200000003,32835500.72,34020846.0
5,512,10604299.777777778,1417184.0,2797681.0,5015321.0,10964155.0,15609184.0,18943283.6,20540902.640000008,21563009.0
7,512,8552316.339622641,1483527.0,2675054.6,4834670.0,8525291.0,11874440.0,14771621.000000002,17259926.279999997,17758456.0
1,1518,61202072.3125,14312050.0,15817711.5,61085277.25,76031315.0,76454372.0,76744642.5,77032941.55,77071465.0
3,1518,17415750.791666668,1667382.0,3181554.9000000004,5201733.25,22687954.5,26699478.75,30625733.599999998,32907096.810000002,32964563.0
5,1518,10508323.9,1532729.0,1635432.0,3854806.5,11467465.5,15312239.25,19424582.6,22366889.23,22673916.0
7,1518,8825930.53125,1552440.0,2773640.4,3976706.25,8932170.5,12104753.0,16491835.100000005,18432495.85,19117027.0
