cores,pkt_sz,lat_mean,lat_min,lat_10th,lat_25th,lat_median,lat_75th,lat_90th,lat_99th,lat_max
1,64,1046448108.3864542,23550921.0,786163398.0,797415485.0,811790148.0,828963669.0,2024021047.0,3213995519.0,3294073908.0
3,64,16736968.700749064,1259344.0,2660414.7,4985198.0,18741603.0,25720500.75,29425487.299999997,37418146.36999999,207590974.0
5,64,10720933.479753973,1279649.0,2659081.9000000004,4132508.25,10758500.0,15650450.0,19095015.2,24942944.949999984,113658503.0
7,64,8437471.041157102,1282004.0,2503082.9,3880519.5,8413790.0,12036312.0,14534164.500000002,20070439.499999993,73411975.0
1,256,48862152.05844156,2582285.0,10925541.9,19332057.5,73925547.5,75722012.75,76126483.69999999,148891495.06000015,227289819.0
3,256,16037200.534606205,1304681.0,3735000.1,6079469.75,16707341.5,25089100.0,29542332.6,35786593.44,54169132.0
5,256,10520842.057724958,1287408.0,2640177.4,4000582.25,10827995.0,15605341.0,19058493.2,25021518.490000002,38672177.0
7,256,8303172.371715611,1291885.0,2361490.3000000003,3870720.5,8268004.5,12017900.0,14541660.4,20163742.059999995,34095983.0
1,512,47661176.24848485,2667290.0,10960052.2,19261195.0,74169303.0,75843545.0,76358032.2,76795866.24,76870040.0
3,512,16209185.74473068,1309820.0,3698551.8,6109071.5,18972325.0,25858770.5,29467187.0,33055920.64,35470619.0
5,512,10440153.241935484,1305838.0,2595059.0999999996,3989758.5,10901354.0,15764081.25,19038867.8,22840209.869999994,25077789.0
7,512,8298558.799093655,1315879.0,2449755.8,3906155.0,8427500.5,11992768.5,14447761.699999997,19123426.95,20900270.0
1,1518,59735169.008771926,5015573.0,15643015.2,24295751.75,74921793.5,75800551.0,76306844.6,77028988.25999999,77290959.0
3,1518,16876236.216216218,1369105.0,2660179.6,5124456.0,19129245.0,26946112.0,30862941.8,36779703.04,37758949.0
5,1518,10725707.366515838,1373170.0,2662304.0,3958712.0,11876697.0,15723327.0,19235189.0,22588837.000000004,25919620.0
7,1518,8480824.065637065,1360178.0,1730330.2,3946061.5,8569959.0,12933094.5,15410674.200000001,17637263.139999986,20281526.0
