cores,pkt_sz,lat_mean,lat_min,lat_10th,lat_25th,lat_median,lat_75th,lat_90th,lat_99th,lat_max
1,64,2363623.6769310166,267049.0,932558.8,1411599.0,2181744.0,2989436.0,3713283.4000000004,6971769.720000005,25700082.0
3,64,2372864.7652320676,246972.0,980640.6,1480045.0,2275902.0,3074251.0,3800944.6000000006,5393497.9600000065,18143937.0
5,64,2482055.9653801555,316687.0,1071009.2,1578372.0,2392168.0,3213401.0,3899403.000000002,5300685.320000002,13933556.0
1,256,3052316.5157333333,316889.0,1074816.8,2129689.5,3050648.0,3914401.0,4617990.8,7403294.239999999,12372741.0
3,256,2955696.8040468586,289570.0,1071861.6,2076828.25,2991018.0,3849799.5,4554997.699999999,6229928.920000001,8963754.0
5,256,3111750.02628866,326544.0,1157467.8,2216854.5,3155698.5,4068063.5,4691006.4,6294838.359999998,10502822.0
1,512,4268753.061278863,398665.0,1329895.0,3305036.0,4505731.5,5536123.0,6280765.0,8199847.5,9688799.0
3,512,4251500.684397163,349949.0,1499482.5,3264446.0,4537147.5,5517120.25,6244069.4,7341378.780000001,8830872.0
5,512,4160004.542806708,362392.0,1621202.0,3067310.0,4445873.0,5417168.0,6105569.6,6960577.52,7582031.0
1,1518,4665454.287339971,635709.0,1331582.2000000002,2541094.5,4680178.0,6745892.5,8036561.2,8883495.6,9490367.0
3,1518,4617730.337175792,632801.0,1326666.1,2538029.25,4614524.0,6681240.5,7955767.500000002,8713962.4,9547745.0
5,1518,4660919.100719425,635895.0,1323670.8,2555887.5,4654489.0,6754559.0,8018512.0,8855360.779999997,9407969.0
