cores,pkt_sz,lat_mean,lat_min,lat_10th,lat_25th,lat_median,lat_75th,lat_90th,lat_99th,lat_max
1,64,2640794.553633218,553386.0,1103668.6,1558012.0,2358416.5,3187691.5,4436143.800000003,8095474.600000002,9863664.0
3,64,2623160.562805873,558758.0,1145373.2,1652822.0,2462038.0,3322977.0,4366430.6,6004976.64,7263759.0
5,64,2759321.4227129337,474580.0,1235896.5,1758300.5,2617625.0,3545212.25,4470721.200000001,6106478.779999992,6937802.0
1,256,3534688.3882352943,591315.0,2034265.4000000001,2551976.0,3347972.0,4215627.0,5166493.000000002,9082149.479999999,9313257.0
3,256,3276794.5459770113,460542.0,1168990.1,2382635.5,3288950.5,4227141.0,4948237.100000001,6681101.780000001,6995883.0
5,256,3235211.7853403143,579953.0,1373417.0,2159026.0,3277531.0,4238447.0,5030588.0,6493872.699999999,6689343.0
1,512,5013446.55952381,517791.0,1925318.300000001,3936410.75,4877531.5,5877387.0,7019443.800000001,12794435.120000001,13029770.0
3,512,4607265.464285715,662565.0,1486681.1,3878743.25,4808410.5,5831408.0,6457114.4,8094493.810000001,9034297.0
5,512,4219208.471910113,559858.0,1267489.2000000002,2901355.0,4515203.0,5614059.0,6436090.8,7383890.560000005,8333664.0
1,1518,4838453.412371134,681653.0,1414673.4000000001,2673329.0,4722654.0,6937300.0,8202395.000000002,10102577.319999997,10393897.0
3,1518,4625776.59375,686541.0,1337767.5,2491433.75,4606948.5,6758816.25,8011572.5,8848225.85,9073753.0
5,1518,4660556.670212766,690341.0,1355609.3,2508003.0,4640412.5,6764976.75,8062688.5,8867658.439999998,9081272.0
