total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,2203,502,439
0,0,2203,502,439
0,0,2073,502,413
0,0,2073,502,413
0,0,2089,501,417
0,0,2089,501,417
0,0,2063,502,411
0,0,2063,502,411
0,0,2028,502,404
0,0,2028,502,404
0,0,2143,502,427
0,0,2143,502,427
0,0,2048,502,408
0,0,2048,502,408
0,0,2008,502,400
0,0,2008,502,400
0,0,2083,502,415
0,0,2083,502,415
0,0,2043,502,407
0,0,2043,502,407
0,0,2009,501,401
0,0,2009,501,401
0,0,2093,502,417
0,0,2093,502,417
0,0,2048,502,408
0,0,2048,502,408
0,0,2068,502,412
0,0,2068,502,412
0,0,2078,502,414
0,0,2078,502,414
0,0,2033,502,405
1,5,2033,502,405
1,5,2064,501,412
1,5,2064,501,412
1,5,2088,502,416
1,5,2088,502,416
1,5,2008,502,400
1,5,2008,502,400
1,5,2053,502,409
1,6,2053,502,409
1,6,2028,502,404
1,6,2028,502,404
1,6,2058,502,410
1,6,2058,502,410
1,6,2053,502,409
1,6,2053,502,409
1,7,2082,503,414
1,7,2082,503,414
1,7,2074,501,414
1,7,2074,501,414
1,8,2278,503,453
1,8,2278,503,453
1,8,2048,502,408
1,8,2048,502,408
1,8,2028,502,404
1,8,2028,502,404
1,8,2162,503,430
1,9,2162,503,430
1,9,2098,502,418
1,9,2098,502,418
1,9,2147,503,427
1,9,2147,503,427
1,9,2038,502,406
1,9,2038,502,406
2,10,2067,503,411
2,10,2067,503,411
2,10,2039,501,407
2,10,2039,501,407
2,10,2043,502,407
2,10,2043,502,407
2,10,2058,502,410
2,11,2058,502,410
2,11,2113,502,421
2,11,2113,502,421
2,11,2123,502,423
2,12,2123,502,423
2,12,2349,503,467
2,12,2349,503,467
2,12,2058,502,410
2,12,2058,502,410
2,12,2484,501,496
2,12,2484,501,496
2,13,2033,502,405
2,13,2033,502,405
2,13,2048,502,408
2,13,2048,502,408
2,14,2058,502,410
2,14,2058,502,410
2,14,1986,503,395
2,14,1986,503,395
2,14,2158,502,430
2,14,2158,502,430
2,14,2464,502,491
3,15,2464,502,491
3,15,2008,502,400
3,15,2008,502,400
3,15,2043,502,407
3,15,2043,502,407
3,15,2008,502,400
3,15,2008,502,400
3,16,1982,502,395
3,16,1982,502,395
3,16,2218,503,441
3,16,2218,503,441
3,16,2048,502,408
3,16,2048,502,408
3,16,2033,502,405
3,17,2033,502,405
3,17,2028,502,404
3,17,2028,502,404
3,17,2364,503,470
3,18,2364,503,470
3,18,1937,502,386
3,18,1937,502,386
3,18,1931,503,384
3,18,1931,503,384
3,18,2054,501,410
3,18,2054,501,410
3,19,2028,502,404
3,19,2028,502,404
3,19,2043,502,407
3,19,2043,502,407
3,19,2028,502,404
3,19,2028,502,404
3,19,1906,503,379
