total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,2278,503,453
0,0,2008,502,400
0,0,2008,502,400
0,0,2063,502,411
0,0,2063,502,411
0,0,2338,503,465
0,0,2338,503,465
0,0,2028,502,404
0,0,2028,502,404
0,0,2002,502,399
0,0,2002,502,399
0,0,2023,502,403
0,0,2023,502,403
0,0,2058,502,410
0,0,2058,502,410
0,0,2049,501,409
0,0,2049,501,409
0,0,2092,503,416
0,0,2092,503,416
0,0,2048,502,408
0,0,2048,502,408
0,0,2033,502,405
0,0,2033,502,405
0,0,2107,503,419
0,0,2107,503,419
0,0,2043,502,407
0,0,2043,502,407
0,0,2028,502,404
0,0,2028,502,404
0,0,2068,502,412
0,0,2068,502,412
0,0,2058,502,410
0,0,2058,502,410
1,5,2013,502,401
1,5,2013,502,401
1,5,1996,503,397
1,5,1996,503,397
1,5,2053,502,409
1,5,2053,502,409
1,5,2058,502,410
1,6,2058,502,410
1,6,2043,502,407
1,6,2043,502,407
1,6,2068,502,412
1,6,2068,502,412
1,6,2183,503,434
1,6,2183,503,434
1,7,1996,503,397
1,7,1996,503,397
1,7,2008,502,400
1,7,2008,502,400
1,8,1997,502,398
1,8,1997,502,398
1,8,1982,502,395
1,8,1982,502,395
1,8,2014,501,402
1,8,2014,501,402
1,8,2157,503,429
1,9,2157,503,429
1,9,2002,502,399
1,9,2002,502,399
1,9,2328,503,463
1,9,2328,503,463
1,9,2023,502,403
1,9,2023,502,403
2,10,2228,503,443
2,10,2228,503,443
2,10,2013,502,401
2,10,2013,502,401
2,10,2098,502,418
2,10,2098,502,418
2,10,2243,503,446
2,11,2243,503,446
2,11,2073,502,413
2,11,2073,502,413
2,11,2073,502,413
2,12,2073,502,413
2,12,2018,502,402
2,12,2018,502,402
2,12,2078,502,414
2,12,2078,502,414
2,12,2029,501,405
2,12,2029,501,405
2,13,2028,502,404
2,13,2028,502,404
2,13,2023,502,403
2,13,2023,502,403
2,13,2454,504,487
2,13,2454,504,487
2,13,2048,502,408
2,13,2048,502,408
2,14,2138,502,426
2,14,2138,502,426
2,14,2024,501,404
2,15,2024,501,404
2,15,2067,503,411
2,15,2067,503,411
2,15,2034,501,406
3,15,2034,501,406
3,15,1951,503,388
3,15,1951,503,388
3,16,1942,502,387
3,16,1942,502,387
3,16,1972,502,393
3,16,1972,502,393
3,16,2013,502,401
3,16,2013,502,401
3,16,2103,502,419
3,16,2103,502,419
3,17,2028,502,404
3,17,2028,502,404
3,17,2288,503,455
3,17,2288,503,455
3,17,2078,502,414
3,17,2078,502,414
3,17,2098,502,418
3,18,2098,502,418
3,18,2053,502,409
3,18,2053,502,409
3,19,2023,502,403
3,19,2023,502,403
3,19,2033,502,405
3,19,2033,502,405
3,19,2019,501,403
3,19,2019,501,403
