total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1593,506,315
0,0,1593,506,315
0,0,1583,506,313
0,0,1583,506,313
0,0,1789,504,355
0,0,1789,504,355
0,0,1717,505,340
0,0,1717,505,340
0,0,1871,503,372
0,0,1871,503,372
0,0,1691,505,335
0,0,1691,505,335
0,0,1696,505,336
0,0,1696,505,336
0,0,1691,505,335
0,0,1691,505,335
0,0,1717,505,340
0,0,1717,505,340
0,0,1727,505,342
0,0,1727,505,342
0,0,1696,505,336
0,0,1696,505,336
0,0,1696,505,336
0,0,1696,505,336
0,0,1691,505,335
0,0,1691,505,335
0,0,1691,505,335
0,0,1691,505,335
0,0,1711,505,339
0,0,1711,505,339
0,0,1910,504,379
0,0,1910,504,379
0,0,2042,503,406
0,0,2042,503,406
0,0,2027,503,403
0,0,2027,503,403
0,0,1840,503,366
0,0,1840,503,366
1,5,1951,503,388
1,5,1951,503,388
1,5,1916,503,381
1,5,1916,503,381
1,5,1819,504,361
1,5,1819,504,361
1,5,1830,503,364
1,5,1830,503,364
1,6,1825,503,363
1,6,1825,503,363
1,6,1881,503,374
1,6,1881,503,374
1,6,1834,504,364
1,6,1834,504,364
1,6,1921,503,382
1,7,1921,503,382
1,7,1830,503,364
1,7,1830,503,364
1,7,1871,503,372
1,8,1871,503,372
1,8,1834,504,364
1,8,1834,504,364
1,8,1834,504,364
1,8,1834,504,364
1,8,1825,503,363
1,8,1825,503,363
1,9,1844,504,366
1,9,1844,504,366
1,9,1996,503,397
1,9,1996,503,397
1,9,1851,503,368
1,9,1851,503,368
1,9,1593,506,315
1,10,1593,506,315
1,10,1578,506,312
1,10,1578,506,312
1,10,1583,506,313
2,10,1583,506,313
2,10,1737,505,344
2,10,1737,505,344
2,10,1823,505,361
2,10,1823,505,361
2,10,1696,505,336
2,10,1696,505,336
2,11,1696,505,336
2,11,1696,505,336
2,11,1706,505,338
2,11,1706,505,338
2,11,1651,505,327
2,11,1651,505,327
2,11,1593,506,315
2,12,1593,506,315
2,12,1583,506,313
2,12,1583,506,313
2,12,1609,506,318
2,12,1609,506,318
2,12,1543,506,305
2,12,1543,506,305
2,13,1558,506,308
2,13,1558,506,308
2,13,1701,505,337
2,13,1701,505,337
2,13,1691,505,335
2,13,1691,505,335
2,13,1717,505,340
2,13,1717,505,340
2,14,1639,506,324
2,14,1639,506,324
2,14,1583,506,313
2,14,1583,506,313
2,14,1629,506,322
2,14,1629,506,322
2,14,1696,505,336
2,15,1696,505,336
2,15,1691,505,335
2,15,1691,505,335
3,15,1691,505,335
3,15,1691,505,335
3,15,1568,506,310
3,15,1568,506,310
3,16,1691,505,335
3,16,1691,505,335
3,16,1701,505,337
3,16,1701,505,337
3,16,1701,505,337
3,16,1701,505,337
3,16,1691,505,335
