total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1621,505,321
0,0,1583,506,313
0,0,1583,506,313
0,0,1804,504,358
0,0,1804,504,358
0,0,1598,506,316
0,0,1598,506,316
0,0,1578,506,312
0,0,1578,506,312
0,0,1706,505,338
0,0,1706,505,338
0,0,1774,504,352
0,0,1774,504,352
0,0,1769,504,351
0,0,1769,504,351
0,0,1696,505,336
0,0,1696,505,336
0,0,1706,505,338
0,0,1706,505,338
0,0,1691,505,335
0,0,1691,505,335
0,0,1696,505,336
0,0,1696,505,336
0,0,1717,505,340
0,0,1717,505,340
0,0,1757,505,348
0,0,1757,505,348
0,0,1752,505,347
0,0,1752,505,347
0,0,1706,505,338
0,0,1706,505,338
0,0,1686,505,334
0,0,1686,505,334
0,0,1722,505,341
0,0,1722,505,341
0,0,1696,505,336
0,0,1696,505,336
0,0,1696,505,336
1,5,1696,505,336
1,5,1706,505,338
1,5,1706,505,338
1,5,1706,505,338
1,5,1706,505,338
1,5,1701,505,337
1,5,1701,505,337
1,6,1732,505,343
1,6,1732,505,343
1,6,1752,505,347
1,6,1752,505,347
1,6,1737,505,344
1,6,1737,505,344
1,6,1706,505,338
1,7,1706,505,338
1,7,1797,505,356
1,7,1797,505,356
1,7,1814,504,360
1,7,1814,504,360
1,7,1706,505,338
1,7,1706,505,338
1,7,1701,505,337
1,8,1701,505,337
1,8,1696,505,336
1,8,1696,505,336
1,8,1691,505,335
1,8,1691,505,335
1,8,1737,505,344
1,8,1737,505,344
1,9,1717,505,340
1,9,1717,505,340
1,9,1737,505,344
1,9,1737,505,344
1,9,1696,505,336
1,9,1696,505,336
1,9,1711,505,339
1,10,1711,505,339
1,10,1717,505,340
1,10,1717,505,340
1,10,1706,505,338
2,10,1706,505,338
2,10,1583,506,313
2,10,1583,506,313
2,10,1583,506,313
2,10,1583,506,313
2,10,1583,506,313
2,10,1583,506,313
2,11,1578,506,312
2,11,1578,506,312
2,11,1711,505,339
2,11,1711,505,339
2,11,1649,506,326
2,11,1649,506,326
2,11,1691,505,335
2,12,1691,505,335
2,12,1691,505,335
2,12,1691,505,335
2,12,1696,505,336
2,12,1696,505,336
2,12,1691,505,335
2,12,1691,505,335
2,13,1732,505,343
2,13,1732,505,343
2,13,1701,505,337
2,13,1701,505,337
2,13,1696,505,336
2,13,1696,505,336
2,13,1706,505,338
2,13,1706,505,338
2,14,1634,506,323
2,14,1634,506,323
2,14,1573,506,311
2,14,1573,506,311
2,14,1711,505,339
2,14,1711,505,339
2,14,1711,505,339
2,15,1711,505,339
2,15,1686,505,334
2,15,1686,505,334
3,15,1686,505,334
3,15,1686,505,334
3,15,1629,506,322
3,15,1629,506,322
3,16,1666,505,330
3,16,1666,505,330
3,16,1691,505,335
3,16,1691,505,335
