total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1593,506,315
0,0,1593,506,315
0,0,1681,505,333
0,0,1681,505,333
0,0,1706,505,338
0,0,1706,505,338
0,0,1706,505,338
0,0,1706,505,338
0,0,1706,505,338
0,0,1706,505,338
0,0,1691,505,335
0,0,1691,505,335
0,0,1742,505,345
0,0,1742,505,345
0,0,1727,505,342
0,0,1727,505,342
0,0,1701,505,337
0,0,1701,505,337
0,0,1706,505,338
0,0,1706,505,338
0,0,1829,504,363
0,0,1829,504,363
0,0,1691,505,335
0,0,1691,505,335
0,0,1747,505,346
0,0,1747,505,346
0,0,1732,505,343
0,0,1732,505,343
0,0,1711,505,339
0,0,1711,505,339
0,0,2795,501,558
0,0,2795,501,558
0,0,2233,502,445
0,0,2233,502,445
0,0,2178,502,434
0,0,2178,502,434
0,0,2253,503,448
1,5,2253,503,448
1,5,2188,502,436
1,5,2188,502,436
1,5,2218,502,442
1,5,2218,502,442
1,5,2203,503,438
1,5,2203,503,438
1,6,2198,502,438
1,6,2198,502,438
1,6,2248,503,447
1,6,2248,503,447
1,6,2193,502,437
1,6,2193,502,437
1,6,2268,503,451
1,7,2268,503,451
1,7,2208,502,440
1,7,2208,502,440
1,7,2278,503,453
1,8,2278,503,453
1,8,2158,502,430
1,8,2158,502,430
1,8,2233,503,444
1,8,2233,503,444
1,8,2233,503,444
1,8,2233,503,444
1,9,2193,503,436
1,9,2193,503,436
1,9,2223,502,443
1,9,2223,502,443
1,10,2243,502,447
1,10,2243,502,447
1,10,2258,503,449
2,10,2258,503,449
2,10,1691,505,335
2,10,1691,505,335
2,10,1866,503,371
2,11,1866,503,371
2,11,1804,504,358
2,11,1804,504,358
2,11,1814,504,360
2,11,1814,504,360
2,11,1686,505,334
2,11,1686,505,334
2,12,1646,505,326
2,12,1646,505,326
2,12,1588,506,314
2,12,1588,506,314
2,12,1588,506,314
2,12,1588,506,314
2,12,1588,506,314
2,13,1588,506,314
2,13,1523,506,301
2,13,1523,506,301
2,13,1518,506,300
2,13,1518,506,300
2,13,1767,505,350
2,13,1767,505,350
2,13,1691,505,335
2,13,1691,505,335
2,13,1696,505,336
2,13,1696,505,336
2,14,1696,505,336
2,14,1696,505,336
2,14,1568,506,310
2,14,1568,506,310
2,14,1686,505,334
2,14,1686,505,334
2,14,1711,505,339
3,15,1711,505,339
3,15,1706,505,338
3,15,1706,505,338
3,15,1696,505,336
3,15,1696,505,336
3,15,1639,506,324
3,15,1639,506,324
3,15,1573,506,311
3,16,1573,506,311
3,16,1722,505,341
3,16,1722,505,341
3,16,1701,505,337
3,16,1701,505,337
3,16,1706,505,338
3,16,1706,505,338
3,17,1696,505,336
3,17,1696,505,336
3,17,1563,506,309
3,17,1563,506,309
3,17,1884,504,374
