total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1679,506,332
0,0,1679,506,332
0,0,1674,506,331
0,0,1674,506,331
0,0,1812,505,359
0,0,1812,505,359
0,0,1691,505,335
0,0,1691,505,335
0,0,1684,506,333
0,0,1684,506,333
0,0,1690,506,334
0,0,1690,506,334
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1898,505,376
0,0,1898,505,376
0,0,1706,505,338
0,0,1706,505,338
0,0,1684,506,333
0,0,1684,506,333
0,0,1686,505,334
0,0,1686,505,334
0,0,1679,506,332
0,0,1679,506,332
0,0,1752,505,347
0,0,1752,505,347
0,0,1700,506,336
0,0,1700,506,336
0,0,1684,506,333
0,0,1684,506,333
0,0,1700,506,336
1,5,1700,506,336
1,5,1965,504,390
1,5,1965,504,390
1,5,1679,506,332
1,5,1679,506,332
1,5,1794,504,356
1,5,1794,504,356
1,6,1686,505,334
1,6,1686,505,334
1,6,1695,506,335
1,6,1695,506,335
1,6,1679,506,332
1,6,1679,506,332
1,6,1752,505,347
1,6,1752,505,347
1,7,1695,506,335
1,7,1695,506,335
1,7,1695,506,335
1,7,1695,506,335
1,7,1762,505,349
1,7,1762,505,349
1,7,1676,505,332
1,8,1676,505,332
1,8,1691,505,335
1,8,1691,505,335
1,8,1691,505,335
1,8,1691,505,335
1,8,1691,505,335
1,8,1691,505,335
1,9,1690,506,334
1,9,1690,506,334
1,9,1681,505,333
1,9,1681,505,333
1,9,1681,505,333
1,9,1681,505,333
1,9,1691,505,335
1,9,1691,505,335
1,9,1737,505,344
1,9,1737,505,344
1,9,1684,506,333
2,10,1684,506,333
2,10,1674,506,331
2,10,1674,506,331
2,10,1701,505,337
2,10,1701,505,337
2,10,1686,505,334
2,10,1686,505,334
2,11,1681,505,333
2,11,1681,505,333
2,11,1747,505,346
2,11,1747,505,346
2,11,1787,505,354
2,11,1787,505,354
2,11,1690,506,334
2,12,1690,506,334
2,12,1690,506,334
2,12,1690,506,334
2,12,1965,504,390
2,12,1965,504,390
2,12,1970,504,391
2,12,1970,504,391
2,12,1844,504,366
2,13,1844,504,366
2,13,1789,504,355
2,13,1789,504,355
2,13,1787,505,354
2,13,1787,505,354
2,13,1782,505,353
2,13,1782,505,353
2,14,1844,504,366
2,14,1844,504,366
2,14,1945,504,386
2,14,1945,504,386
2,14,1777,505,352
2,14,1777,505,352
2,14,1789,504,355
3,15,1789,504,355
3,15,1679,506,332
3,15,1679,506,332
3,15,1679,506,332
3,15,1679,506,332
3,15,1802,505,357
3,15,1802,505,357
3,16,1690,506,334
3,16,1690,506,334
3,16,1690,506,334
3,16,1690,506,334
3,16,1679,506,332
3,16,1679,506,332
3,16,1676,505,332
3,17,1676,505,332
3,17,1684,506,333
