total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1684,506,333
0,0,1684,506,333
0,0,1684,506,333
0,0,1752,505,347
0,0,1752,505,347
0,0,1701,505,337
0,0,1701,505,337
0,0,1706,505,338
0,0,1706,505,338
0,0,1681,505,333
0,0,1681,505,333
0,0,1717,505,340
0,0,1717,505,340
0,0,1767,505,350
0,0,1767,505,350
0,0,1686,505,334
0,0,1686,505,334
0,0,1717,505,340
0,0,1717,505,340
0,0,1684,506,333
0,0,1684,506,333
0,0,1691,505,335
0,0,1691,505,335
0,0,1679,506,332
0,0,1679,506,332
0,0,1737,505,344
0,0,1737,505,344
0,0,1819,504,361
0,0,1819,504,361
0,0,1684,506,333
0,0,1684,506,333
0,0,1686,505,334
0,0,1686,505,334
0,0,1686,505,334
0,0,1686,505,334
1,5,1764,504,350
1,5,1764,504,350
1,5,1691,505,335
1,5,1691,505,335
1,5,1844,504,366
1,5,1844,504,366
1,5,1691,505,335
1,6,1691,505,335
1,6,1681,505,333
1,6,1681,505,333
1,6,1732,505,343
1,6,1732,505,343
1,6,1722,505,341
1,6,1722,505,341
1,7,1886,503,375
1,7,1886,503,375
1,7,1676,505,332
1,7,1676,505,332
1,7,1686,505,334
1,7,1686,505,334
1,7,1686,505,334
1,7,1686,505,334
1,8,1691,505,335
1,8,1691,505,335
1,8,1701,505,337
1,8,1701,505,337
1,8,1849,504,367
1,8,1849,504,367
1,8,1701,505,337
1,9,1701,505,337
1,9,1696,505,336
1,9,1696,505,336
1,9,1706,505,338
1,9,1706,505,338
1,9,1691,505,335
1,9,1691,505,335
1,9,1915,504,380
1,9,1915,504,380
1,9,1874,504,372
1,9,1874,504,372
2,10,1686,505,334
2,10,1686,505,334
2,10,1696,505,336
2,10,1696,505,336
2,10,1686,505,334
2,10,1686,505,334
2,10,1691,505,335
2,11,1691,505,335
2,11,1920,504,381
2,11,1920,504,381
2,11,1686,505,334
2,11,1686,505,334
2,11,1896,503,377
2,11,1896,503,377
2,12,1696,505,336
2,12,1696,505,336
2,12,1706,505,338
2,12,1706,505,338
2,12,1774,504,352
2,12,1774,504,352
2,12,1717,505,340
2,13,1717,505,340
2,13,1691,505,335
2,13,1691,505,335
2,13,1684,506,333
2,13,1684,506,333
2,13,1701,505,337
2,13,1701,505,337
2,13,1701,505,337
2,14,1701,505,337
2,14,1717,505,340
2,14,1717,505,340
2,14,1686,505,334
2,14,1686,505,334
2,14,1681,505,333
2,14,1681,505,333
3,15,1706,505,338
3,15,1706,505,338
3,15,1742,505,345
3,15,1742,505,345
3,15,1711,505,339
3,15,1711,505,339
3,15,1686,505,334
3,16,1686,505,334
3,16,1686,505,334
3,16,1686,505,334
3,16,1743,504,346
3,16,1743,504,346
3,16,1691,505,335
3,16,1691,505,335
