total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1777,505,352
0,0,1777,505,352
0,0,1674,506,331
0,0,1674,506,331
0,0,1679,506,332
0,0,1679,506,332
0,0,1700,506,336
0,0,1700,506,336
0,0,1669,506,330
0,0,1669,506,330
0,0,1669,506,330
0,0,1669,506,330
0,0,1752,505,347
0,0,1752,505,347
0,0,1669,506,330
0,0,1669,506,330
0,0,1690,506,334
0,0,1690,506,334
0,0,1833,505,363
0,0,1833,505,363
0,0,1690,506,334
0,0,1690,506,334
0,0,1772,505,351
0,0,1772,505,351
0,0,1690,506,334
0,0,1690,506,334
0,0,1679,506,332
0,0,1679,506,332
0,0,1669,506,330
0,0,1669,506,330
0,0,1674,506,331
0,0,1674,506,331
0,0,1664,506,329
1,5,1664,506,329
1,5,1705,506,337
1,5,1705,506,337
1,5,1679,506,332
1,5,1679,506,332
1,5,1797,505,356
1,5,1797,505,356
1,6,1823,505,361
1,6,1823,505,361
1,6,1824,504,362
1,6,1824,504,362
1,6,1807,505,358
1,6,1807,505,358
1,6,1819,504,361
1,7,1819,504,361
1,7,1844,504,366
1,7,1844,504,366
1,7,1792,505,355
1,7,1792,505,355
1,7,1829,504,363
1,7,1829,504,363
1,8,1819,504,361
1,8,1819,504,361
1,8,1782,505,353
1,8,1782,505,353
1,8,1829,504,363
1,8,1829,504,363
1,8,1799,504,357
1,8,1799,504,357
1,9,1844,504,366
1,9,1844,504,366
1,9,1812,505,359
1,9,1812,505,359
1,9,1814,504,360
1,9,1814,504,360
1,9,1802,505,357
2,10,1802,505,357
2,10,1829,504,363
2,10,1829,504,363
2,10,1900,504,377
2,10,1900,504,377
2,10,1797,505,356
2,10,1797,505,356
2,11,1752,505,347
2,11,1752,505,347
2,11,1684,506,333
2,11,1684,506,333
2,11,1742,505,345
2,11,1742,505,345
2,11,1664,506,329
2,12,1664,506,329
2,12,1700,506,336
2,12,1700,506,336
2,12,1674,506,331
2,12,1674,506,331
2,12,1684,506,333
2,12,1684,506,333
2,13,1695,506,335
2,13,1695,506,335
2,13,1690,506,334
2,13,1690,506,334
2,13,1674,506,331
2,13,1674,506,331
2,13,1669,506,330
2,13,1669,506,330
2,13,1669,506,330
2,13,1669,506,330
2,13,1705,506,337
2,14,1705,506,337
2,14,1690,506,334
2,14,1690,506,334
2,14,1684,506,333
2,14,1684,506,333
2,14,1664,506,329
2,14,1664,506,329
2,14,1690,506,334
3,15,1690,506,334
3,15,1695,506,335
3,15,1695,506,335
3,15,1679,506,332
3,15,1679,506,332
3,15,1679,506,332
3,15,1679,506,332
3,16,1669,506,330
3,16,1669,506,330
3,16,1777,505,352
3,16,1777,505,352
3,16,1674,506,331
3,16,1674,506,331
3,16,1674,506,331
3,17,1674,506,331
3,17,1679,506,332
