total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1598,506,316
0,0,1626,505,322
0,0,1626,505,322
0,0,1619,506,320
0,0,1619,506,320
0,0,1651,505,327
0,0,1651,505,327
0,0,1696,505,336
0,0,1696,505,336
0,0,1701,505,337
0,0,1701,505,337
0,0,1701,505,337
0,0,1701,505,337
0,0,1748,504,347
0,0,1748,504,347
0,0,1732,505,343
0,0,1732,505,343
0,0,1869,504,371
0,0,1869,504,371
0,0,1701,505,337
0,0,1701,505,337
0,0,1711,505,339
0,0,1711,505,339
0,0,1743,504,346
0,0,1743,504,346
0,0,1732,505,343
0,0,1732,505,343
0,0,1722,505,341
0,0,1722,505,341
0,0,1706,505,338
0,0,1706,505,338
0,0,1701,505,337
0,0,1701,505,337
0,0,1722,505,341
0,0,1722,505,341
0,0,1722,505,341
0,0,1722,505,341
0,0,1866,503,371
0,0,1866,503,371
1,5,1737,505,344
1,5,1737,505,344
1,5,1717,505,340
1,5,1717,505,340
1,5,1706,505,338
1,5,1706,505,338
1,5,1728,504,343
1,6,1728,504,343
1,6,1732,505,343
1,6,1732,505,343
1,6,1701,505,337
1,6,1701,505,337
1,6,1737,505,344
1,6,1737,505,344
1,7,1701,505,337
1,7,1701,505,337
1,7,1869,504,371
1,7,1869,504,371
1,7,1717,505,340
1,7,1717,505,340
1,7,1706,505,338
1,7,1706,505,338
1,8,1758,504,349
1,8,1758,504,349
1,8,1819,504,361
1,8,1819,504,361
1,8,1593,506,315
1,8,1593,506,315
1,8,1588,506,314
1,9,1588,506,314
1,9,1598,506,316
1,9,1598,506,316
1,9,1583,506,313
1,9,1583,506,313
1,9,1583,506,313
1,9,1583,506,313
1,9,1593,506,315
1,9,1593,506,315
1,9,1804,504,358
1,9,1804,504,358
2,10,1583,506,313
2,10,1583,506,313
2,10,1588,506,314
2,10,1588,506,314
2,10,1583,506,313
2,10,1583,506,313
2,10,1593,506,315
2,11,1593,506,315
2,11,1588,506,314
2,11,1588,506,314
2,11,1651,505,327
2,11,1651,505,327
2,11,1696,505,336
2,11,1696,505,336
2,12,1588,506,314
2,12,1588,506,314
2,12,1701,505,337
2,12,1701,505,337
2,12,1691,505,335
2,12,1691,505,335
2,12,1696,505,336
2,13,1696,505,336
2,13,1717,505,340
2,13,1717,505,340
2,13,1639,506,324
2,13,1639,506,324
2,13,1639,506,324
2,13,1639,506,324
2,13,1825,503,363
2,14,1825,503,363
2,14,1696,505,336
2,14,1696,505,336
2,14,1701,505,337
2,14,1701,505,337
2,14,1573,506,311
2,14,1573,506,311
2,15,1573,506,311
2,15,1573,506,311
2,15,1706,505,338
3,15,1706,505,338
3,15,1706,505,338
3,15,1706,505,338
3,15,1706,505,338
3,16,1706,505,338
3,16,1696,505,336
3,16,1696,505,336
