total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1686,505,334
0,0,1686,505,334
0,0,1676,505,332
0,0,1676,505,332
0,0,1686,505,334
0,0,1686,505,334
0,0,1679,506,332
0,0,1679,506,332
0,0,1706,505,338
0,0,1706,505,338
0,0,1691,505,335
0,0,1691,505,335
0,0,1691,505,335
0,0,1691,505,335
0,0,1701,505,337
0,0,1701,505,337
0,0,1696,505,336
0,0,1696,505,336
0,0,1696,505,336
0,0,1696,505,336
0,0,1711,505,339
0,0,1711,505,339
0,0,1809,504,359
0,0,1809,504,359
0,0,1747,505,346
0,0,1747,505,346
0,0,1728,504,343
0,0,1728,504,343
0,0,1753,504,348
1,5,1753,504,348
1,5,1764,504,350
1,5,1764,504,350
1,5,1753,504,348
1,5,1753,504,348
1,5,1722,505,341
1,5,1722,505,341
1,5,1767,505,350
1,6,1767,505,350
1,6,1814,504,360
1,6,1814,504,360
1,6,1794,504,356
1,6,1794,504,356
1,6,1799,504,357
1,6,1799,504,357
1,7,1747,505,346
1,7,1747,505,346
1,7,1732,505,343
1,7,1732,505,343
1,7,1772,505,351
1,7,1772,505,351
1,7,1779,504,353
1,8,1779,504,353
1,8,1834,504,364
1,8,1834,504,364
1,8,1777,505,352
1,8,1777,505,352
1,8,1804,504,358
1,8,1804,504,358
1,9,1794,504,356
1,9,1794,504,356
1,9,1706,505,338
1,9,1706,505,338
1,9,1722,505,341
1,9,1722,505,341
1,9,1695,506,335
1,9,1695,506,335
1,10,1690,506,334
1,10,1690,506,334
1,10,1696,505,336
2,10,1696,505,336
2,10,1737,505,344
2,10,1737,505,344
2,10,1684,506,333
2,11,1684,506,333
2,11,1676,505,332
2,11,1676,505,332
2,11,1679,506,332
2,11,1679,506,332
2,11,1629,506,322
2,11,1629,506,322
2,11,1563,506,309
2,11,1563,506,309
2,11,1609,506,318
2,11,1609,506,318
2,12,1558,506,308
2,12,1558,506,308
2,12,1548,506,306
2,12,1548,506,306
2,12,1553,506,307
2,12,1553,506,307
2,12,1553,506,307
2,13,1553,506,307
2,13,1588,506,314
2,13,1588,506,314
2,13,1561,507,308
2,13,1561,507,308
2,13,1563,506,309
2,13,1563,506,309
2,14,1553,506,307
2,14,1553,506,307
2,14,1553,506,307
2,14,1553,506,307
2,14,1558,506,308
2,14,1558,506,308
2,14,1558,506,308
2,14,1558,506,308
2,14,1558,506,308
2,14,1558,506,308
2,14,1563,506,309
3,15,1563,506,309
3,15,1556,507,307
3,15,1556,507,307
3,15,1558,506,308
3,15,1558,506,308
3,15,1553,506,307
3,15,1553,506,307
3,16,1553,506,307
3,16,1553,506,307
3,16,1558,506,308
3,16,1558,506,308
3,16,1556,507,307
3,16,1556,507,307
3,16,1593,506,315
3,17,1593,506,315
3,17,1553,506,307
