total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1722,505,341
0,0,1711,505,339
0,0,1711,505,339
0,0,1717,505,340
0,0,1717,505,340
0,0,1701,505,337
0,0,1701,505,337
0,0,1706,505,338
0,0,1706,505,338
0,0,1753,504,348
0,0,1753,504,348
0,0,1742,505,345
0,0,1742,505,345
0,0,1717,505,340
0,0,1717,505,340
0,0,1706,505,338
0,0,1706,505,338
0,0,1711,505,339
0,0,1711,505,339
0,0,1733,504,344
0,0,1733,504,344
0,0,1717,505,340
0,0,1717,505,340
0,0,1727,505,342
0,0,1727,505,342
0,0,1711,505,339
0,0,1711,505,339
0,0,1737,505,344
0,0,1737,505,344
0,0,1706,505,338
0,0,1706,505,338
0,0,1727,505,342
0,0,1727,505,342
0,0,2118,502,422
0,0,2118,502,422
0,0,1804,504,358
0,0,1804,504,358
0,0,2077,503,413
1,5,2077,503,413
1,5,2067,503,411
1,5,2067,503,411
1,5,1856,503,369
1,5,1856,503,369
1,5,1815,503,361
1,5,1815,503,361
1,5,1805,503,359
1,6,1805,503,359
1,6,2062,503,410
1,6,2062,503,410
1,7,1799,504,357
1,7,1799,504,357
1,7,2057,503,409
1,7,2057,503,409
1,7,2067,503,411
1,7,2067,503,411
1,7,1814,504,360
1,8,1814,504,360
1,8,2259,502,450
1,8,2259,502,450
1,8,1809,504,359
1,8,1809,504,359
1,8,2001,503,398
1,8,2001,503,398
1,8,1840,503,366
1,9,1840,503,366
1,9,2037,503,405
1,9,2037,503,405
1,9,2042,503,406
1,9,2042,503,406
1,9,1809,504,359
1,9,1809,504,359
2,10,1779,504,353
2,10,1779,504,353
2,10,1717,505,340
2,10,1717,505,340
2,10,1701,505,337
2,10,1701,505,337
2,10,1701,505,337
2,11,1701,505,337
2,11,1769,504,351
2,11,1769,504,351
2,11,1696,505,336
2,11,1696,505,336
2,11,1706,505,338
2,11,1706,505,338
2,12,1706,505,338
2,12,1706,505,338
2,12,1641,505,325
2,12,1641,505,325
2,12,1619,506,320
2,12,1619,506,320
2,12,1598,506,316
2,12,1598,506,316
2,13,1588,506,314
2,13,1588,506,314
2,13,1573,506,311
2,13,1573,506,311
2,13,1573,506,311
2,13,1573,506,311
2,13,1588,506,314
2,13,1588,506,314
2,13,1583,506,313
2,13,1583,506,313
2,14,1588,506,314
2,14,1588,506,314
2,14,1583,506,313
2,14,1583,506,313
2,14,1578,506,312
2,14,1578,506,312
2,14,1593,506,315
2,14,1593,506,315
3,15,1598,506,316
3,15,1598,506,316
3,15,1573,506,311
3,15,1573,506,311
3,15,1583,506,313
3,15,1583,506,313
3,15,1583,506,313
3,16,1583,506,313
3,16,1583,506,313
3,16,1583,506,313
3,16,1593,506,315
3,16,1593,506,315
3,16,1641,505,325
3,16,1641,505,325
