total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1713,504,340
0,0,1701,505,337
0,0,1701,505,337
0,0,1743,504,346
0,0,1743,504,346
0,0,1717,505,340
0,0,1717,505,340
0,0,1727,505,342
0,0,1727,505,342
0,0,1711,505,339
0,0,1711,505,339
0,0,1706,505,338
0,0,1706,505,338
0,0,1701,505,337
0,0,1701,505,337
0,0,1701,505,337
0,0,1701,505,337
0,0,1732,505,343
0,0,1732,505,343
0,0,1717,505,340
0,0,1717,505,340
0,0,1701,505,337
0,0,1701,505,337
0,0,1701,505,337
0,0,1701,505,337
0,0,1722,505,341
0,0,1722,505,341
0,0,1738,504,345
0,0,1738,504,345
0,0,1727,505,342
0,0,1727,505,342
0,0,2218,503,441
0,0,2218,503,441
0,0,2354,503,468
0,0,2354,503,468
0,0,2364,503,470
1,5,2364,503,470
1,5,2364,503,470
1,5,2364,503,470
1,5,2359,503,469
1,5,2359,503,469
1,5,2369,503,471
1,5,2369,503,471
1,6,2364,503,470
1,6,2364,503,470
1,6,2368,504,470
1,6,2368,504,470
1,7,2399,503,477
1,7,2399,503,477
1,7,2374,503,472
1,7,2374,503,472
1,7,2354,503,468
1,7,2354,503,468
1,7,2369,503,471
1,8,2369,503,471
1,8,2364,503,470
1,8,2364,503,470
1,8,2152,503,428
1,8,2152,503,428
1,8,1896,503,377
1,8,1896,503,377
1,9,1911,503,380
1,9,1911,503,380
1,9,1891,503,376
1,9,1891,503,376
1,10,1921,503,382
1,10,1921,503,382
1,10,1922,502,383
1,10,1922,502,383
2,10,2142,503,426
2,10,2142,503,426
2,10,2338,503,465
2,11,2338,503,465
2,11,2349,503,467
2,11,2349,503,467
2,11,2369,503,471
2,11,2369,503,471
2,11,2454,503,488
2,11,2454,503,488
2,11,2379,503,473
2,12,2379,503,473
2,12,1819,504,361
2,12,1819,504,361
2,13,1805,503,359
2,13,1805,503,359
2,13,1814,504,360
2,13,1814,504,360
2,13,1809,504,359
2,13,1809,504,359
2,13,1681,505,333
2,14,1681,505,333
2,14,1676,505,332
2,14,1676,505,332
2,14,1681,505,333
2,14,1681,505,333
2,14,1722,505,341
2,14,1722,505,341
2,14,1686,505,334
2,14,1686,505,334
2,14,1691,505,335
2,14,1691,505,335
3,15,1676,505,332
3,15,1676,505,332
3,15,1629,506,322
3,15,1629,506,322
3,15,2031,504,403
3,15,2031,504,403
3,15,1676,505,332
3,16,1676,505,332
3,16,1681,505,333
3,16,1681,505,333
3,16,1738,504,345
3,16,1738,504,345
3,16,1825,503,363
3,16,1825,503,363
3,16,1814,504,360
3,17,1814,504,360
3,17,1804,504,358
3,17,1804,504,358
3,17,1799,504,357
3,17,1799,504,357
3,17,1676,505,332
3,17,1676,505,332
3,18,1676,505,332
3,18,1676,505,332
