total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1676,505,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1696,505,336
0,0,1696,505,336
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1686,505,334
0,0,1686,505,334
0,0,1679,506,332
0,0,1679,506,332
0,0,1684,506,333
0,0,1684,506,333
0,0,1711,505,339
0,0,1711,505,339
0,0,1686,505,334
0,0,1686,505,334
0,0,1691,505,335
0,0,1691,505,335
0,0,1690,506,334
0,0,1690,506,334
0,0,1679,506,332
0,0,1679,506,332
0,0,1711,505,339
0,0,1711,505,339
0,0,1711,505,339
0,0,1711,505,339
0,0,1684,506,333
0,0,1684,506,333
0,0,2137,503,425
0,0,2137,503,425
0,0,1901,503,378
0,0,1901,503,378
0,0,1906,503,379
0,0,1906,503,379
0,0,1982,502,395
0,0,1982,502,395
0,0,1946,503,387
1,5,1946,503,387
1,5,1931,503,384
1,5,1931,503,384
1,5,2142,503,426
1,6,2142,503,426
1,6,1931,503,384
1,6,1931,503,384
1,6,1921,503,382
1,6,1921,503,382
1,6,1901,503,378
1,6,1901,503,378
1,7,1926,503,383
1,7,1926,503,383
1,7,1906,503,379
1,7,1906,503,379
1,7,1891,503,376
1,7,1891,503,376
1,7,2373,504,471
1,8,2373,504,471
1,8,2142,503,426
1,8,2142,503,426
1,8,1891,503,376
1,8,1891,503,376
1,8,1901,503,378
1,8,1901,503,378
1,9,1911,503,380
1,9,1911,503,380
1,9,1932,502,385
1,9,1932,502,385
1,9,1896,503,377
1,9,1896,503,377
1,9,1671,505,331
1,9,1671,505,331
2,10,1784,504,354
2,10,1784,504,354
2,10,1784,504,354
2,10,1784,504,354
2,10,1784,504,354
2,10,1784,504,354
2,10,1789,504,355
2,11,1789,504,355
2,11,1772,505,351
2,11,1772,505,351
2,11,1844,504,366
2,11,1844,504,366
2,11,1706,505,338
2,11,1706,505,338
2,12,1691,505,335
2,12,1691,505,335
2,12,1679,506,332
2,12,1679,506,332
2,12,1684,506,333
2,12,1684,506,333
2,12,1737,505,344
2,13,1737,505,344
2,13,1691,505,335
2,13,1691,505,335
2,13,1691,505,335
2,13,1691,505,335
2,13,1711,505,339
2,13,1711,505,339
2,14,1722,505,341
2,14,1722,505,341
2,14,1695,506,335
2,14,1695,506,335
2,14,1681,505,333
2,14,1681,505,333
2,14,1686,505,334
2,14,1686,505,334
2,15,1681,505,333
2,15,1681,505,333
2,15,1690,506,334
3,15,1690,506,334
3,15,1701,505,337
3,15,1701,505,337
3,15,1701,505,337
3,16,1701,505,337
3,16,1690,506,334
3,16,1690,506,334
3,16,1686,505,334
3,16,1686,505,334
3,16,1764,504,350
3,16,1764,504,350
3,17,1900,504,377
3,17,1900,504,377
