total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1764,504,350
0,0,1777,505,352
0,0,1777,505,352
0,0,1794,504,356
0,0,1794,504,356
0,0,1777,505,352
0,0,1777,505,352
0,0,1804,504,358
0,0,1804,504,358
0,0,1784,504,354
0,0,1784,504,354
0,0,1690,506,334
0,0,1690,506,334
0,0,1684,506,333
0,0,1684,506,333
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1727,505,342
0,0,1727,505,342
0,0,1690,506,334
0,0,1690,506,334
0,0,1674,506,331
0,0,1674,506,331
0,0,1686,505,334
0,0,1686,505,334
0,0,1690,506,334
0,0,1690,506,334
0,0,1706,505,338
0,0,1706,505,338
0,0,1941,503,386
0,0,1941,503,386
0,0,1782,505,353
0,0,1782,505,353
0,0,2026,504,402
0,0,2026,504,402
0,0,1777,505,352
0,0,1777,505,352
0,0,1824,504,362
1,5,1824,504,362
1,5,1737,505,344
1,5,1737,505,344
1,5,1573,506,311
1,5,1573,506,311
1,5,1717,505,340
1,5,1717,505,340
1,6,1576,507,311
1,6,1576,507,311
1,6,1737,505,344
1,6,1737,505,344
1,6,1686,505,334
1,6,1686,505,334
1,6,1777,505,352
1,7,1777,505,352
1,7,1782,505,353
1,7,1782,505,353
1,7,1772,505,351
1,7,1772,505,351
1,7,1706,505,338
1,7,1706,505,338
1,8,1573,506,311
1,8,1573,506,311
1,8,1722,505,341
1,8,1722,505,341
1,8,1571,507,310
1,8,1571,507,310
1,8,1573,506,311
1,9,1573,506,311
1,9,1809,504,359
1,9,1809,504,359
1,9,1767,505,350
1,9,1767,505,350
1,9,1772,505,351
1,9,1772,505,351
1,9,1772,505,351
2,10,1772,505,351
2,10,1772,505,351
2,10,1772,505,351
2,10,1819,504,361
2,10,1819,504,361
2,10,1777,505,352
2,10,1777,505,352
2,11,1787,505,354
2,11,1787,505,354
2,11,1782,505,353
2,11,1782,505,353
2,11,1732,505,343
2,11,1732,505,343
2,11,1679,506,332
2,12,1679,506,332
2,12,1705,506,337
2,12,1705,506,337
2,12,1674,506,331
2,12,1674,506,331
2,12,1684,506,333
2,12,1684,506,333
2,13,1717,505,340
2,13,1717,505,340
2,13,1705,506,337
2,13,1705,506,337
2,13,1690,506,334
2,13,1690,506,334
2,13,1679,506,332
2,13,1679,506,332
2,14,1705,506,337
2,14,1705,506,337
2,14,1695,506,335
2,14,1695,506,335
2,14,1690,506,334
2,14,1690,506,334
2,14,1710,506,338
2,15,1710,506,338
2,15,1674,506,331
2,15,1674,506,331
3,15,1679,506,332
3,15,1679,506,332
3,15,1690,506,334
3,15,1690,506,334
3,15,1690,506,334
3,15,1690,506,334
3,15,1684,506,333
3,15,1684,506,333
3,16,1674,506,331
3,16,1674,506,331
