total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1705,506,337
0,0,1705,506,337
0,0,1695,506,335
0,0,1695,506,335
0,0,1674,506,331
0,0,1674,506,331
0,0,1679,506,332
0,0,1679,506,332
0,0,1695,506,335
0,0,1695,506,335
0,0,1710,506,338
0,0,1710,506,338
0,0,1684,506,333
0,0,1684,506,333
0,0,1690,506,334
0,0,1690,506,334
0,0,1690,506,334
0,0,1690,506,334
0,0,1695,506,335
0,0,1695,506,335
0,0,1684,506,333
0,0,1684,506,333
0,0,1696,505,336
0,0,1696,505,336
0,0,1684,506,333
0,0,1684,506,333
0,0,1684,506,333
0,0,1684,506,333
0,0,1669,506,330
0,0,1669,506,330
0,0,2022,503,402
0,0,2022,503,402
0,0,2293,503,456
0,0,2293,503,456
0,0,1876,503,373
0,0,1876,503,373
0,0,1866,503,371
0,0,1866,503,371
1,5,1881,503,374
1,5,1881,503,374
1,5,1866,503,371
1,5,1866,503,371
1,5,1876,503,373
1,5,1876,503,373
1,5,1884,504,374
1,6,1884,504,374
1,6,1911,503,380
1,6,1911,503,380
1,6,1901,503,378
1,6,1901,503,378
1,6,1896,503,377
1,6,1896,503,377
1,7,1851,503,368
1,7,1851,503,368
1,7,1901,503,378
1,7,1901,503,378
1,8,1871,503,372
1,8,1871,503,372
1,8,2082,503,414
1,8,2082,503,414
1,8,1869,504,371
1,8,1869,504,371
1,8,1856,503,369
1,9,1856,503,369
1,9,1861,503,370
1,9,1861,503,370
1,9,1859,504,369
1,9,1859,504,369
1,9,1881,503,374
1,9,1881,503,374
2,10,1921,503,382
2,10,1921,503,382
2,10,2253,503,448
2,10,2253,503,448
2,10,2349,503,467
2,10,2349,503,467
2,10,2353,504,467
2,11,2353,504,467
2,11,2409,503,479
2,11,2409,503,479
2,11,2368,504,470
2,12,2368,504,470
2,12,2076,504,412
2,12,2076,504,412
2,12,1777,505,352
2,12,1777,505,352
2,12,1772,505,351
2,12,1772,505,351
2,13,1782,505,353
2,13,1782,505,353
2,13,1573,506,311
2,13,1573,506,311
2,13,1571,507,310
2,13,1571,507,310
2,13,1571,507,310
2,13,1571,507,310
2,13,1573,506,311
2,13,1573,506,311
2,13,1576,507,311
2,14,1576,507,311
2,14,1571,507,310
2,14,1571,507,310
2,14,1787,505,354
2,14,1787,505,354
2,14,1669,506,330
2,14,1669,506,330
3,15,1690,506,334
3,15,1690,506,334
3,15,1696,505,336
3,15,1696,505,336
3,15,1679,506,332
3,15,1679,506,332
3,15,1679,506,332
3,15,1679,506,332
3,16,1679,506,332
3,16,1679,506,332
3,16,1732,505,343
3,16,1732,505,343
3,16,1684,506,333
3,16,1684,506,333
3,16,1679,506,332
3,17,1679,506,332
3,17,1690,506,334
3,17,1690,506,334
3,17,1684,506,333
