total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1434,507,283
0,0,1434,507,283
0,0,1335,506,264
0,0,1335,506,264
0,0,1325,506,262
0,0,1325,506,262
0,0,1325,506,262
0,0,1325,506,262
0,0,1320,506,261
0,0,1320,506,261
0,0,1315,506,260
0,0,1315,506,260
0,0,1361,506,269
0,0,1361,506,269
0,0,1320,506,261
0,0,1320,506,261
0,0,1505,507,297
0,0,1505,507,297
0,0,1752,505,347
0,0,1752,505,347
0,0,1588,506,314
0,0,1588,506,314
0,0,1521,507,300
0,0,1521,507,300
0,0,1578,506,312
0,0,1578,506,312
0,0,1521,507,300
0,0,1521,507,300
0,0,1515,507,299
0,0,1515,507,299
0,0,1578,506,312
0,0,1578,506,312
0,0,1526,507,301
0,0,1526,507,301
0,0,1538,506,304
0,0,1538,506,304
0,0,1521,507,300
0,0,1521,507,300
0,0,1639,506,324
0,0,1639,506,324
0,0,1686,505,334
0,0,1686,505,334
0,0,1639,506,324
0,0,1639,506,324
0,0,1686,505,334
1,5,1686,505,334
1,5,1583,506,313
1,5,1583,506,313
1,5,1546,507,305
1,5,1546,507,305
1,5,1568,506,310
1,5,1568,506,310
1,6,1526,507,301
1,6,1526,507,301
1,6,1593,506,315
1,6,1593,506,315
1,6,1828,505,362
1,6,1828,505,362
1,6,1654,506,327
1,7,1654,506,327
1,7,1732,505,343
1,7,1732,505,343
1,7,1659,506,328
1,7,1659,506,328
1,7,1649,506,326
1,7,1649,506,326
1,7,1654,506,327
1,8,1654,506,327
1,8,1659,506,328
1,8,1659,506,328
1,8,1649,506,326
1,8,1649,506,326
1,8,1521,507,300
1,8,1521,507,300
1,8,1526,507,301
1,8,1526,507,301
1,8,1518,506,300
1,9,1518,506,300
1,9,1551,507,306
1,9,1551,507,306
1,9,1521,507,300
1,9,1521,507,300
1,9,1526,507,301
1,9,1526,507,301
1,9,1521,507,300
2,10,1521,507,300
2,10,1541,507,304
2,10,1541,507,304
2,10,1531,507,302
2,10,1531,507,302
2,10,1531,507,302
2,10,1531,507,302
2,11,1521,507,300
2,11,1521,507,300
2,11,1526,507,301
2,11,1526,507,301
2,11,1588,506,314
2,11,1588,506,314
2,11,1475,507,291
2,11,1475,507,291
2,11,1480,507,292
2,11,1480,507,292
2,11,1502,506,297
2,12,1502,506,297
2,12,1379,507,272
2,12,1379,507,272
2,12,1330,506,263
2,12,1330,506,263
2,12,1209,506,239
2,12,1209,506,239
2,13,1320,506,261
2,13,1320,506,261
2,13,1325,506,262
2,13,1325,506,262
2,13,1325,506,262
2,13,1325,506,262
2,13,1295,506,256
2,13,1295,506,256
2,13,1199,506,237
2,13,1199,506,237
2,13,1189,506,235
2,14,1189,506,235
2,14,1194,506,236
2,14,1194,506,236
2,14,1244,506,246
2,14,1244,506,246
2,14,1371,506,271
2,14,1371,506,271
2,14,1450,507,286
2,14,1450,507,286
2,14,1444,507,285
2,14,1444,507,285
3,15,1295,506,256
3,15,1295,506,256
3,15,1189,506,235
3,15,1189,506,235
3,15,1186,505,235
3,15,1186,505,235
3,15,1315,506,260
3,15,1315,506,260
3,15,1386,506,274
3,15,1386,506,274
3,15,1315,506,260
3,16,1315,506,260
3,16,1444,507,285
3,16,1444,507,285
3,16,1315,506,260
3,16,1315,506,260
3,16,1330,506,263
3,16,1330,506,263
3,17,1310,506,259
3,17,1310,506,259
3,17,1315,506,260
3,17,1315,506,260
3,17,1310,506,259
3,17,1310,506,259
3,17,1249,506,247
3,17,1249,506,247
3,17,1196,505,237
3,17,1196,505,237
3,17,1320,506,261
3,18,1320,506,261
3,18,1315,506,260
3,18,1315,506,260
3,18,1335,506,264
3,18,1335,506,264
3,18,1184,506,234
3,18,1184,506,234
3,18,1310,506,259
3,18,1310,506,259
3,18,1315,506,260
3,19,1315,506,260
3,19,1315,506,260
3,19,1315,506,260
3,19,1310,506,259
3,19,1310,506,259
3,19,1254,506,248
3,19,1254,506,248
3,19,1325,506,262
3,19,1325,506,262
3,19,1325,506,262
3,19,1325,506,262
4,20,1254,506,248
4,20,1254,506,248
4,20,1181,505,234
4,20,1181,505,234
4,20,1189,506,235
4,20,1189,506,235
4,20,1209,506,239
4,20,1209,506,239
4,20,1184,506,234
4,20,1184,506,234
4,20,1189,506,235
4,21,1189,506,235
4,21,1330,506,263
4,21,1330,506,263
4,21,1310,506,259
4,21,1310,506,259
4,21,1305,506,258
4,21,1305,506,258
