total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1310,506,259
0,0,1310,506,259
0,0,1315,506,260
0,0,1315,506,260
0,0,1315,506,260
0,0,1315,506,260
0,0,1320,506,261
0,0,1320,506,261
0,0,1315,506,260
0,0,1315,506,260
0,0,1320,506,261
0,0,1320,506,261
0,0,1320,506,261
0,0,1320,506,261
0,0,1315,506,260
0,0,1315,506,260
0,0,1335,506,264
0,0,1335,506,264
0,0,1315,506,260
0,0,1315,506,260
0,0,1401,506,277
0,0,1401,506,277
0,0,1711,505,339
0,0,1711,505,339
0,0,1706,505,338
0,0,1706,505,338
0,0,1706,505,338
0,0,1706,505,338
0,0,1732,505,343
0,0,1732,505,343
0,0,1681,505,333
0,0,1681,505,333
0,0,1604,506,317
0,0,1604,506,317
0,0,1624,506,321
0,0,1624,506,321
0,0,1510,507,298
0,0,1510,507,298
0,0,1531,507,302
0,0,1531,507,302
0,0,1536,507,303
0,0,1536,507,303
0,0,1676,505,332
0,0,1676,505,332
0,0,1727,505,342
0,0,1727,505,342
0,0,1727,505,342
0,0,1727,505,342
1,5,1772,505,351
1,5,1772,505,351
1,5,1722,505,341
1,5,1722,505,341
1,5,1684,506,333
1,5,1684,506,333
1,5,1634,506,323
1,6,1634,506,323
1,6,1578,506,312
1,6,1578,506,312
1,6,1546,507,305
1,6,1546,507,305
1,6,1802,505,357
1,6,1802,505,357
1,7,1624,506,321
1,7,1624,506,321
1,7,1510,507,298
1,7,1510,507,298
1,7,1531,507,302
1,7,1531,507,302
1,7,1515,507,299
1,8,1515,507,299
1,8,1526,507,301
1,8,1526,507,301
1,8,1546,507,305
1,8,1546,507,305
1,8,1526,507,301
1,8,1526,507,301
1,8,1515,507,299
1,8,1515,507,299
1,8,1526,507,301
1,8,1526,507,301
1,9,1521,507,300
1,9,1521,507,300
1,9,1546,507,305
1,9,1546,507,305
1,9,1521,507,300
1,9,1521,507,300
1,9,1536,507,303
1,9,1536,507,303
2,10,1526,507,301
2,10,1526,507,301
2,10,1526,507,301
2,10,1526,507,301
2,10,1666,505,330
2,10,1666,505,330
2,10,1526,507,301
2,11,1526,507,301
2,11,1515,507,299
2,11,1515,507,299
2,11,1526,507,301
2,11,1526,507,301
2,11,1521,507,300
2,11,1521,507,300
2,11,1462,506,289
2,11,1462,506,289
2,11,1345,506,266
2,11,1345,506,266
2,12,1330,506,263
2,12,1330,506,263
2,12,1320,506,261
2,12,1320,506,261
2,12,1315,506,260
2,12,1315,506,260
2,12,1325,506,262
2,13,1325,506,262
2,13,1325,506,262
2,13,1325,506,262
2,13,1325,506,262
2,13,1325,506,262
2,13,1265,506,250
2,13,1265,506,250
2,13,1181,505,234
2,13,1181,505,234
2,13,1219,506,241
2,13,1219,506,241
2,14,1351,506,267
2,14,1351,506,267
2,14,1320,506,261
2,14,1320,506,261
2,14,1320,506,261
2,14,1320,506,261
2,14,1452,506,287
2,14,1452,506,287
2,14,1444,507,285
2,14,1444,507,285
2,14,1455,507,287
3,15,1455,507,287
3,15,1310,506,259
3,15,1310,506,259
3,15,1249,506,247
3,15,1249,506,247
3,15,1310,506,259
3,15,1310,506,259
3,16,1305,506,258
3,16,1305,506,258
3,16,1315,506,260
3,16,1315,506,260
3,16,1376,506,272
3,16,1376,506,272
3,16,1439,507,284
3,16,1439,507,284
3,16,1384,507,273
3,16,1384,507,273
3,16,1265,506,250
3,17,1265,506,250
3,17,1191,505,236
3,17,1191,505,236
3,17,1186,505,235
3,17,1186,505,235
3,17,1189,506,235
3,17,1189,506,235
3,17,1181,505,234
3,17,1181,505,234
3,17,1204,506,238
3,18,1204,506,238
3,18,1315,506,260
3,18,1315,506,260
3,18,1320,506,261
3,18,1320,506,261
3,18,1254,506,248
3,18,1254,506,248
3,18,1191,505,236
3,18,1191,505,236
3,18,1201,505,238
3,18,1201,505,238
3,19,1189,506,235
3,19,1189,506,235
3,19,1181,505,234
3,19,1181,505,234
3,19,1181,505,234
3,19,1181,505,234
3,19,1320,506,261
3,19,1320,506,261
3,19,1320,506,261
3,19,1320,506,261
3,19,1320,506,261
3,20,1320,506,261
3,20,1178,506,233
3,20,1178,506,233
3,20,1181,505,234
4,20,1181,505,234
4,20,1459,505,289
4,20,1459,505,289
4,20,1406,506,278
4,20,1406,506,278
4,20,1404,507,277
4,20,1404,507,277
4,21,1475,507,291
4,21,1475,507,291
4,21,1526,507,301
4,21,1526,507,301
