total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1748,504,347
0,0,1717,505,340
0,0,1717,505,340
0,0,1747,505,346
0,0,1747,505,346
0,0,1717,505,340
0,0,1717,505,340
0,0,1706,505,338
0,0,1706,505,338
0,0,1711,505,339
0,0,1711,505,339
0,0,1706,505,338
0,0,1706,505,338
0,0,1727,505,342
0,0,1727,505,342
0,0,1701,505,337
0,0,1701,505,337
0,0,1728,504,343
0,0,1728,504,343
0,0,1711,505,339
0,0,1711,505,339
0,0,1717,505,340
0,0,1717,505,340
0,0,1706,505,338
0,0,1706,505,338
0,0,1706,505,338
0,0,1706,505,338
0,0,1722,505,341
0,0,1722,505,341
0,0,1717,505,340
0,0,1717,505,340
0,0,2545,502,507
0,0,2545,502,507
0,0,2012,503,400
0,0,2012,503,400
0,0,2173,502,433
0,0,2173,502,433
0,0,2198,502,438
1,5,2198,502,438
1,5,2068,502,412
1,5,2068,502,412
1,6,2208,502,440
1,6,2208,502,440
1,6,2690,502,536
1,6,2690,502,536
1,6,2323,503,462
1,6,2323,503,462
1,6,2102,503,418
1,7,2102,503,418
1,7,2113,502,421
1,7,2113,502,421
1,7,2163,502,431
1,7,2163,502,431
1,7,2088,502,416
1,7,2088,502,416
1,7,2078,502,414
1,8,2078,502,414
1,8,2178,502,434
1,8,2178,502,434
1,9,2168,502,432
1,9,2168,502,432
1,9,2193,503,436
1,9,2193,503,436
1,9,2043,502,407
1,9,2043,502,407
1,9,2073,502,413
1,9,2073,502,413
2,10,2142,503,426
2,10,2142,503,426
2,10,2339,502,466
2,10,2339,502,466
2,10,1598,506,316
2,10,1598,506,316
2,10,1593,506,315
2,11,1593,506,315
2,11,1609,506,318
2,11,1609,506,318
2,11,1598,506,316
2,11,1598,506,316
2,11,1588,506,314
2,11,1588,506,314
2,12,1696,505,336
2,12,1696,505,336
2,12,1804,504,358
2,12,1804,504,358
2,12,1779,504,353
2,12,1779,504,353
2,12,1722,505,341
2,13,1722,505,341
2,13,1717,505,340
2,13,1717,505,340
2,13,1696,505,336
2,13,1696,505,336
2,13,1727,505,342
2,13,1727,505,342
2,14,1784,504,354
2,14,1784,504,354
2,14,1727,505,342
2,14,1727,505,342
2,14,1717,505,340
2,14,1717,505,340
2,14,1706,505,338
2,14,1706,505,338
3,15,1748,504,347
3,15,1748,504,347
3,15,1717,505,340
3,15,1717,505,340
3,15,1727,505,342
3,15,1727,505,342
3,15,1722,505,341
3,16,1722,505,341
3,16,1706,505,338
3,16,1706,505,338
3,16,1794,504,356
3,16,1794,504,356
3,16,1717,505,340
3,16,1717,505,340
3,17,1711,505,339
3,17,1711,505,339
3,17,1706,505,338
3,17,1706,505,338
3,17,1706,505,338
3,17,1706,505,338
3,17,1804,504,358
3,18,1804,504,358
