total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1839,504,365
0,0,1732,505,343
0,0,1732,505,343
0,0,1717,505,340
0,0,1717,505,340
0,0,1717,505,340
0,0,1717,505,340
0,0,1727,505,342
0,0,1727,505,342
0,0,1727,505,342
0,0,1727,505,342
0,0,1727,505,342
0,0,1727,505,342
0,0,1742,505,345
0,0,1742,505,345
0,0,1717,505,340
0,0,1717,505,340
0,0,1747,505,346
0,0,1747,505,346
0,0,1727,505,342
0,0,1727,505,342
0,0,1727,505,342
0,0,1727,505,342
0,0,1732,505,343
0,0,1732,505,343
0,0,1722,505,341
0,0,1722,505,341
0,0,1732,505,343
0,0,1732,505,343
0,0,1732,505,343
0,0,1732,505,343
0,0,1711,505,339
0,0,1711,505,339
0,0,1717,505,340
1,5,1717,505,340
1,5,1717,505,340
1,5,1717,505,340
1,5,1722,505,341
1,5,1722,505,341
1,5,1764,504,350
1,5,1764,504,350
1,6,1747,505,346
1,6,1747,505,346
1,6,1727,505,342
1,6,1727,505,342
1,6,1717,505,340
1,6,1717,505,340
1,6,1727,505,342
1,7,1727,505,342
1,7,1737,505,344
1,7,1737,505,344
1,7,1717,505,340
1,7,1717,505,340
1,7,1717,505,340
1,7,1717,505,340
1,8,1722,505,341
1,8,1722,505,341
1,8,1737,505,344
1,8,1737,505,344
1,8,1946,503,387
1,8,1946,503,387
1,8,1849,504,367
1,8,1849,504,367
1,9,1646,505,326
1,9,1646,505,326
1,9,1593,506,315
1,9,1593,506,315
1,9,1843,505,365
1,9,1843,505,365
1,9,1661,505,329
2,10,1661,505,329
2,10,1727,505,342
2,10,1727,505,342
2,10,1732,505,343
2,10,1732,505,343
2,10,1732,505,343
2,10,1732,505,343
2,11,1779,504,353
2,11,1779,504,353
2,11,1717,505,340
2,11,1717,505,340
2,11,1732,505,343
2,11,1732,505,343
2,11,1752,505,347
2,12,1752,505,347
2,12,1772,505,351
2,12,1772,505,351
2,12,1737,505,344
2,12,1737,505,344
2,12,1727,505,342
2,12,1727,505,342
2,12,1732,505,343
2,12,1732,505,343
2,12,1717,505,340
2,12,1717,505,340
2,13,1711,505,339
2,13,1711,505,339
2,13,1727,505,342
2,13,1727,505,342
2,13,1742,505,345
2,13,1742,505,345
2,13,1727,505,342
2,14,1727,505,342
2,14,1711,505,339
2,14,1711,505,339
2,14,1723,504,342
2,14,1723,504,342
2,14,1727,505,342
2,14,1727,505,342
2,14,1727,505,342
3,15,1727,505,342
3,15,1742,505,345
3,15,1742,505,345
3,15,1732,505,343
3,15,1732,505,343
3,15,1747,505,346
3,15,1747,505,346
3,16,1722,505,341
3,16,1722,505,341
3,16,1717,505,340
3,16,1717,505,340
3,16,1722,505,341
3,16,1722,505,341
3,16,1814,504,360
3,17,1814,504,360
