total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1757,505,348
0,0,1764,504,350
0,0,1764,504,350
0,0,1753,504,348
0,0,1753,504,348
0,0,1753,504,348
0,0,1753,504,348
0,0,1757,505,348
0,0,1757,505,348
0,0,1829,504,363
0,0,1829,504,363
0,0,1764,504,350
0,0,1764,504,350
0,0,1753,504,348
0,0,1753,504,348
0,0,1764,504,350
0,0,1764,504,350
0,0,1764,504,350
0,0,1764,504,350
0,0,1764,504,350
0,0,1764,504,350
0,0,1809,504,359
0,0,1809,504,359
0,0,1774,504,352
0,0,1774,504,352
0,0,1762,505,349
0,0,1762,505,349
0,0,1742,505,345
0,0,1742,505,345
0,0,1742,505,345
0,0,1742,505,345
0,0,1779,504,353
0,0,1779,504,353
1,5,1758,504,349
1,5,1758,504,349
1,5,1753,504,348
1,5,1753,504,348
1,5,1747,505,346
1,5,1747,505,346
1,5,1696,505,336
1,6,1696,505,336
1,6,1619,506,320
1,6,1619,506,320
1,6,1639,506,324
1,6,1639,506,324
1,6,1619,506,320
1,6,1619,506,320
1,7,1814,504,360
1,7,1814,504,360
1,7,1757,505,348
1,7,1757,505,348
1,7,1774,504,352
1,7,1774,504,352
1,7,1779,504,353
1,7,1779,504,353
1,8,1764,504,350
1,8,1764,504,350
1,8,1767,505,350
1,8,1767,505,350
1,8,1762,505,349
1,8,1762,505,349
1,8,1819,504,361
1,9,1819,504,361
1,9,1774,504,352
1,9,1774,504,352
1,9,1824,504,362
1,9,1824,504,362
1,9,1757,505,348
1,9,1757,505,348
2,10,1819,504,361
2,10,1819,504,361
2,10,1748,504,347
2,10,1748,504,347
2,10,1779,504,353
2,10,1779,504,353
2,10,1758,504,349
2,11,1758,504,349
2,11,1946,503,387
2,11,1946,503,387
2,11,1789,504,355
2,11,1789,504,355
2,11,1753,504,348
2,11,1753,504,348
2,12,1753,504,348
2,12,1753,504,348
2,12,1753,504,348
2,12,1753,504,348
2,12,1748,504,347
2,12,1748,504,347
2,12,1764,504,350
2,12,1764,504,350
2,13,1757,505,348
2,13,1757,505,348
2,13,1764,504,350
2,13,1764,504,350
2,13,1753,504,348
2,13,1753,504,348
2,13,1747,505,346
2,14,1747,505,346
2,14,1804,504,358
2,14,1804,504,358
2,14,1757,505,348
2,14,1757,505,348
2,14,1774,504,352
2,14,1774,504,352
2,15,1757,505,348
2,15,1757,505,348
2,15,1814,504,360
2,15,1814,504,360
3,15,1748,504,347
3,15,1748,504,347
3,15,1767,505,350
3,16,1767,505,350
3,16,1769,504,351
3,16,1769,504,351
3,16,1747,505,346
3,16,1747,505,346
3,16,1834,504,364
3,16,1834,504,364
3,16,1757,505,348
3,17,1757,505,348
3,17,1752,505,347
3,17,1752,505,347
3,17,1758,504,349
3,17,1758,504,349
