total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1690,506,334
0,0,1706,505,338
0,0,1706,505,338
0,0,1696,505,336
0,0,1696,505,336
0,0,1695,506,335
0,0,1695,506,335
0,0,1690,506,334
0,0,1690,506,334
0,0,1674,506,331
0,0,1674,506,331
0,0,1684,506,333
0,0,1684,506,333
0,0,1706,505,338
0,0,1706,505,338
0,0,1686,505,334
0,0,1686,505,334
0,0,1695,506,335
0,0,1695,506,335
0,0,1695,506,335
0,0,1695,506,335
0,0,1711,505,339
0,0,1711,505,339
0,0,1684,506,333
0,0,1684,506,333
0,0,1696,505,336
0,0,1696,505,336
0,0,1695,506,335
0,0,1695,506,335
0,0,1679,506,332
0,0,1679,506,332
0,0,1690,506,334
0,0,1690,506,334
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
1,5,1747,505,346
1,5,1747,505,346
1,5,1690,506,334
1,5,1690,506,334
1,5,1690,506,334
1,5,1690,506,334
1,5,1701,505,337
1,5,1701,505,337
1,6,1767,505,350
1,6,1767,505,350
1,6,1701,505,337
1,6,1701,505,337
1,6,1684,506,333
1,6,1684,506,333
1,6,1690,506,334
1,7,1690,506,334
1,7,1679,506,332
1,7,1679,506,332
1,7,1772,505,351
1,7,1772,505,351
1,7,1686,505,334
1,7,1686,505,334
1,8,1679,506,332
1,8,1679,506,332
1,8,1674,506,331
1,8,1674,506,331
1,8,1701,505,337
1,8,1701,505,337
1,8,1700,506,336
1,8,1700,506,336
1,8,1706,505,338
1,8,1706,505,338
1,8,1674,506,331
1,9,1674,506,331
1,9,1674,506,331
1,9,1674,506,331
1,9,1674,506,331
1,9,1674,506,331
1,9,1701,505,337
1,9,1701,505,337
2,10,1690,506,334
2,10,1690,506,334
2,10,1710,506,338
2,10,1710,506,338
2,10,1679,506,332
2,10,1679,506,332
2,10,1696,505,336
2,11,1696,505,336
2,11,1679,506,332
2,11,1679,506,332
2,11,1691,505,335
2,11,1691,505,335
2,11,1684,506,333
2,11,1684,506,333
2,11,1674,506,331
2,12,1674,506,331
2,12,1752,505,347
2,12,1752,505,347
2,12,1684,506,333
2,12,1684,506,333
2,12,1701,505,337
2,12,1701,505,337
2,13,1686,505,334
2,13,1686,505,334
2,13,1787,505,354
2,13,1787,505,354
2,13,1679,506,332
2,13,1679,506,332
2,13,1684,506,333
2,14,1684,506,333
2,14,1690,506,334
2,14,1690,506,334
2,14,1684,506,333
2,14,1684,506,333
2,14,1747,505,346
2,14,1747,505,346
2,15,1691,505,335
2,15,1691,505,335
2,15,1690,506,334
2,15,1690,506,334
3,15,1717,505,340
3,15,1717,505,340
3,15,1700,506,336
3,15,1700,506,336
3,16,1696,505,336
3,16,1696,505,336
3,16,1833,505,363
3,16,1833,505,363
