total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1711,505,339
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1732,505,343
0,0,1732,505,343
0,0,1681,505,333
0,0,1681,505,333
0,0,1681,505,333
0,0,1681,505,333
0,0,1674,506,331
0,0,1674,506,331
0,0,1674,506,331
0,0,1674,506,331
0,0,1691,505,335
0,0,1691,505,335
0,0,1752,505,347
0,0,1752,505,347
0,0,1696,505,336
0,0,1696,505,336
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1679,506,332
0,0,1701,505,337
0,0,1701,505,337
0,0,1684,506,333
0,0,1684,506,333
0,0,1696,505,336
0,0,1696,505,336
0,0,1849,504,367
0,0,1849,504,367
0,0,1829,504,363
0,0,1829,504,363
0,0,1879,504,373
0,0,1879,504,373
0,0,1762,505,349
1,5,1762,505,349
1,5,1767,505,350
1,5,1767,505,350
1,5,1737,505,344
1,5,1737,505,344
1,5,1696,505,336
1,5,1696,505,336
1,6,1727,505,342
1,6,1727,505,342
1,6,1797,505,356
1,6,1797,505,356
1,6,1846,503,367
1,6,1846,503,367
1,6,1691,505,335
1,7,1691,505,335
1,7,1717,505,340
1,7,1717,505,340
1,7,1691,505,335
1,7,1691,505,335
1,7,1706,505,338
1,7,1706,505,338
1,7,1789,504,355
1,8,1789,504,355
1,8,1844,504,366
1,8,1844,504,366
1,8,1879,504,373
1,8,1879,504,373
1,8,1844,504,366
1,8,1844,504,366
1,9,1717,505,340
1,9,1717,505,340
1,9,1649,506,326
1,9,1649,506,326
1,9,1578,506,312
1,9,1578,506,312
1,9,1573,506,311
1,10,1573,506,311
1,10,1573,506,311
1,10,1573,506,311
1,10,1676,505,332
2,10,1676,505,332
2,10,1686,505,334
2,10,1686,505,334
2,10,1691,505,335
2,10,1691,505,335
2,10,1681,505,333
2,10,1681,505,333
2,11,1757,505,348
2,11,1757,505,348
2,11,1737,505,344
2,11,1737,505,344
2,11,1701,505,337
2,11,1701,505,337
2,11,1679,506,332
2,12,1679,506,332
2,12,1691,505,335
2,12,1691,505,335
2,12,1706,505,338
2,12,1706,505,338
2,12,1695,506,335
2,12,1695,506,335
2,13,1691,505,335
2,13,1691,505,335
2,13,1684,506,333
2,13,1684,506,333
2,13,1696,505,336
2,13,1696,505,336
2,13,1690,506,334
2,13,1690,506,334
2,14,1676,505,332
2,14,1676,505,332
2,14,1691,505,335
2,14,1691,505,335
2,14,1679,506,332
2,14,1679,506,332
2,14,1684,506,333
3,15,1684,506,333
3,15,1695,506,335
3,15,1695,506,335
3,15,1679,506,332
3,15,1679,506,332
3,15,1691,505,335
3,15,1691,505,335
3,16,1681,505,333
3,16,1681,505,333
3,16,2005,504,398
3,16,2005,504,398
