total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1737,505,344
0,0,1737,505,344
0,0,1669,506,330
0,0,1669,506,330
0,0,1649,506,326
0,0,1649,506,326
0,0,1644,506,325
0,0,1644,506,325
0,0,1654,506,327
0,0,1654,506,327
0,0,1654,506,327
0,0,1654,506,327
0,0,1767,505,350
0,0,1767,505,350
0,0,1649,506,326
0,0,1649,506,326
0,0,1649,506,326
0,0,1649,506,326
0,0,1644,506,325
0,0,1644,506,325
0,0,1649,506,326
0,0,1649,506,326
0,0,1679,506,332
0,0,1679,506,332
0,0,1681,505,333
0,0,1681,505,333
0,0,1659,506,328
0,0,1659,506,328
0,0,1649,506,326
0,0,1649,506,326
0,0,1649,506,326
0,0,1649,506,326
0,0,1649,506,326
1,5,1649,506,326
1,5,1767,505,350
1,5,1767,505,350
1,5,1898,505,376
1,5,1898,505,376
1,5,1996,503,397
1,5,1996,503,397
1,6,2122,503,422
1,6,2122,503,422
1,6,2033,502,405
1,6,2033,502,405
1,6,2037,503,405
1,6,2037,503,405
1,6,1986,503,395
1,7,1986,503,395
1,7,1941,503,386
1,7,1941,503,386
1,7,2374,503,472
1,7,2374,503,472
1,7,2022,503,402
1,7,2022,503,402
1,8,1976,503,393
1,8,1976,503,393
1,8,2037,503,405
1,8,2037,503,405
1,9,1976,503,393
1,9,1976,503,393
1,9,2013,502,401
1,9,2013,502,401
1,9,2424,503,482
1,9,2424,503,482
1,9,2022,503,402
2,10,2022,503,402
2,10,2008,502,400
2,10,2008,502,400
2,10,1941,503,386
2,10,1941,503,386
2,10,2017,503,401
2,10,2017,503,401
2,11,2107,503,419
2,11,2107,503,419
2,11,2048,502,408
2,11,2048,502,408
2,11,1777,505,352
2,11,1777,505,352
2,11,1556,507,307
2,11,1556,507,307
2,12,1629,506,322
2,12,1629,506,322
2,12,1551,507,306
2,12,1551,507,306
2,12,1588,506,314
2,12,1588,506,314
2,12,1546,507,305
2,13,1546,507,305
2,13,1747,505,346
2,13,1747,505,346
2,13,1895,504,376
2,13,1895,504,376
2,13,1674,506,331
2,13,1674,506,331
2,14,1649,506,326
2,14,1649,506,326
2,14,1649,506,326
2,14,1649,506,326
2,14,1772,505,351
2,14,1772,505,351
2,14,1659,506,328
2,14,1659,506,328
2,14,1649,506,326
2,14,1649,506,326
2,14,1649,506,326
3,15,1649,506,326
3,15,1649,506,326
3,15,1649,506,326
3,15,1690,506,334
3,15,1690,506,334
3,15,1654,506,327
3,15,1654,506,327
3,16,1649,506,326
3,16,1649,506,326
3,16,1649,506,326
3,16,1649,506,326
3,16,1654,506,327
3,16,1654,506,327
3,16,1654,506,327
3,17,1654,506,327
3,17,1654,506,327
3,17,1654,506,327
3,17,1649,506,326
3,17,1649,506,326
3,17,1649,506,326
