total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1815,503,361
0,0,1824,504,362
0,0,1824,504,362
0,0,1819,504,361
0,0,1819,504,361
0,0,1955,504,388
0,0,1955,504,388
0,0,1805,503,359
0,0,1805,503,359
0,0,1799,504,357
0,0,1799,504,357
0,0,1846,503,367
0,0,1846,503,367
0,0,1814,504,360
0,0,1814,504,360
0,0,1777,505,352
0,0,1777,505,352
0,0,1669,506,330
0,0,1669,506,330
0,0,1742,505,345
0,0,1742,505,345
0,0,1659,506,328
0,0,1659,506,328
0,0,1695,506,335
0,0,1695,506,335
0,0,1659,506,328
0,0,1659,506,328
0,0,1955,504,388
0,0,1955,504,388
0,0,1809,504,359
0,0,1809,504,359
1,5,1820,503,362
1,5,1820,503,362
1,5,1805,503,359
1,5,1805,503,359
1,5,1814,504,360
1,5,1814,504,360
1,5,1895,504,376
1,5,1895,504,376
1,6,1809,504,359
1,6,1809,504,359
1,6,1824,504,362
1,6,1824,504,362
1,6,1825,503,363
1,6,1825,503,363
1,6,1752,505,347
1,7,1752,505,347
1,7,1804,504,358
1,7,1804,504,358
1,7,1674,506,331
1,7,1674,506,331
1,7,1669,506,330
1,7,1669,506,330
1,8,1659,506,328
1,8,1659,506,328
1,8,1690,506,334
1,8,1690,506,334
1,8,1743,504,346
1,8,1743,504,346
1,8,1810,503,360
1,9,1810,503,360
1,9,1804,504,358
1,9,1804,504,358
1,9,1748,504,347
1,9,1748,504,347
1,9,1701,505,337
1,9,1701,505,337
1,9,1669,506,330
1,9,1669,506,330
1,9,1669,506,330
1,9,1669,506,330
2,10,1659,506,328
2,10,1659,506,328
2,10,1664,506,329
2,10,1664,506,329
2,10,1853,505,367
2,10,1853,505,367
2,10,1814,504,360
2,11,1814,504,360
2,11,1810,503,360
2,11,1810,503,360
2,11,1824,504,362
2,11,1824,504,362
2,11,1814,504,360
2,11,1814,504,360
2,11,1916,503,381
2,12,1916,503,381
2,12,1804,504,358
2,12,1804,504,358
2,12,1871,503,372
2,12,1871,503,372
2,12,1809,504,359
2,12,1809,504,359
2,13,1970,504,391
2,13,1970,504,391
2,13,1824,504,362
2,13,1824,504,362
2,13,1809,504,359
2,13,1809,504,359
2,13,1824,504,362
2,14,1824,504,362
2,14,1825,503,363
2,14,1825,503,363
2,14,1856,503,369
2,14,1856,503,369
2,14,1810,503,360
2,14,1810,503,360
3,15,1795,503,357
3,15,1795,503,357
3,15,1861,503,370
3,15,1861,503,370
3,15,1819,504,361
3,15,1819,504,361
3,15,1824,504,362
3,15,1824,504,362
3,16,1810,503,360
3,16,1810,503,360
3,16,1820,503,362
3,17,1820,503,362
3,17,1809,504,359
3,17,1809,504,359
3,17,1805,503,359
3,17,1805,503,359
3,17,1900,504,377
3,17,1900,504,377
