total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1674,506,331
0,0,1711,505,339
0,0,1711,505,339
0,0,1659,506,328
0,0,1659,506,328
0,0,1664,506,329
0,0,1664,506,329
0,0,1809,504,359
0,0,1809,504,359
0,0,1799,504,357
0,0,1799,504,357
0,0,1728,504,343
0,0,1728,504,343
0,0,1659,506,328
0,0,1659,506,328
0,0,1674,506,331
0,0,1674,506,331
0,0,1654,506,327
0,0,1654,506,327
0,0,1661,505,329
0,0,1661,505,329
0,0,1659,506,328
0,0,1659,506,328
0,0,1727,505,342
0,0,1727,505,342
0,0,1930,504,383
0,0,1930,504,383
0,0,1804,504,358
0,0,1804,504,358
0,0,1804,504,358
0,0,1804,504,358
0,0,1809,504,359
0,0,1809,504,359
0,0,1829,504,363
0,0,1829,504,363
1,5,1809,504,359
1,5,1809,504,359
1,5,2550,503,507
1,5,2550,503,507
1,6,2228,503,443
1,6,2228,503,443
1,6,2183,503,434
1,6,2183,503,434
1,6,2218,503,441
1,6,2218,503,441
1,6,2303,503,458
1,7,2303,503,458
1,7,2222,504,441
1,7,2222,504,441
1,7,2177,503,433
1,7,2177,503,433
1,7,2218,503,441
1,7,2218,503,441
1,8,1871,503,372
1,8,1871,503,372
1,8,2167,503,431
1,8,2167,503,431
1,9,1906,503,379
1,9,1906,503,379
1,9,1891,503,376
1,9,1891,503,376
1,9,1892,502,377
1,9,1892,502,377
1,9,2047,503,407
2,10,2047,503,407
2,10,1891,503,376
2,10,1891,503,376
2,10,1886,503,375
2,10,1886,503,375
2,10,1871,503,372
2,10,1871,503,372
2,11,2017,503,401
2,11,2017,503,401
2,11,1926,503,383
2,11,1926,503,383
2,11,1787,505,354
2,11,1787,505,354
2,11,1639,506,324
2,11,1639,506,324
2,12,1649,506,326
2,12,1649,506,326
2,12,1639,506,324
2,12,1639,506,324
2,12,1794,504,356
2,12,1794,504,356
2,12,1794,504,356
2,13,1794,504,356
2,13,1795,503,357
2,13,1795,503,357
2,13,1789,504,355
2,13,1789,504,355
2,13,1787,505,354
2,13,1787,505,354
2,14,1774,504,352
2,14,1774,504,352
2,14,1779,504,353
2,14,1779,504,353
2,14,1774,504,352
2,14,1774,504,352
2,14,1784,504,354
3,15,1784,504,354
3,15,1772,505,351
3,15,1772,505,351
3,15,1787,505,354
3,15,1787,505,354
3,15,1789,504,355
3,15,1789,504,355
3,16,1804,504,358
3,16,1804,504,358
3,16,1784,504,354
3,16,1784,504,354
3,16,1895,504,376
3,16,1895,504,376
3,16,1792,505,355
3,16,1792,505,355
3,17,1799,504,357
3,17,1799,504,357
3,17,1782,505,353
3,17,1782,505,353
3,17,1911,503,380
3,17,1911,503,380
3,17,2012,503,400
3,18,2012,503,400
3,18,1794,504,356
3,18,1794,504,356
