total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1851,503,368
0,0,1891,503,376
0,0,1891,503,376
0,0,1866,503,371
0,0,1866,503,371
0,0,1835,503,365
0,0,1835,503,365
0,0,1840,503,366
0,0,1840,503,366
0,0,1840,503,366
0,0,1840,503,366
0,0,2203,503,438
0,0,2203,503,438
0,0,1891,503,376
0,0,1891,503,376
0,0,1871,503,372
0,0,1871,503,372
0,0,1840,503,366
0,0,1840,503,366
0,0,1846,503,367
0,0,1846,503,367
0,0,1835,503,365
0,0,1835,503,365
0,0,2172,503,432
0,0,2172,503,432
0,0,2489,503,495
0,0,2489,503,495
0,0,2479,503,493
0,0,2479,503,493
0,0,2162,503,430
0,0,2162,503,430
1,5,1840,503,366
1,5,1840,503,366
1,5,1840,503,366
1,5,1840,503,366
1,5,1887,502,376
1,5,1887,502,376
1,5,1856,503,369
1,6,1856,503,369
1,6,1835,503,365
1,6,1835,503,365
1,6,2147,503,427
1,6,2147,503,427
1,6,2515,503,500
1,6,2515,503,500
1,7,2494,503,496
1,7,2494,503,496
1,7,2152,503,428
1,7,2152,503,428
1,8,1835,503,365
1,8,1835,503,365
1,8,1835,503,365
1,8,1835,503,365
1,8,1835,503,365
1,8,1835,503,365
1,8,1835,503,365
1,9,1835,503,365
1,9,1952,502,389
1,9,1952,502,389
1,9,2142,503,426
1,9,2142,503,426
1,9,2464,503,490
1,9,2464,503,490
2,10,1851,503,368
2,10,1851,503,368
2,10,1835,503,365
2,10,1835,503,365
2,10,1835,503,365
2,10,1835,503,365
2,10,1835,503,365
2,10,1835,503,365
2,11,1861,503,370
2,11,1861,503,370
2,11,1871,503,372
2,11,1871,503,372
2,11,2454,503,488
2,11,2454,503,488
2,11,2489,503,495
2,12,2489,503,495
2,12,1835,503,365
2,12,1835,503,365
2,12,1835,503,365
2,13,1835,503,365
2,13,1835,503,365
2,13,1835,503,365
2,13,1835,503,365
2,13,1835,503,365
2,13,1711,505,339
2,13,1711,505,339
2,14,1727,505,342
2,14,1727,505,342
2,14,2328,503,463
2,14,2328,503,463
2,14,2092,503,416
2,14,2092,503,416
2,14,1840,503,366
3,15,1840,503,366
3,15,1840,503,366
3,15,1840,503,366
3,15,1830,503,364
3,15,1830,503,364
3,15,1835,503,365
3,15,1835,503,365
3,16,1835,503,365
3,16,1835,503,365
3,16,2142,503,426
3,16,2142,503,426
3,16,2474,503,492
3,16,2474,503,492
3,16,2349,503,467
3,17,2349,503,467
3,17,2349,503,467
3,17,2349,503,467
3,17,2333,503,464
3,18,2333,503,464
3,18,2344,502,467
3,18,2344,502,467
3,18,2479,503,493
3,18,2479,503,493
3,18,2474,503,492
3,18,2474,503,492
3,19,2469,503,491
3,19,2469,503,491
3,19,2474,503,492
3,19,2474,503,492
