total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,2494,503,496
0,0,2494,503,496
0,0,2530,503,503
0,0,2530,503,503
0,0,2494,503,496
0,0,2494,503,496
0,0,2489,503,495
0,0,2489,503,495
0,0,2489,503,495
0,0,2489,503,495
0,0,2484,503,494
0,0,2484,503,494
0,0,2540,503,505
0,0,2540,503,505
0,0,2499,503,497
0,0,2499,503,497
0,0,2474,503,492
0,0,2474,503,492
0,0,2484,503,494
0,0,2484,503,494
0,0,2489,503,495
0,0,2489,503,495
0,0,2484,503,494
0,0,2484,503,494
0,0,2525,503,502
0,0,2525,503,502
0,0,2509,503,499
0,0,2509,503,499
1,5,2499,503,497
1,5,2499,503,497
1,5,2605,502,519
1,5,2605,502,519
1,6,2720,502,542
1,6,2720,502,542
1,6,2796,502,557
1,7,2796,502,557
1,7,2795,501,558
1,7,2795,501,558
1,7,2369,502,472
1,7,2369,502,472
1,7,2048,502,408
1,7,2048,502,408
1,8,2038,502,406
1,8,2038,502,406
1,8,2063,502,411
1,8,2063,502,411
1,8,2053,502,409
1,8,2053,502,409
1,8,2034,501,406
1,8,2034,501,406
1,9,2369,502,472
1,9,2369,502,472
1,9,2038,502,406
1,9,2038,502,406
1,9,2034,501,406
1,9,2034,501,406
1,9,2038,502,406
2,10,2038,502,406
2,10,2033,502,405
2,10,2033,502,405
2,11,2002,502,399
2,11,2002,502,399
2,11,2033,502,405
2,11,2033,502,405
2,11,2394,502,477
2,11,2394,502,477
2,11,2038,502,406
2,11,2038,502,406
2,12,2023,502,403
2,12,2023,502,403
2,12,1846,503,367
2,12,1846,503,367
2,12,1846,503,367
2,12,1846,503,367
2,12,1840,503,366
2,13,1840,503,366
2,13,2152,503,428
2,13,2152,503,428
2,13,2157,503,429
2,13,2157,503,429
2,13,1840,503,366
2,13,1840,503,366
2,14,1835,503,365
2,14,1835,503,365
2,14,1835,503,365
2,14,1835,503,365
2,14,1717,505,340
2,14,1717,505,340
2,14,1706,505,338
3,15,1706,505,338
3,15,2016,504,400
3,15,2016,504,400
3,15,2409,503,479
3,16,2409,503,479
3,16,2333,503,464
3,16,2333,503,464
3,16,2349,503,467
3,16,2349,503,467
3,16,2343,503,466
3,16,2343,503,466
3,17,2338,503,465
3,17,2338,503,465
3,17,2359,503,469
3,17,2359,503,469
3,17,2349,503,467
3,17,2349,503,467
3,17,2333,503,464
3,18,2333,503,464
3,18,2343,503,466
3,18,2343,503,466
3,18,2333,503,464
3,19,2333,503,464
3,19,2349,503,467
3,19,2349,503,467
3,19,2349,503,467
3,19,2349,503,467
3,19,2354,503,468
3,19,2354,503,468
4,20,2349,503,467
4,20,2349,503,467
4,20,2343,503,466
4,20,2343,503,466
4,21,2349,503,467
4,21,2349,503,467
4,21,2354,503,468
