total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,2479,503,493
0,0,2479,503,493
0,0,2474,503,492
0,0,2474,503,492
0,0,2469,503,491
0,0,2469,503,491
0,0,2494,503,496
0,0,2494,503,496
0,0,2499,503,497
0,0,2499,503,497
0,0,2479,503,493
0,0,2479,503,493
0,0,2479,504,492
0,0,2479,504,492
0,0,2474,503,492
0,0,2474,503,492
0,0,2484,503,494
0,0,2484,503,494
0,0,2499,503,497
0,0,2499,503,497
0,0,2489,503,495
0,0,2489,503,495
0,0,2484,503,494
0,0,2484,503,494
0,0,2474,503,492
0,0,2474,503,492
1,5,2474,503,492
1,5,2474,503,492
1,5,2474,503,492
1,5,2474,503,492
1,6,2504,504,497
1,6,2504,504,497
1,6,2555,503,508
1,6,2555,503,508
1,6,2474,503,492
1,6,2474,503,492
1,6,2369,503,471
1,7,2369,503,471
1,7,1991,503,396
1,7,1991,503,396
1,7,1846,503,367
1,8,1846,503,367
1,8,1856,503,369
1,8,1856,503,369
1,8,1840,503,366
1,8,1840,503,366
1,8,1840,503,366
1,8,1840,503,366
1,9,1881,503,374
1,9,1881,503,374
1,9,2474,503,492
1,9,2474,503,492
1,9,2459,503,489
1,9,2459,503,489
1,9,2464,503,490
2,10,2464,503,490
2,10,2520,503,501
2,10,2520,503,501
2,10,2479,503,493
2,11,2479,503,493
2,11,2479,503,493
2,11,2479,503,493
2,11,2464,503,490
2,11,2464,503,490
2,11,2479,503,493
2,11,2479,503,493
2,12,2479,503,493
2,12,2479,503,493
2,12,2494,503,496
2,12,2494,503,496
2,13,2484,503,494
2,13,2484,503,494
2,13,2474,504,491
2,13,2474,504,491
2,13,2469,503,491
2,13,2469,503,491
2,13,2474,503,492
2,14,2474,503,492
2,14,2484,503,494
2,14,2484,503,494
2,14,2409,503,479
3,15,2409,503,479
3,15,2348,504,466
3,15,2348,504,466
3,15,2333,503,464
3,15,2333,503,464
3,15,2354,503,468
3,15,2354,503,468
3,16,2343,503,466
3,16,2343,503,466
3,16,2343,503,466
3,17,2343,503,466
3,17,2354,503,468
3,17,2354,503,468
3,17,2343,503,466
3,17,2343,503,466
3,17,2338,503,465
3,17,2338,503,465
3,17,2359,503,469
3,18,2359,503,469
3,18,2343,503,466
3,18,2343,503,466
3,19,2369,503,471
3,19,2369,503,471
3,19,2338,503,465
3,19,2338,503,465
3,19,2343,503,466
3,19,2343,503,466
3,19,2343,503,466
4,20,2343,503,466
4,20,2343,503,466
4,20,2343,503,466
4,20,2364,503,470
4,21,2364,503,470
4,21,2348,504,466
4,21,2348,504,466
4,21,2469,503,491
4,21,2469,503,491
4,21,2474,503,492
4,21,2474,503,492
4,22,2474,504,491
4,22,2474,504,491
4,22,2414,503,480
4,22,2414,503,480
4,23,2338,503,465
