total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,2474,503,492
0,0,2469,503,491
0,0,2469,503,491
0,0,2469,503,491
0,0,2469,503,491
0,0,2479,503,493
0,0,2479,503,493
0,0,2494,503,496
0,0,2494,503,496
0,0,2474,503,492
0,0,2474,503,492
0,0,2469,503,491
0,0,2469,503,491
0,0,2464,503,490
0,0,2464,503,490
0,0,2474,503,492
0,0,2474,503,492
0,0,2474,503,492
0,0,2474,503,492
0,0,1912,502,381
0,0,1912,502,381
0,0,1840,503,366
0,0,1840,503,366
0,0,1835,503,365
0,0,1835,503,365
0,0,1830,503,364
0,0,1830,503,364
0,0,1825,503,363
0,0,1825,503,363
0,0,1856,503,369
0,0,1856,503,369
1,5,2454,504,487
1,5,2454,504,487
1,5,2459,503,489
1,5,2459,503,489
1,6,2454,503,488
1,6,2454,503,488
1,6,2489,503,495
1,6,2489,503,495
1,6,1846,503,367
1,6,1846,503,367
1,6,1840,503,366
1,7,1840,503,366
1,7,1922,502,383
1,7,1922,502,383
1,7,1830,503,364
1,7,1830,503,364
1,7,1825,503,363
1,7,1825,503,363
1,8,1835,503,365
1,8,1835,503,365
1,8,2459,503,489
1,8,2459,503,489
1,9,2459,503,489
1,9,2459,503,489
1,9,2454,503,488
1,9,2454,503,488
1,9,2469,503,491
1,9,2469,503,491
1,9,1840,503,366
2,10,1840,503,366
2,10,1835,503,365
2,10,1835,503,365
2,10,1825,503,363
2,10,1825,503,363
2,10,1825,503,363
2,10,1825,503,363
2,11,1866,503,371
2,11,1866,503,371
2,11,1851,503,368
2,11,1851,503,368
2,11,2449,503,487
2,11,2449,503,487
2,11,2454,503,488
2,11,2454,503,488
2,12,2464,503,490
2,12,2464,503,490
2,12,2459,503,489
2,13,2459,503,489
2,13,2454,503,488
2,13,2454,503,488
2,13,2399,503,477
2,13,2399,503,477
2,13,2349,503,467
2,13,2349,503,467
2,14,2343,503,466
2,14,2343,503,466
2,14,2338,504,464
2,14,2338,504,464
3,15,2343,503,466
3,15,2343,503,466
3,15,2343,503,466
3,15,2343,503,466
3,15,2459,503,489
3,15,2459,503,489
3,15,2464,503,490
3,16,2464,503,490
3,16,2696,504,535
3,16,2696,504,535
3,16,2565,503,510
3,17,2565,503,510
3,17,2349,503,467
3,17,2349,503,467
3,17,2349,503,467
3,17,2349,503,467
3,17,2343,503,466
3,17,2343,503,466
3,18,2363,504,469
3,18,2363,504,469
3,18,2343,503,466
3,18,2343,503,466
3,19,2349,503,467
3,19,2349,503,467
3,19,2479,504,492
3,19,2479,504,492
3,19,2474,503,492
3,19,2474,503,492
3,19,2469,503,491
4,20,2469,503,491
4,20,2575,504,511
4,20,2575,504,511
4,20,2424,503,482
4,21,2424,503,482
4,21,2474,503,492
4,21,2474,503,492
