total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,2429,503,483
0,0,2429,503,483
0,0,1819,504,361
0,0,1819,504,361
0,0,1819,504,361
0,0,1819,504,361
0,0,1824,504,362
0,0,1824,504,362
0,0,1814,504,360
0,0,1814,504,360
0,0,1921,503,382
0,0,1921,503,382
0,0,1814,504,360
0,0,1814,504,360
0,0,1859,504,369
0,0,1859,504,369
0,0,1814,504,360
0,0,1814,504,360
0,0,1810,503,360
0,0,1810,503,360
0,0,1819,504,361
0,0,1819,504,361
0,0,1861,503,370
0,0,1861,503,370
0,0,1819,504,361
0,0,1819,504,361
0,0,1840,503,366
0,0,1840,503,366
0,0,1814,504,360
0,0,1814,504,360
0,0,1814,504,360
0,0,1814,504,360
0,0,1916,503,381
1,5,1916,503,381
1,5,1819,504,361
1,5,1819,504,361
1,5,1846,503,367
1,5,1846,503,367
1,5,1876,503,373
1,5,1876,503,373
1,6,2177,503,433
1,6,2177,503,433
1,6,1856,503,369
1,6,1856,503,369
1,6,1829,504,363
1,6,1829,504,363
1,6,1819,504,361
1,7,1819,504,361
1,7,1819,504,361
1,7,1819,504,361
1,7,1981,503,394
1,7,1981,503,394
1,7,1819,504,361
1,7,1819,504,361
1,8,1799,504,357
1,8,1799,504,357
1,8,1804,504,358
1,8,1804,504,358
1,8,1804,504,358
1,8,1804,504,358
1,8,1804,504,358
1,8,1804,504,358
1,9,1819,504,361
1,9,1819,504,361
1,9,2102,503,418
1,9,2102,503,418
1,9,1835,503,365
1,9,1835,503,365
1,9,1851,503,368
2,10,1851,503,368
2,10,1906,503,379
2,10,1906,503,379
2,10,1840,503,366
2,10,1840,503,366
2,10,1814,504,360
2,10,1814,504,360
2,11,1819,504,361
2,11,1819,504,361
2,11,2116,504,420
2,11,2116,504,420
2,11,1840,503,366
2,11,1840,503,366
2,11,1814,504,360
2,12,1814,504,360
2,12,1819,504,361
2,12,1819,504,361
2,12,1819,504,361
2,12,1819,504,361
2,12,1861,503,370
2,12,1861,503,370
2,13,2107,503,419
2,13,2107,503,419
2,13,1819,504,361
2,13,1819,504,361
2,14,1814,504,360
2,14,1814,504,360
2,14,1814,504,360
2,14,1814,504,360
2,14,1824,504,362
2,14,1824,504,362
2,14,1824,504,362
2,15,1824,504,362
2,15,1814,504,360
2,15,1814,504,360
2,15,1814,504,360
3,15,1814,504,360
3,15,1819,504,361
3,15,1819,504,361
3,15,1819,504,361
3,16,1819,504,361
3,16,1824,504,362
3,16,1824,504,362
3,16,1814,504,360
3,16,1814,504,360
3,16,1814,504,360
3,16,1814,504,360
3,17,2116,504,420
3,17,2116,504,420
3,17,1846,503,367
3,17,1846,503,367
3,17,1830,503,364
3,17,1830,503,364
3,17,1819,504,361
3,18,1819,504,361
3,18,1819,504,361
