total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1824,504,362
0,0,1824,504,362
0,0,1814,504,360
0,0,1814,504,360
0,0,1819,504,361
0,0,1819,504,361
0,0,2409,503,479
0,0,2409,503,479
0,0,2424,504,481
0,0,2424,504,481
0,0,1966,503,391
0,0,1966,503,391
0,0,1824,504,362
0,0,1824,504,362
0,0,1819,504,361
0,0,1819,504,361
0,0,1819,504,361
0,0,1819,504,361
0,0,1820,503,362
0,0,1820,503,362
0,0,1996,503,397
0,0,1996,503,397
0,0,2061,504,409
0,0,2061,504,409
0,0,1824,504,362
0,0,1824,504,362
0,0,1819,504,361
0,0,1819,504,361
0,0,1814,504,360
0,0,1814,504,360
0,0,1819,504,361
1,5,1819,504,361
1,5,1976,503,393
1,5,1976,503,393
1,5,1819,504,361
1,5,1819,504,361
1,5,1814,504,360
1,5,1814,504,360
1,6,1809,504,359
1,6,1809,504,359
1,6,1866,503,371
1,6,1866,503,371
1,6,1981,503,394
1,6,1981,503,394
1,6,1819,504,361
1,7,1819,504,361
1,7,1819,504,361
1,7,1819,504,361
1,7,2111,504,419
1,7,2111,504,419
1,7,1851,503,368
1,7,1851,503,368
1,8,1824,504,362
1,8,1824,504,362
1,8,1937,502,386
1,8,1937,502,386
1,9,1809,504,359
1,9,1809,504,359
1,9,1840,503,366
1,9,1840,503,366
1,9,2117,503,421
1,9,2117,503,421
1,9,1814,504,360
1,10,1814,504,360
1,10,1971,503,392
1,10,1971,503,392
1,10,1809,504,359
2,10,1809,504,359
2,10,1810,503,360
2,10,1810,503,360
2,11,1825,503,363
2,11,1825,503,363
2,11,1814,504,360
2,11,1814,504,360
2,11,2414,503,480
2,11,2414,503,480
2,11,2182,504,433
2,11,2182,504,433
2,12,1825,503,363
2,12,1825,503,363
2,12,1809,504,359
2,12,1809,504,359
2,12,1814,504,360
2,12,1814,504,360
2,12,1819,504,361
2,13,1819,504,361
2,13,1840,503,366
2,13,1840,503,366
2,13,2157,503,429
2,13,2157,503,429
2,13,2117,503,421
2,13,2117,503,421
2,14,1814,504,360
2,14,1814,504,360
2,14,1814,504,360
2,14,1814,504,360
2,14,1835,503,365
2,14,1835,503,365
2,14,1829,504,363
3,15,1829,504,363
3,15,1814,504,360
3,15,1814,504,360
3,15,2107,503,419
3,15,2107,503,419
3,15,2414,503,480
3,15,2414,503,480
3,16,2444,503,486
3,16,2444,503,486
3,16,2439,503,485
3,16,2439,503,485
3,17,1815,503,361
3,17,1815,503,361
3,17,1819,504,361
3,17,1819,504,361
3,17,1819,504,361
3,17,1819,504,361
3,17,1824,504,362
3,18,1824,504,362
3,18,1814,504,360
3,18,1814,504,360
3,18,1814,504,360
3,18,1814,504,360
3,18,2429,503,483
3,18,2429,503,483
3,18,2122,503,422
