total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1851,503,368
0,0,1851,503,368
0,0,2116,504,420
0,0,2116,504,420
0,0,1819,504,361
0,0,1819,504,361
0,0,1835,503,365
0,0,1835,503,365
0,0,1819,504,361
0,0,1819,504,361
0,0,1819,504,361
0,0,1819,504,361
0,0,1824,504,362
0,0,1824,504,362
0,0,2112,503,420
0,0,2112,503,420
0,0,1814,504,360
0,0,1814,504,360
0,0,1851,503,368
0,0,1851,503,368
0,0,1819,504,361
0,0,1819,504,361
0,0,1814,504,360
0,0,1814,504,360
0,0,1830,503,364
0,0,1830,503,364
0,0,1819,504,361
0,0,1819,504,361
0,0,2112,503,420
0,0,2112,503,420
0,0,1820,503,362
1,5,1820,503,362
1,5,1814,504,360
1,5,1814,504,360
1,5,1840,503,366
1,5,1840,503,366
1,5,1814,504,360
1,5,1814,504,360
1,6,1866,503,371
1,6,1866,503,371
1,6,1824,504,362
1,6,1824,504,362
1,6,1814,504,360
1,6,1814,504,360
1,6,1824,504,362
1,6,1824,504,362
1,7,1814,504,360
1,7,1814,504,360
1,7,1835,503,365
1,7,1835,503,365
1,7,1819,504,361
1,7,1819,504,361
1,7,2112,503,420
1,8,2112,503,420
1,8,1809,504,359
1,8,1809,504,359
1,8,1824,504,362
1,8,1824,504,362
1,8,1834,504,364
1,8,1834,504,364
1,9,1829,504,363
1,9,1829,504,363
1,9,1819,504,361
1,9,1819,504,361
1,9,1829,504,363
1,9,1829,504,363
1,9,2117,503,421
2,10,2117,503,421
2,10,1846,503,367
2,10,1846,503,367
2,10,1819,504,361
2,10,1819,504,361
2,10,1814,504,360
2,10,1814,504,360
2,11,1814,504,360
2,11,1814,504,360
2,11,1866,503,371
2,11,1866,503,371
2,11,1809,504,359
2,11,1809,504,359
2,11,1824,504,362
2,11,1824,504,362
2,12,1814,504,360
2,12,1814,504,360
2,12,1819,504,361
2,12,1819,504,361
2,12,1856,503,369
2,12,1856,503,369
2,12,1819,504,361
2,13,1819,504,361
2,13,2137,503,425
2,13,2137,503,425
2,13,1976,503,393
2,13,1976,503,393
2,13,1824,504,362
2,13,1824,504,362
2,14,1819,504,361
2,14,1819,504,361
2,14,1814,504,360
2,14,1814,504,360
2,14,1819,504,361
2,14,1819,504,361
2,14,1819,504,361
3,15,1819,504,361
3,15,2116,504,420
3,15,2116,504,420
3,15,1819,504,361
3,15,1819,504,361
3,15,1814,504,360
3,15,1814,504,360
3,15,1824,504,362
3,16,1824,504,362
3,16,1814,504,360
3,16,1814,504,360
3,17,1846,503,367
3,17,1846,503,367
3,17,1809,504,359
3,17,1809,504,359
3,17,1824,504,362
3,17,1824,504,362
3,17,1824,504,362
3,18,1824,504,362
3,18,1819,504,361
3,18,1819,504,361
3,18,1861,503,370
