total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1866,503,371
0,0,2122,503,422
0,0,2122,503,422
0,0,1830,503,364
0,0,1830,503,364
0,0,1839,504,365
0,0,1839,504,365
0,0,1830,503,364
0,0,1830,503,364
0,0,1835,503,365
0,0,1835,503,365
0,0,1819,504,361
0,0,1819,504,361
0,0,2017,503,401
0,0,2017,503,401
0,0,2424,503,482
0,0,2424,503,482
0,0,2429,503,483
0,0,2429,503,483
0,0,2454,503,488
0,0,2454,503,488
0,0,2429,503,483
0,0,2429,503,483
0,0,2374,503,472
0,0,2374,503,472
0,0,1824,504,362
0,0,1824,504,362
0,0,1820,503,362
1,5,1820,503,362
1,5,1856,503,369
1,5,1856,503,369
1,5,1824,504,362
1,5,1824,504,362
1,5,1824,504,362
1,5,1824,504,362
1,6,1824,504,362
1,6,1824,504,362
1,6,2308,503,459
1,6,2308,503,459
1,6,2323,503,462
1,6,2323,503,462
1,6,2333,503,464
1,7,2333,503,464
1,7,2359,503,469
1,7,2359,503,469
1,7,2369,503,471
1,8,2369,503,471
1,8,2399,503,477
1,8,2399,503,477
1,8,2414,503,480
1,8,2414,503,480
1,8,2389,503,475
1,8,2389,503,475
1,9,2218,502,442
1,9,2218,502,442
1,9,2338,503,465
1,9,2338,503,465
2,10,2374,503,472
2,10,2374,503,472
2,10,2264,502,451
2,10,2264,502,451
2,10,2293,503,456
2,10,2293,503,456
2,10,2389,503,475
2,11,2389,503,475
2,11,2264,502,451
2,11,2264,502,451
2,12,2379,503,473
2,12,2379,503,473
2,12,2343,503,466
2,12,2343,503,466
2,12,2274,502,453
2,12,2274,502,453
2,12,2304,502,459
2,12,2304,502,459
2,13,2545,502,507
2,13,2545,502,507
2,13,1876,503,373
2,13,1876,503,373
2,13,1829,504,363
2,13,1829,504,363
2,13,1829,504,363
2,14,1829,504,363
2,14,1819,504,361
2,14,1819,504,361
2,14,1871,503,372
2,14,1871,503,372
2,14,2121,504,421
2,14,2121,504,421
3,15,1830,503,364
3,15,1830,503,364
3,15,1824,504,362
3,15,1824,504,362
3,15,1824,504,362
3,15,1824,504,362
3,15,1839,504,365
3,16,1839,504,365
3,16,1829,504,363
3,16,1829,504,363
3,16,1824,504,362
3,16,1824,504,362
3,16,2429,503,483
3,16,2429,503,483
3,16,1819,504,361
3,17,1819,504,361
3,17,1834,504,364
3,17,1834,504,364
3,17,1824,504,362
3,17,1824,504,362
3,17,1824,504,362
3,17,1824,504,362
3,18,1824,504,362
3,18,1824,504,362
3,18,1916,503,381
3,18,1916,503,381
3,18,2535,503,504
3,18,2535,503,504
3,18,2122,503,422
3,19,2122,503,422
3,19,1824,504,362
3,19,1824,504,362
3,19,1825,503,363
3,20,1825,503,363
3,20,1986,503,395
3,20,1986,503,395
