total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1747,505,346
0,0,1732,505,343
0,0,1732,505,343
0,0,1742,505,345
0,0,1742,505,345
0,0,1732,505,343
0,0,1732,505,343
0,0,1753,504,348
0,0,1753,504,348
0,0,1743,504,346
0,0,1743,504,346
0,0,1748,504,347
0,0,1748,504,347
0,0,1732,505,343
0,0,1732,505,343
0,0,1727,505,342
0,0,1727,505,342
0,0,1722,505,341
0,0,1722,505,341
0,0,1733,504,344
0,0,1733,504,344
0,0,1738,504,345
0,0,1738,504,345
0,0,1789,504,355
0,0,1789,504,355
0,0,1743,504,346
0,0,1743,504,346
0,0,1799,504,357
0,0,1799,504,357
0,0,1764,504,350
0,0,1764,504,350
1,5,1742,505,345
1,5,1742,505,345
1,5,1747,505,346
1,5,1747,505,346
1,5,1737,505,344
1,5,1737,505,344
1,5,1732,505,343
1,6,1732,505,343
1,6,1737,505,344
1,6,1737,505,344
1,6,1779,504,353
1,6,1779,504,353
1,6,1733,504,344
1,6,1733,504,344
1,7,1738,504,345
1,7,1738,504,345
1,7,1722,505,341
1,7,1722,505,341
1,7,1753,504,348
1,7,1753,504,348
1,7,1727,505,342
1,7,1727,505,342
1,8,1769,504,351
1,8,1769,504,351
1,8,1728,504,343
1,8,1728,504,343
1,8,1764,504,350
1,8,1764,504,350
1,8,1758,504,349
1,9,1758,504,349
1,9,1849,504,367
1,9,1849,504,367
1,9,1844,504,366
1,9,1844,504,366
1,9,1753,504,348
1,9,1753,504,348
2,10,1764,504,350
2,10,1764,504,350
2,10,1758,504,349
2,10,1758,504,349
2,10,1921,503,382
2,10,1921,503,382
2,10,1727,505,342
2,11,1727,505,342
2,11,1727,505,342
2,11,1727,505,342
2,11,1732,505,343
2,11,1732,505,343
2,11,1727,505,342
2,11,1727,505,342
2,11,1752,505,347
2,12,1752,505,347
2,12,1742,505,345
2,12,1742,505,345
2,12,1737,505,344
2,12,1737,505,344
2,12,1727,505,342
2,12,1727,505,342
2,13,1656,505,328
2,13,1656,505,328
2,13,1732,505,343
2,13,1732,505,343
2,13,1732,505,343
2,13,1732,505,343
2,13,1728,504,343
2,14,1728,504,343
2,14,1737,505,344
2,14,1737,505,344
2,14,1738,504,345
2,14,1738,504,345
2,14,1722,505,341
2,14,1722,505,341
2,15,1727,505,342
2,15,1727,505,342
2,15,1722,505,341
2,15,1722,505,341
3,15,1916,503,381
3,15,1916,503,381
3,15,1711,505,339
3,15,1711,505,339
3,15,1727,505,342
3,15,1727,505,342
3,15,1656,505,328
3,16,1656,505,328
3,16,1717,505,340
3,16,1717,505,340
3,16,1732,505,343
3,16,1732,505,343
3,16,1911,503,380
3,16,1911,503,380
3,17,1727,505,342
3,17,1727,505,342
3,17,1742,505,345
3,17,1742,505,345
