total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1686,505,334
0,0,1681,505,333
0,0,1681,505,333
0,0,1686,505,334
0,0,1686,505,334
0,0,1706,505,338
0,0,1706,505,338
0,0,1711,505,339
0,0,1711,505,339
0,0,1691,505,335
0,0,1691,505,335
0,0,1686,505,334
0,0,1686,505,334
0,0,1696,505,336
0,0,1696,505,336
0,0,1681,505,333
0,0,1681,505,333
0,0,1722,505,341
0,0,1722,505,341
0,0,1717,505,340
0,0,1717,505,340
0,0,1681,505,333
0,0,1681,505,333
0,0,1691,505,335
0,0,1691,505,335
0,0,1696,505,336
0,0,1696,505,336
0,0,1691,505,335
0,0,1691,505,335
0,0,1733,504,344
0,0,1733,504,344
0,0,1743,504,346
0,0,1743,504,346
0,0,2167,504,430
0,0,2167,504,430
0,0,1839,504,365
0,0,1839,504,365
1,5,1563,506,309
1,5,1563,506,309
1,5,1804,504,358
1,5,1804,504,358
1,5,1626,505,322
1,5,1626,505,322
1,5,1748,504,347
1,6,1748,504,347
1,6,1636,505,324
1,6,1636,505,324
1,6,1706,505,338
1,6,1706,505,338
1,6,1824,504,362
1,6,1824,504,362
1,6,1881,503,374
1,7,1881,503,374
1,7,1876,503,373
1,7,1876,503,373
1,7,1824,504,362
1,7,1824,504,362
1,7,1997,502,398
1,7,1997,502,398
1,8,1777,505,352
1,8,1777,505,352
1,8,2078,502,414
1,8,2078,502,414
1,8,1728,504,343
1,8,1728,504,343
1,8,2001,503,398
1,9,2001,503,398
1,9,1743,504,346
1,9,1743,504,346
1,9,2037,503,405
2,10,2037,503,405
2,10,1686,505,334
2,10,1686,505,334
2,10,1681,505,333
2,10,1681,505,333
2,10,1681,505,333
2,10,1681,505,333
2,11,1698,504,337
2,11,1698,504,337
2,11,1711,505,339
2,11,1711,505,339
2,11,1706,505,338
2,11,1706,505,338
2,11,1701,505,337
2,12,1701,505,337
2,12,1691,505,335
2,12,1691,505,335
2,12,1686,505,334
2,12,1686,505,334
2,12,1686,505,334
2,12,1686,505,334
2,12,1686,505,334
2,12,1686,505,334
2,12,1691,505,335
2,12,1691,505,335
2,13,1629,506,322
2,13,1629,506,322
2,13,1629,506,322
2,13,1629,506,322
2,13,1686,505,334
2,13,1686,505,334
2,13,1686,505,334
2,14,1686,505,334
2,14,1696,505,336
2,14,1696,505,336
2,14,1563,506,309
2,14,1563,506,309
2,14,1910,504,379
2,14,1910,504,379
2,14,1701,505,337
3,15,1701,505,337
3,15,1691,505,335
3,15,1691,505,335
3,15,1696,505,336
3,15,1696,505,336
3,15,1696,505,336
3,15,1696,505,336
3,16,1696,505,336
3,16,1696,505,336
3,16,1691,505,335
3,16,1691,505,335
3,16,1696,505,336
3,16,1696,505,336
3,16,1563,506,309
3,17,1563,506,309
