total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1691,505,335
0,0,1732,505,343
0,0,1732,505,343
0,0,1711,505,339
0,0,1711,505,339
0,0,1691,505,335
0,0,1691,505,335
0,0,1706,505,338
0,0,1706,505,338
0,0,1695,506,335
0,0,1695,506,335
0,0,1722,505,341
0,0,1722,505,341
0,0,1701,505,337
0,0,1701,505,337
0,0,1691,505,335
0,0,1691,505,335
0,0,1701,505,337
0,0,1701,505,337
0,0,1686,505,334
0,0,1686,505,334
0,0,1691,505,335
0,0,1691,505,335
0,0,1723,504,342
0,0,1723,504,342
0,0,1701,505,337
0,0,1701,505,337
0,0,1696,505,336
0,0,1696,505,336
0,0,1696,505,336
0,0,1696,505,336
0,0,1812,505,359
0,0,1812,505,359
0,0,1884,504,374
0,0,1884,504,374
0,0,1727,505,342
0,0,1727,505,342
1,5,1666,505,330
1,5,1666,505,330
1,5,1711,505,339
1,5,1711,505,339
1,5,1743,504,346
1,5,1743,504,346
1,5,1794,504,356
1,5,1794,504,356
1,6,1910,504,379
1,6,1910,504,379
1,6,1779,504,353
1,6,1779,504,353
1,6,1706,505,338
1,6,1706,505,338
1,6,1717,505,340
1,7,1717,505,340
1,7,1711,505,339
1,7,1711,505,339
1,7,1727,505,342
1,7,1727,505,342
1,7,1920,504,381
1,7,1920,504,381
1,8,1905,504,378
1,8,1905,504,378
1,8,1874,504,372
1,8,1874,504,372
1,8,1900,504,377
1,8,1900,504,377
1,8,1879,504,373
1,9,1879,504,373
1,9,1915,504,380
1,9,1915,504,380
1,9,1905,504,378
1,9,1905,504,378
1,9,1747,505,346
1,9,1747,505,346
1,9,1711,505,339
2,10,1711,505,339
2,10,1711,505,339
2,10,1711,505,339
2,10,1711,505,339
2,10,1711,505,339
2,10,1705,506,337
2,10,1705,506,337
2,11,1732,505,343
2,11,1732,505,343
2,11,1691,505,335
2,11,1691,505,335
2,11,1691,505,335
2,11,1691,505,335
2,11,1691,505,335
2,12,1691,505,335
2,12,1573,506,311
2,12,1573,506,311
2,12,1696,505,336
2,12,1696,505,336
2,12,1691,505,335
2,12,1691,505,335
2,13,1701,505,337
2,13,1701,505,337
2,13,1691,505,335
2,13,1691,505,335
2,13,1566,507,309
2,13,1566,507,309
2,13,1583,506,313
2,13,1583,506,313
2,14,1573,506,311
2,14,1573,506,311
2,14,1566,507,309
2,14,1566,507,309
2,14,1561,507,308
2,14,1561,507,308
2,14,1558,506,308
2,14,1558,506,308
2,14,1583,506,313
2,14,1583,506,313
3,15,1566,507,309
3,15,1566,507,309
3,15,1576,507,311
3,15,1576,507,311
3,15,1576,507,311
3,15,1576,507,311
3,15,1566,507,309
3,15,1566,507,309
3,16,1573,506,311
3,16,1573,506,311
3,16,1558,506,308
3,16,1558,506,308
