total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1671,505,331
0,0,1671,505,331
0,0,1669,506,330
0,0,1669,506,330
0,0,1686,505,334
0,0,1686,505,334
0,0,1679,506,332
0,0,1679,506,332
0,0,1674,506,331
0,0,1674,506,331
0,0,1681,505,333
0,0,1681,505,333
0,0,1679,506,332
0,0,1679,506,332
0,0,1711,505,339
0,0,1711,505,339
0,0,1690,506,334
0,0,1690,506,334
0,0,1674,506,331
0,0,1674,506,331
0,0,1684,506,333
0,0,1684,506,333
0,0,1669,506,330
0,0,1669,506,330
0,0,1674,506,331
0,0,1674,506,331
0,0,1752,505,347
0,0,1752,505,347
0,0,1671,505,331
0,0,1671,505,331
0,0,2685,502,535
0,0,2685,502,535
0,0,2990,501,597
0,0,2990,501,597
0,0,3016,501,602
0,0,3016,501,602
1,5,3116,501,622
1,5,3116,501,622
1,5,3096,501,618
1,6,3096,501,618
1,6,3056,501,610
1,6,3056,501,610
1,6,3016,501,602
1,7,3016,501,602
1,7,3130,500,626
1,7,3130,500,626
1,7,3086,501,616
1,7,3086,501,616
1,7,3066,501,612
1,7,3066,501,612
1,8,3176,501,634
1,8,3176,501,634
1,8,3095,500,619
1,8,3095,500,619
1,9,3046,501,608
1,9,3046,501,608
1,9,3156,501,630
2,10,3156,501,630
2,10,3075,500,615
2,10,3075,500,615
2,10,3071,501,613
2,11,3071,501,613
2,11,3116,501,622
2,11,3116,501,622
2,12,3085,500,617
2,12,3085,500,617
2,12,3131,501,625
2,12,3131,501,625
2,13,3106,501,620
2,13,3106,501,620
2,13,1799,504,357
2,13,1799,504,357
2,13,1794,504,356
2,13,1794,504,356
2,13,1856,503,369
2,14,1856,503,369
2,14,1891,503,376
2,14,1891,503,376
2,14,1789,504,355
2,14,1789,504,355
2,14,1779,504,353
2,14,1779,504,353
2,14,1777,505,352
3,15,1777,505,352
3,15,1742,505,345
3,15,1742,505,345
3,15,1679,506,332
3,15,1679,506,332
3,15,1619,506,320
3,15,1619,506,320
3,16,1548,506,306
3,16,1548,506,306
3,16,1556,507,307
3,16,1556,507,307
3,16,1556,507,307
3,16,1556,507,307
3,16,1558,506,308
3,16,1558,506,308
3,16,1561,507,308
3,16,1561,507,308
3,16,1553,506,307
3,17,1553,506,307
3,17,1558,506,308
3,17,1558,506,308
3,17,1551,507,306
3,17,1551,507,306
3,17,1556,507,307
3,17,1556,507,307
3,18,1566,507,309
3,18,1566,507,309
3,18,1556,507,307
3,18,1556,507,307
3,18,1551,507,306
3,18,1551,507,306
3,18,1546,507,305
3,19,1546,507,305
3,19,1553,506,307
3,19,1553,506,307
3,19,1558,506,308
3,19,1558,506,308
3,19,1546,507,305
3,19,1546,507,305
3,19,1551,507,306
3,19,1551,507,306
3,19,1543,506,305
