total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1649,506,326
0,0,1649,506,326
0,0,1649,506,326
0,0,1649,506,326
0,0,1649,506,326
0,0,1649,506,326
0,0,1644,506,325
0,0,1644,506,325
0,0,1654,506,327
0,0,1654,506,327
0,0,1691,505,335
0,0,1691,505,335
0,0,1649,506,326
0,0,1649,506,326
0,0,1654,506,327
0,0,1654,506,327
0,0,1654,506,327
0,0,1654,506,327
0,0,1659,506,328
0,0,1659,506,328
0,0,1706,505,338
0,0,1706,505,338
0,0,1664,506,329
0,0,1664,506,329
0,0,1649,506,326
0,0,1649,506,326
0,0,1654,506,327
0,0,1654,506,327
0,0,1659,506,328
0,0,1659,506,328
0,0,1649,506,326
0,0,1649,506,326
0,0,2203,503,438
0,0,2203,503,438
0,0,2063,502,411
0,0,2063,502,411
0,0,2012,503,400
0,0,2012,503,400
0,0,2103,502,419
0,0,2103,502,419
1,5,2053,502,409
1,5,2053,502,409
1,5,2147,503,427
1,6,2147,503,427
1,6,2113,502,421
1,6,2113,502,421
1,6,2058,502,410
1,6,2058,502,410
1,6,2068,502,412
1,6,2068,502,412
1,6,2123,502,423
1,7,2123,502,423
1,7,2082,503,414
1,7,2082,503,414
1,7,2093,502,417
1,7,2093,502,417
1,7,2419,503,481
1,7,2419,503,481
1,8,2077,503,413
1,8,2077,503,413
1,8,2058,502,410
1,8,2058,502,410
1,9,2103,502,419
1,9,2103,502,419
1,9,2078,502,414
1,9,2078,502,414
1,9,2013,502,401
1,9,2013,502,401
1,9,2078,502,414
2,10,2078,502,414
2,10,2454,502,489
2,10,2454,502,489
2,10,1561,507,308
2,10,1561,507,308
2,10,1561,507,308
2,10,1561,507,308
2,11,1556,507,307
2,11,1556,507,307
2,11,1546,507,305
2,11,1546,507,305
2,11,1604,506,317
2,11,1604,506,317
2,11,1664,506,329
2,12,1664,506,329
2,12,1747,505,346
2,12,1747,505,346
2,12,1695,506,335
2,12,1695,506,335
2,12,1654,506,327
2,12,1654,506,327
2,13,1686,505,334
2,13,1686,505,334
2,13,1649,506,326
2,13,1649,506,326
2,13,1864,504,370
2,13,1864,504,370
2,13,1649,506,326
2,13,1649,506,326
2,14,1732,505,343
2,14,1732,505,343
2,14,1649,506,326
2,14,1649,506,326
2,14,1654,506,327
2,14,1654,506,327
2,14,1669,506,330
2,14,1669,506,330
2,14,1654,506,327
2,14,1654,506,327
2,14,1711,505,339
3,15,1711,505,339
3,15,1659,506,328
3,15,1659,506,328
3,15,1649,506,326
3,15,1649,506,326
3,15,1654,506,327
3,15,1654,506,327
3,16,1669,506,330
3,16,1669,506,330
3,16,1664,506,329
3,16,1664,506,329
3,16,1654,506,327
3,16,1654,506,327
3,16,1649,506,326
3,17,1649,506,326
3,17,1649,506,326
